PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
静岡駅,34.97254,138.38939,15.9,0,0
,34.97257,138.38935,15.9,0.004941607019617109,0.004941607019617109
,34.97257,138.38936,15.9,0.0009131862304768139,0.005854793250093923
,34.97259,138.38938,15.9,0.002873798082959777,0.0087285913330537
,34.97259,138.38946,15.8,0.007305488068071289,0.016034079401124987
,34.97258,138.38949,15.8,0.002955663891790466,0.018989743292915452
,34.97258,138.38952,15.8,0.0027395583584786565,0.02172930165139411
,34.97256,138.38959,15.7,0.006766433721596419,0.02849573537299053
,34.97276,138.38991,15.8,0.03669099401203227,0.06518672938502279
,34.97293,138.39025,16,0.03632746918846455,0.10151419857348734
,34.97305,138.39062,16.2,0.03631584764627317,0.13783004621976053
,34.97309,138.39072,16.3,0.01015294135883319,0.1479829875785937
,34.97323,138.39064,16.5,0.01716392660426944,0.16514691418286315
,34.97329,138.39059,16.5,0.008071871310690516,0.17321878549355366
,34.9735,138.39045,16.6,0.026574660985545562,0.19979344647909922
,34.97361,138.39039,16.9,0.013376966121012546,0.21317041260011177
,34.97366,138.39035,16.7,0.006641645879221758,0.21981205847933352
,34.97381,138.39079,16.8,0.04348937377129401,0.2633014322506275
,34.97386,138.39097,16.8,0.01734783847050668,0.2806492707211342
,34.97426,138.39215,17.2,0.11653395452723898,0.3971832252483732
,34.97439,138.39248,17.3,0.0334079108090346,0.4305911360574078
,34.97453,138.39276,17.3,0.02991631253176661,0.4605074485891744
,34.9747,138.39306,17.4,0.03325918872444473,0.49376663731361914
,34.97484,138.39328,17.2,0.025393335833024167,0.5191599731466433
,34.97489,138.39334,17.2,0.007796686793715928,0.5269566599403592
,34.97497,138.3935,17.1,0.01709496475529744,0.5440516246956567
,34.97529,138.39406,16.7,0.06225179263398811,0.6063034173296449
,34.97547,138.39443,16.5,0.03924682671053595,0.6455502440401808
,34.97549,138.39446,16.5,0.0035252993547984996,0.6490755433949793
,34.97616,138.39597,15.9,0.15664414795594658,0.8057196913509259
,34.97618,138.39603,15.9,0.005911106998022337,0.8116307983489482
,34.97683,138.39749,15.6,0.15157148740376655,0.9632022857527148
,34.97689,138.39759,15.4,0.011299999761173019,0.9745022855138878
,34.97741,138.3988,15.2,0.12464313365729682,1.0991454191711847
,34.97743,138.39883,15.2,0.003525249602735045,1.1026706687739198
,34.9779,138.39983,15.5,0.1051514790817782,1.207822147855698
,34.97791,138.39988,15.4,0.004698488673291925,1.21252063652899
,34.97851,138.40126,15.1,0.14251164032301816,1.3550322768520082
,34.97854,138.40131,15,0.005649925747037288,1.3606822025990455
,34.97952,138.40352,14.9,0.22922237717988125,1.5899045797789269
,34.97956,138.40359,14.8,0.007781194455521499,1.5976857742344484
,34.97986,138.40425,14.3,0.06884455767497914,1.6665303319094276
,34.98005,138.40461,13.8,0.03904947133213899,1.7055798032415665
,34.98033,138.405,13.5,0.047255336919216046,1.7528351401607827
,34.98039,138.40507,13.5,0.0092283064814673,1.76206344664225
,34.98041,138.4051,13.4,0.003525173175284605,1.7655886198175346
,34.98056,138.40527,13.3,0.02275691816731688,1.7883455379848514
,34.98088,138.40555,13.2,0.0437489089949739,1.8320944469798253
,34.98163,138.4061,12.8,0.09718612726868531,1.9292805742485106
,34.98175,138.4062,12.7,0.01614322862003603,1.9454238028685467
,34.98214,138.40648,12.6,0.0502557722375706,1.9956795751061172
,34.98218,138.4065,12.6,0.00479867070375308,2.0004782458098704
,34.98225,138.40656,12.5,0.009503768149037233,2.0099820139589077
,34.98277,138.40693,12.3,0.06685326170459474,2.0768352756635027
,34.98284,138.40697,12.3,0.008581792227244539,2.0854170678907473
,34.98294,138.40706,12.2,0.013806053271652503,2.0992231211624
,34.98345,138.40745,12.1,0.06685276385684447,2.1660758850192443
,34.98368,138.40765,12,0.03137760598242822,2.1974534910016725
,34.98376,138.40771,11.9,0.010429868551777613,2.20788335955345
,34.98385,138.40779,11.9,0.012371270861996993,2.220254630415447
,34.98454,138.4085,11.6,0.1003108472564167,2.320565477671864
,34.98457,138.40854,11.5,0.00494121763321936,2.3255066953050836
,34.98463,138.40859,11.4,0.008071525587936562,2.33357822089302
,34.98491,138.40897,11.3,0.04656968056156605,2.380147901454586
,34.98498,138.40905,11.2,0.010661242958320839,2.390809144412907
,34.98526,138.40945,11.1,0.04794554352372521,2.438754687936632
,34.98546,138.40977,10.8,0.036687429434870376,2.4754421173715024
,34.98552,138.40985,10.7,0.009882374580614707,2.485324491952117
,34.98547,138.40978,10.7,0.008462747034473318,2.4937872389865903
,34.98605,138.41068,10,0.10436870235426321,2.5981559413408535
,34.98607,138.41072,10,0.004273320933923988,2.6024292622747773
,34.98645,138.41133,9.6,0.0698511484605498,2.6722804107353273
,34.98652,138.41141,9.6,0.010661150683933565,2.682941561419261
,34.98907,138.4154,10,0.46123881527104305,3.144180376690304
,34.98909,138.41544,10,0.004273206884260165,3.148453583574564
,34.99126,138.41883,9.8,0.39210804123607457,3.5405616248106386
,34.99128,138.41885,9.8,0.0028735396710901696,3.543435164481729
,34.9913,138.41889,9.8,0.004273123423341652,3.5477082879050705
,34.99132,138.41891,9.8,0.0028735391171438645,3.5505818270222145
,34.99233,138.4205,9.9,0.18337762035045113,3.7339594473726656
,34.99235,138.42052,9.9,0.002873524876152721,3.7368329722488185
,34.99362,138.4225,9,0.2291889383005632,3.9660219105493817
,34.99364,138.42254,9,0.004273035045222074,3.970294945594604
,34.99374,138.42269,8.9,0.017624161385938874,3.987919106980543
,34.99412,138.42333,9,0.07204972125827713,4.05996882823882
,34.99436,138.42367,9.2,0.04089522757913915,4.10086405581796
,34.99457,138.424,9.4,0.038084341956788594,4.138948397774748
,34.99458,138.42403,9.5,0.0029549866000605695,4.1419033843748085
,34.99466,138.42414,9.5,0.013402192448944463,4.155305576823753
,34.99479,138.42435,8,0.023990779115987862,4.179296355939741
,34.99481,138.42436,8,0.0023992862291980863,4.181695642168939
,34.9949,138.42452,10,0.017693449990779306,4.199389092159718
,34.995,138.42466,8.1,0.016924395452449573,4.216313487612168
,34.99628,138.42666,9.9,0.2313066028260383,4.447620090438206
,34.99632,138.42674,9.9,0.00854586839376816,4.456165958831974
,34.99686,138.42757,10.2,0.09659398922682307,4.552759948058798
,34.99689,138.42763,10.3,0.0064093687166280255,4.559169316775426
,34.99737,138.42837,10.8,0.08602021062990745,4.645189527405334
,34.99741,138.42842,10.9,0.006366131368148187,4.651555658773482
,34.99746,138.42851,10.9,0.009913390274308898,4.661469049047791
,34.9979,138.42919,11.5,0.07897108429389912,4.74044013334169
,34.99796,138.4293,11.7,0.012047774910552936,4.752487908252243
,34.9996,138.43185,14.2,0.2954546702505476,5.0479425785027905
,34.99964,138.43193,14.4,0.00854561758126882,5.056488196084059
,34.99965,138.43194,14.4,0.001436711924572381,5.057924908008632
,34.99992,138.43234,14.8,0.04722934602138371,5.105154254030015
,34.99996,138.43238,14.3,0.0057468395341161065,5.110901093564132
,35.00005,138.43253,14.8,0.0169469073944462,5.127848000958578
,35.00009,138.43262,14.6,0.009337771440315655,5.137185772398894
,35.00103,138.43407,10.9,0.16851169627416404,5.305697468673058
,35.00105,138.43412,10.8,0.00507507869189637,5.310772547364954
,35.00129,138.43449,10.2,0.043008812570425284,5.35378135993538
,35.00133,138.43454,10.2,0.006365977296518041,5.360147337231898
,35.00136,138.4346,10.2,0.006409115441283077,5.366556452673181
,35.00346,138.43788,11.1,0.37937801832618756,5.7459344709993685
,35.00347,138.43791,11.1,0.0029547126891213966,5.7488891836884894
,35.00444,138.43942,12.6,0.17487105974359854,5.923760243432088
,35.00447,138.43945,12.5,0.004310035977396296,5.928070279409485
,35.00451,138.43953,12.7,0.008545249640799538,5.936615529050284
,35.00596,138.44179,14.1,0.2616030064667598,6.198218535517044
,35.00601,138.44188,14.2,0.009912686338428293,6.2081312218554725
,35.00604,138.44191,13.4,0.004310003405745392,6.212441225261218
,35.00609,138.442,14.3,0.009912679751017828,6.222353905012236
,35.0061,138.44201,14.2,0.0014366673192426722,6.223790572331478
,35.00639,138.44246,13.8,0.05217635879883525,6.275966931130314
,35.00641,138.4425,13.8,0.004272552660355236,6.280239483790669
,35.00675,138.44304,12.7,0.062068142371855206,6.342307626162524
,35.00681,138.4431,12.5,0.008619975481809377,6.350927601644334
,35.00685,138.44319,12.4,0.009337179236468894,6.360264780880803
,35.007,138.44341,12,0.026080668412066528,6.386345449292869
,35.00703,138.44347,12,0.006408794139280433,6.392754243432149
,35.00718,138.44369,11.8,0.026080634857030636,6.4188348782891795
,35.00742,138.44408,11.7,0.04445488021092306,6.463289758500102
,35.00745,138.44411,11.7,0.004309974147884859,6.4675997326479875
,35.00765,138.44443,11.4,0.03668119900550762,6.504280931653495
,35.00767,138.44447,11.4,0.004272505056980276,6.508553436710476
,35.00798,138.44494,10.9,0.05498463370681714,6.563538070417293
,35.00798,138.44495,11,0.0009127930617113788,6.564450863479004
,35.00901,138.44655,8.9,0.18543683574106443,6.749887699220068
,35.00904,138.44661,8.8,0.006408680229319901,6.756296379449387
