PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
今治駅,34.06447,132.99383,4.7,0,0
,34.06448,132.99402,4.8,0.01757487595098145,0.01757487595098145
,34.06414,132.99431,4.6,0.04624989863802368,0.06382477458900512
,34.06409,132.9944,4.5,0.009989456362115694,0.07381423095112082
,34.06406,132.99442,4.5,0.0038055853368686612,0.07761981628798947
,34.0637,132.99474,3.8,0.04967164414708006,0.12729146043506953
,34.06363,132.99482,3.8,0.010715963979572727,0.13800742441464225
,34.06341,132.99502,3.8,0.030600728065123674,0.16860815247976593
,34.0634,132.99502,3.8,0.0011092353171528438,0.16971738779691878
,34.06336,132.99504,3.8,0.004805762558032114,0.1745231503549509
,34.06322,132.99508,3.9,0.01596228774974104,0.19048543810469193
,34.0631,132.9951,3.9,0.01343826402847483,0.20392370213316677
,34.063,132.99513,4,0.011432864159368299,0.21535656629253508
,34.06296,132.99515,4,0.004805765626062062,0.22016233191859713
,34.06284,132.99515,4.1,0.013310822714034254,0.23347315463263138
,34.0627,132.99518,4.2,0.01577431724893492,0.2492474718815663
,34.06268,132.99519,4.2,0.0024028839246201896,0.2516503558061865
,34.06267,132.9952,4.2,0.0014431366301540592,0.25309349243634055
,34.06265,132.99521,4.3,0.0024028840379832087,0.25549637647432377
,34.06233,132.99553,4.7,0.04618041243841844,0.3016767889127422
,34.06223,132.99561,4.5,0.013326070723246018,0.31500285963598823
,34.06127,132.99451,4.6,0.14714524678187454,0.46214810641786275
,34.0612,132.99446,4.6,0.009033074813264744,0.4711811812311275
,34.06097,132.9942,4.8,0.035028829272782926,0.5062100105039105
,34.06093,132.99418,4.8,0.004805781183400227,0.5110157916873107
,34.06066,132.99389,4.9,0.040171246530691006,0.5511870382180017
,34.06061,132.99381,4.9,0.00923612806993528,0.560423166287937
,34.05877,132.99173,5.9,0.28023275621396965,0.8406559225019066
,34.05877,132.99172,5.9,0.0009232111449891884,0.8415791336468957
,34.05619,132.98885,7.4,0.3900091822793223,1.231588315926218
,34.05614,132.98881,7.4,0.006663177744467866,1.2382514936706859
,34.05305,132.98539,9.2,0.4660259266916824,1.7042774203623683
,34.05301,132.98537,9.2,0.004805841879022411,1.7090832622413907
,34.05298,132.98533,9.2,0.004971170901451538,1.7140544331428422
,34.05183,132.98407,10.1,0.17264257191735738,1.8866970050601997
,34.0518,132.98403,10.1,0.004971208487752196,1.891668213547952
,34.05072,132.98285,10.7,0.1619294420053088,2.0535976555532605
,34.0507,132.98282,11,0.003548790369549611,2.05714644592281
,34.05036,132.98245,11.3,0.050886050805228726,2.108032496728039
,34.05025,132.98235,11.3,0.015301207577039627,2.1233337043050784
,34.04985,132.98193,12.3,0.05892736657114744,2.182261070876226
,34.04984,132.98191,12.3,0.0021541558596312803,2.184415226735857
,34.04939,132.98151,11.9,0.062093141248573784,2.246508367984431
,34.04921,132.98137,12,0.023785297564995006,2.270293665549426
,34.04914,132.98128,12.1,0.011372899765724451,2.28166656531515
,34.04903,132.98124,12.2,0.012748265371233056,2.2944148306863834
,34.04875,132.98104,12.2,0.03613361341961305,2.3305484441059963
,34.04867,132.981,12.3,0.009611749963639683,2.340160194069636
,34.04828,132.98076,12.6,0.048605433696119194,2.388765627765755
,34.04805,132.98065,12.8,0.027459719818626015,2.416225347584381
,34.0479,132.98059,12.9,0.01753654861255797,2.433761896196939
,34.04788,132.98057,12.8,0.00288647423867536,2.436648370435614
,34.04742,132.98033,13.2,0.05562897817560051,2.4922773486112146
,34.04737,132.98031,13.2,0.0058455196792542305,2.498122868290469
,34.04686,132.98003,13.5,0.06219856952531139,2.56032143781578
,34.04683,132.98002,13.5,0.0034534221687513773,2.5637748599845316
,34.04675,132.97997,13.5,0.010002966092195392,2.573777826076727
,34.04633,132.97975,13.9,0.050823810784618506,2.624601636861345
,34.04631,132.97973,13.9,0.0028864955752314386,2.6274881324365764
,34.0461,132.97963,14,0.025057168845489995,2.6525453012820663
,34.04534,132.97922,14.5,0.09241187025981006,2.7449571715418766
,34.04528,132.9792,14.6,0.0069068516286986395,2.751864023170575
,34.04524,132.97917,14.6,0.00523064381225042,2.7570946669828253
,34.04497,132.97902,14.8,0.03299684394034354,2.790091510923169
,34.04495,132.979,14.8,0.002886514058726603,2.7929780249818954
,34.04479,132.97891,14.9,0.01959697998377575,2.8125750049656713
,34.04458,132.97877,15,0.026640460911436847,2.8392154658771083
,34.04456,132.97875,15,0.002886519359082488,2.842101985236191
,34.04437,132.97861,15.1,0.02472414508363631,2.866826130319827
,34.04429,132.97856,15.2,0.010003024469006142,2.876829154788833
,34.0441,132.97842,15.1,0.024724165715968614,2.9015533205048016
,34.04383,132.97819,15.5,0.03671500407023022,2.938268324575032
,34.04379,132.97817,15.6,0.004805912526471561,2.9430742371015035
,34.0434,132.97782,15.8,0.05399901411733386,2.997073251218837
,34.04322,132.97764,15.9,0.025978828343284018,3.023052079562121
,34.04319,132.97762,15.9,0.0038057949953848513,3.026857874557506
,34.04289,132.97733,16,0.04271323300042613,3.069571107557932
,34.04286,132.97729,16,0.004971493202189341,3.0745426007601213
,34.04273,132.97718,16.2,0.017638196569360987,3.0921807973294824
,34.0427,132.97714,16.2,0.004971498298297245,3.0971522956277795
,34.04254,132.977,16.3,0.02195675026688135,3.119109045894661
,34.04198,132.97646,16.7,0.07965451992764414,3.198763565822305
,34.04193,132.97642,16.8,0.006663508549252902,3.205427074371558
,34.04171,132.9762,17,0.031752124045111754,3.23717919841667
,34.04166,132.97616,17.1,0.006663514836023628,3.2438427132526937
,34.04122,132.97574,17.4,0.06233895613884405,3.306181669391538
,34.04117,132.9757,17.5,0.006663526240063054,3.312845195631601
,34.04057,132.97512,18.1,0.08542730281037392,3.3982724984419748
,34.04056,132.9751,18.1,0.0021543274435248234,3.4004268258854995
,34.0405,132.97506,18.1,0.007611643725298515,3.408038469610798
,34.04006,132.97466,18.6,0.06120738944061463,3.4692458590514126
,34.03954,132.97424,19.1,0.06950643356153433,3.538752292612947
,34.03901,132.97386,19.8,0.06846522238751315,3.60721751500046
,34.03887,132.97378,20,0.01719682735266395,3.624414342353124
,34.03882,132.97373,20,0.007216492900676088,3.6316308352538
,34.03874,132.97368,20.1,0.010003156158152636,3.6416339914119527
,34.03872,132.97366,20.1,0.0028865987232782136,3.644520590135231
,34.03859,132.97357,20.3,0.016643523232534648,3.6611641133677657
,34.03823,132.97336,20.6,0.04439190925670765,3.7055560226244735
,34.03794,132.97321,20.9,0.03502321043126866,3.740579233055742
,34.03788,132.97317,21,0.007611696352217442,3.7481909294079596
,34.03781,132.97314,21.1,0.008244021060396033,3.7564349504683556
,34.03765,132.97305,21.3,0.01959725661474274,3.7760322070830985
,34.03761,132.97302,21.4,0.005230770512772237,3.781262977595871
,34.03706,132.9727,21.8,0.06778754486834429,3.849050522464215
,34.03701,132.97268,21.8,0.0058455817401470486,3.854896104204362
,34.03536,132.97173,23,0.20296226612219379,4.057858370326556
,34.03495,132.97146,23.6,0.05186495334651845,4.109723323673074
,34.03489,132.97143,23.7,0.007208970956744085,4.116932294629818
,34.03488,132.97141,23.7,0.002154432445083917,4.119086727074902
,34.03458,132.97118,24.2,0.039477633467839196,4.158564360542741
,34.03454,132.97125,24.2,0.007840512077965382,4.166404872620706
,34.03435,132.97109,24.6,0.02573887231862892,4.192143744939335
,34.03412,132.97087,25.3,0.032613448000361686,4.2247571929396965
,34.03373,132.97042,26.9,0.059986478460972915,4.284743671400669
,34.0337,132.97036,26.8,0.0064633622184002,4.291207033619069
,34.03353,132.97016,27.2,0.026395301455767833,4.317602335074837
,34.03288,132.96928,29,0.10864032877573528,4.426242663850572
,34.03281,132.96922,28.7,0.009538936219505372,4.435781600070078
,34.03252,132.96881,29.1,0.04968284233877737,4.485464442408855
,34.03248,132.96874,28.9,0.007840640056176653,4.493305082465032
,34.03248,132.96873,29.4,0.0009234960921330554,4.4942285785571645
,34.03223,132.96838,29.2,0.042587936260895874,4.53681651481806
,34.03219,132.9683,29.8,0.008617927565745137,4.545434442383805
,34.03177,132.96768,29.8,0.07381587505546912,4.619250317439274
,34.03052,132.96567,30.9,0.23169315064928667,4.850943468088561
,34.02923,132.96348,33,0.247751313204687,5.098694781293248
,34.02918,132.96341,31.5,0.008517766714790442,5.107212548008039
,34.02838,132.96201,34.1,0.15681742291531583,5.264029970923354
,34.02782,132.96089,35.6,0.12065523998992936,5.3846852109132834
,34.0278,132.96083,35.6,0.005968864240944627,5.390654075154228
,34.02764,132.96051,36.1,0.03447303808175863,5.425127113235987
,34.02754,132.96025,36.4,0.026450486846850634,5.451577600082837
,34.02749,132.96015,36,0.01077284334571113,5.462350443428548
,34.02747,132.96007,36.2,0.007714275077119485,5.470064718505667
