PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
防衛省立川宿舎,35.70627,139.43146,83.2,0,0
,35.70713,139.4314,83.4,0.09557443599115946,0.09557443599115946
,35.70719,139.4314,83.6,0.006657214887427261,0.10223165087858672
,35.70725,139.43138,83.7,0.006898862613959952,0.10913051349254668
,35.70729,139.43135,83.8,0.005202657449168279,0.11433317094171497
,35.70732,139.43132,83.7,0.004295363763436044,0.11862853470515101
,35.70734,139.43127,83.8,0.005039636695181166,0.12366817140033218
,35.70735,139.43123,83.8,0.003786054221596377,0.12745422562192854
,35.70732,139.43048,83.5,0.06795330968411924,0.19540753530604776
,35.70752,139.43046,83.7,0.022264404554232314,0.21767193986028008
,35.70757,139.43045,83.8,0.005621004268353101,0.22329294412863318
,35.70767,139.43045,83.7,0.011095358996335222,0.2343883031249684
,35.70765,139.43012,83.7,0.029945776138232984,0.26433407926320135
,35.70764,139.42992,83.6,0.018133037091795097,0.28246711635499644
,35.70763,139.42967,83.7,0.02265101856678697,0.3051181349217834
,35.70759,139.42884,83.5,0.0752421364394967,0.38036027136128014
,35.70755,139.42805,83.8,0.07162897930676748,0.4519892506680476
,35.70754,139.42778,83.9,0.02445894020831169,0.4764481908763593
,35.70753,139.4276,84,0.01632692040883154,0.49277511128519086
,35.70751,139.4271,84.4,0.045302102039524554,0.5380772133247154
,35.70749,139.42684,84.7,0.023633232201045674,0.561710445525761
,35.70747,139.42647,85.2,0.033556782296638374,0.5952672278223994
,35.70746,139.42629,85.4,0.01632693461606856,0.611594162438468
,35.70746,139.42626,85.4,0.0027148652356171928,0.6143090276740851
,35.70746,139.42618,85.5,0.007239640635171111,0.6215486683092563
,35.70745,139.42586,85.7,0.028979812256384303,0.6505284805656406
,35.70744,139.42568,85.9,0.016326938675430586,0.6668554192410712
,35.70741,139.42512,86.5,0.05078670398809464,0.7176421232291658
,35.70739,139.42493,86.6,0.017336764298816695,0.7349788875279825
,35.70744,139.42469,86.7,0.022416262942922257,0.7573951504709047
,35.7075,139.42443,86.9,0.024452490963679862,0.7818476414345845
,35.70753,139.42429,86.9,0.013099327177308417,0.794946968611893
,35.70759,139.42398,87,0.02883264540892249,0.8237796140208155
,35.7076,139.42393,87,0.004658818865528288,0.8284384328863438
,35.70766,139.42367,87.2,0.024452445771371647,0.8528908786577154
,35.70769,139.42354,87.2,0.012226216528656667,0.865117095186372
,35.70788,139.42296,87.4,0.056562536088672656,0.9216796312750447
,35.7078,139.42283,87.5,0.014737321702025859,0.9364169529770706
,35.70768,139.42263,87.4,0.02246885091502337,0.958885803892094
,35.70753,139.42238,87.5,0.028086094149023442,0.9869718980411174
,35.70722,139.42189,87.5,0.05611903488367211,1.0430909329247895
,35.70716,139.4218,87.4,0.010519191850737047,1.0536101247755265
,35.70713,139.42177,87.4,0.004295367120960395,1.057905491896487
,35.70703,139.42163,87.4,0.01684106460232323,1.0747465564988101
,35.70694,139.4215,87.3,0.015431129848399013,1.0901776863472092
,35.70686,139.42138,87.3,0.014025619316846578,1.104203305664056
,35.7068,139.42129,87.3,0.010519219951210572,1.1147225256152664
,35.70668,139.42113,87.2,0.01967046953786177,1.1343929951531282
,35.70651,139.42087,87.1,0.03015620968859579,1.164549204841724
,35.70632,139.4206,87,0.0322713742722719,1.196820579113996
,35.70625,139.42049,86.9,0.012626064088670398,1.2094466432026665
,35.70615,139.42035,86.8,0.01684116828063779,1.2262878114833042
,35.70598,139.42009,86.7,0.030156330165550638,1.256444141648855
,35.7059,139.41998,86.6,0.013337330304906928,1.269781471953762
,35.70581,139.41984,86.5,0.01613183200020483,1.2859133039539667
,35.70572,139.41973,86.5,0.014100105809374324,1.3000134097633411
,35.70563,139.41959,86.3,0.016131854181489044,1.3161452639448301
,35.70546,139.41933,86.2,0.030156448364021166,1.3463017123088512
,35.70536,139.4192,86.1,0.016171440014267752,1.362473152323119
,35.70531,139.41914,86.1,0.00776274837328037,1.3702359006963993
,35.70522,139.41903,86,0.014100149106045528,1.3843360498024448
,35.70506,139.41884,86,0.024714559344218488,1.4090506091466632
,35.70484,139.41858,85.9,0.0339039519028834,1.4429545610495467
,35.70473,139.41844,85.9,0.01759212915039428,1.4605466901999409
,35.70445,139.41812,85.8,0.04247135857083942,1.5030180487707803
,35.70437,139.41802,85.9,0.012676316448769594,1.5156943652195498
,35.70431,139.41795,85.8,0.009189659232482763,1.5248840244520325
,35.70423,139.41786,85.8,0.012046912940539318,1.536930937392572
,35.70407,139.41765,85.7,0.026006490775642932,1.562937428168215
,35.70401,139.41759,85.7,0.008590864659780982,1.5715282928279959
,35.704,139.41757,85.8,0.002122999269055891,1.5736512920970518
,35.70388,139.41743,85.7,0.018379361452408958,1.5920306535494608
,35.70367,139.41722,85.6,0.03006806525572475,1.6220987188051856
,35.70345,139.41702,85.4,0.030388261238235976,1.6524869800434216
,35.70321,139.4168,85.2,0.033249133739730284,1.685736113783152
,35.70306,139.41667,85.1,0.020381529693111453,1.7061176434762633
,35.70301,139.41662,85,0.007159089057564692,1.713276732533828
,35.70297,139.41658,85,0.00572727250381809,1.719004005037646
,35.70272,139.41635,84.8,0.034679801409846576,1.7536838064474927
,35.70236,139.41602,84.4,0.049873872823689824,1.8035576792711825
,35.70221,139.41588,84.4,0.02091707318563618,1.8244747524568186
,35.7022,139.41587,84.4,0.001431823619863194,1.8259065760766817
,35.70195,139.41568,84.4,0.0326358041705226,1.8585423802472043
,35.70192,139.41566,84.4,0.00378890948532193,1.8623312897325262
,35.7018,139.4156,84.3,0.0143791454612796,1.8767104351938058
,35.70165,139.41552,84.3,0.018149658152221824,1.8948600933460276
,35.70162,139.41545,84.3,0.007156373853358331,1.902016467199386
,35.70154,139.41538,84.3,0.010905157065940415,1.9129216242653264
,35.70151,139.41536,84.3,0.003788913713994398,1.9167105379793208
,35.70142,139.4153,84.3,0.011366742991327271,1.9280772809706481
,35.70121,139.41518,84.1,0.025706938446206997,1.953784219416855
,35.70106,139.4151,84.1,0.01814967793195115,1.9719338973488063
,35.70054,139.41481,84,0.06338494855388462,2.0353188459026907
,35.7004,139.41474,84,0.016775707901344705,2.0520945538040354
,35.70031,139.41467,84,0.011825894644295155,2.0639204484483304
,35.69985,139.41442,83.7,0.05582894906872969,2.1197493975170603
,35.69976,139.41436,83.6,0.01136679433925786,2.131116191856318
,35.69967,139.41431,83.6,0.010963300298509062,2.142079492154827
,35.69965,139.4143,83.6,0.002396532879823436,2.1444760250346504
,35.69932,139.4141,83.4,0.040844512892222594,2.185320537926873
,35.69927,139.41406,83.4,0.006624381773326984,2.1919449197002003
,35.69911,139.41396,83.5,0.01992647231487591,2.2118713920150763
,35.69899,139.4139,83.5,0.01437921164453193,2.2262506036596084
,35.69899,139.41393,83.5,0.0027151523987100925,2.2289657560583183
,35.69896,139.41392,83.4,0.0034494513441925153,2.2324152074025108
,35.69891,139.41389,83.3,0.006176465128466262,2.238591672530977
,35.69888,139.41389,83.4,0.003328602861840032,2.2419202753928174
,35.69879,139.4139,83.5,0.010026738818834693,2.251947014211652
,35.69872,139.41391,83.5,0.007819294685659332,2.2597663088973117
,35.69869,139.4139,83.5,0.003449452000113811,2.2632157608974253
,35.69868,139.4139,83.5,0.0011095342487965256,2.2643252951462216
,35.69867,139.41389,83.5,0.0014318483306476764,2.2657571434768693
,35.69867,139.41388,83.5,0.0009050544164177936,2.2666621978932873
立川駅,35.69867,139.41378,83.5,0.009050544161605233,2.2757127420548926
