PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
立川駅,35.69867,139.41378,83.5,,0
,35.69867,139.41388,83.5,0.009050544161605233,0.009050544161605233
,35.69867,139.41389,83.5,0.0009050544164177936,0.009955598578023027
,35.69868,139.4139,83.5,0.0014318483306476764,0.011387446908670704
,35.69869,139.4139,83.5,0.0011095342487965256,0.01249698115746723
,35.69872,139.41391,83.5,0.003449452000113811,0.01594643315758104
,35.69879,139.4139,83.5,0.007819294685659332,0.023765727843240374
,35.69888,139.41389,83.4,0.010026738818834693,0.03379246666207507
,35.69891,139.41389,83.3,0.003328602861840032,0.0371210695239151
,35.69896,139.41392,83.4,0.006176465128466262,0.04329753465238136
,35.69899,139.41393,83.5,0.0034494513441925153,0.04674698599657388
,35.69899,139.4139,83.5,0.0027151523987100925,0.04946213839528397
,35.69898,139.41358,83.5,0.028982873025942123,0.07844501142122609
,35.69898,139.41348,83.5,0.009050509131703268,0.08749552055292936
,35.69898,139.41323,83.7,0.02262627282796693,0.1101217933808963
,35.69897,139.41301,83.8,0.01994201140830766,0.13006380478920396
,35.69897,139.41267,84.1,0.030771734890809456,0.1608355396800134
,35.69897,139.41259,84.6,0.007240408208849049,0.16807594788886246
,35.69896,139.41257,84.6,0.0021230959038979254,0.17019904379276038
,35.69896,139.41253,84.6,0.003620204555138729,0.1738192483478991
,35.69895,139.4125,84.6,0.0029331084817195196,0.17675235682961862
,35.69894,139.41248,84.6,0.002123096286610233,0.17887545311622885
,35.69911,139.41241,84.2,0.01989760995511199,0.19877306307134085
,35.69913,139.41241,84.1,0.0022190686589088665,0.2009921317302497
,35.69924,139.41236,84.2,0.01301679165894522,0.21400892338919494
,35.69935,139.41231,84.2,0.01301678970743433,0.22702571309662928
,35.69947,139.41225,84.2,0.014379203165668,0.24140491626229726
,35.69964,139.41216,84.2,0.020545699942512888,0.26195061620481014
,35.69975,139.4121,84.3,0.013358396514466013,0.27530901271927616
,35.69996,139.41199,84.4,0.025337944624952695,0.30064695734422886
,35.7001,139.41191,84.5,0.01713800502894041,0.3177849623731693
,35.70016,139.4119,84.5,0.006718444755822548,0.32450340712899184
,35.70022,139.41185,84.6,0.008049578707808714,0.33255298583680054
,35.70034,139.41178,84.6,0.014744798124238857,0.3472977839610394
,35.7005,139.41169,84.8,0.019532005678730882,0.36682978963977025
,35.70061,139.41163,84.8,0.013358374406484862,0.3801881640462551
,35.70067,139.4116,84.8,0.007189587099022249,0.38737775114527734
,35.70113,139.41137,85.1,0.05512014428031973,0.4424978954255971
,35.70127,139.4113,85.2,0.016775687842029416,0.4592735832676265
,35.70135,139.41126,85.3,0.009586105610815111,0.46885968887844165
,35.70148,139.41119,85.3,0.01575387842385375,0.4846135673022954
,35.70158,139.41113,85.4,0.012352857218185579,0.49696642452048095
,35.70166,139.41109,85.4,0.00958610074299383,0.5065525252634748
,35.70174,139.41106,85.5,0.00928223425541032,0.5158347595188851
,35.70183,139.41104,85.7,0.01014853232137802,0.5259832918402632
,35.702,139.41104,85.7,0.018862092376455367,0.5448453842167186
,35.70208,139.41104,85.8,0.008876278949998108,0.5537216631667167
,35.70234,139.41104,85.9,0.028847907402991098,0.5825695705697078
,35.7029,139.41105,86.1,0.06214054924161574,0.6447101198113235
,35.70339,139.41105,86.3,0.05436721856959841,0.6990773383809219
,35.70432,139.41106,86.7,0.10319074251326661,0.8022680808941886
,35.70521,139.41106,87.1,0.09874864811672895,0.9010167290109174
,35.70531,139.41107,87.1,0.011132200285158654,0.912148929296076
,35.70542,139.41106,87.1,0.012238395895701722,0.9243873251917778
,35.70545,139.41106,87.1,0.0033286064877416934,0.9277159316795195
,35.70546,139.41117,87.1,0.010016397499760969,0.9377323291792805
,35.70546,139.41145,86.9,0.025339375131757377,0.9630717043110378
,35.70545,139.41189,87,0.0398344758541922,1.0029061801652301
IKEA立川,35.70545,139.41211,87.1,0.01990951151941236,1.0228156916846425
