PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
豊田市駅,35.08723,137.1565,36.1,,0
,35.08725,137.1565,36.1,0.0022188434558830334,0.0022188434558830334
,35.08726,137.15651,36.1,0.001436105604518411,0.0036549490604014445
,35.08729,137.1565,36.1,0.003450931989412089,0.007105881049813533
,35.08735,137.1565,36.1,0.006656530460214368,0.0137624115100279
,35.08743,137.15651,36.1,0.00892209865738906,0.02268451016741696
,35.08754,137.15654,36.1,0.012506519093796565,0.03519102926121352
,35.08833,137.15681,36.4,0.09103703496230153,0.12622806422351507
,35.08852,137.15693,36.4,0.023750146297812406,0.14997821052132748
,35.08858,137.15699,36.3,0.008616579808341848,0.15859479032966933
,35.08862,137.15699,36.3,0.00443768791149423,0.16303247824116357
,35.08865,137.15698,36.3,0.0034509287107044504,0.16648340695186803
,35.08872,137.157,36.3,0.007977233581857679,0.1744606405337257
,35.08872,137.15703,36.3,0.0027356858161352343,0.17719632634986093
,35.08869,137.15721,36.4,0.01674815277352113,0.19394447912338206
,35.08876,137.15722,36.5,0.007819309081093875,0.20176378820447594
,35.08883,137.15722,36.5,0.00776595409623801,0.20952974230071394
,35.08886,137.15721,36.5,0.003450928204126653,0.2129806705048406
,35.08892,137.15721,36.6,0.006656532187822867,0.21963720269266346
,35.08907,137.15725,36.5,0.01703639186475806,0.2366735945574215
,35.08919,137.15727,36.6,0.013437405841135053,0.25011100039855655
,35.0894,137.15736,36.5,0.024701119882102236,0.27481212028065877
,35.08947,137.1574,36.5,0.008579899261425016,0.28339201954208376
,35.08951,137.15743,36.6,0.005213148377036155,0.28860516791911994
,35.08954,137.15747,36.5,0.004937807596318837,0.2935429755154388
,35.0897,137.15763,36.4,0.02297742757762216,0.31652040309306095
,35.08973,137.15765,36.5,0.003795192928122927,0.32031559602118387
,35.08973,137.15767,36.5,0.0018237680614271367,0.322139364082611
,35.0896,137.15817,36.6,0.04782094393410586,0.36996030801671687
,35.08984,137.15822,36.5,0.027013686228350552,0.3969739942450674
,35.09041,137.15837,36.3,0.06469945795516324,0.46167345220023065
,35.09042,137.15837,36.3,0.0011094223110718635,0.4627828745113025
,35.09067,137.15844,36.3,0.028460595193080272,0.49124346970438276
,35.0907,137.15844,36.4,0.003328267080216888,0.49457173678459965
,35.09079,137.15847,36.4,0.010352770870148329,0.504924507654748
,35.09086,137.15848,36.5,0.007819309032446422,0.5127438166871944
,35.09097,137.15852,36.5,0.012737076623627532,0.5254808933108219
,35.09126,137.1586,36.7,0.03298991273441753,0.5584708060452395
,35.09132,137.15864,36.7,0.007590353676239905,0.5660611597214794
,35.09132,137.15868,36.6,0.003647465328114159,0.5697086250495935
,35.09245,137.15899,37.1,0.12851218466997077,0.6982208097195644
,35.09252,137.15902,37.1,0.008233675095582102,0.7064544848151465
,35.09255,137.15904,37.1,0.0037951641206083425,0.7102496489357548
,35.09259,137.15903,37.1,0.0045304055745210145,0.7147800545102758
,35.09283,137.16029,35.5,0.11793812325636982,0.8327181777666457
,35.09283,137.16033,35.5,0.0036473980901759046,0.8363655758568216
,35.09291,137.16078,35.5,0.04198209864224254,0.8783476744990641
,35.09294,137.16089,35.4,0.010568110165645591,0.8889157846647098
,35.09294,137.16092,35.4,0.0027355448960468863,0.8916513295607567
,35.09306,137.16157,35.1,0.060746869891005584,0.9523981994517623
,35.09306,137.16163,35.1,0.00547108177450717,0.9578692812262695
,35.0931,137.16169,35.1,0.00704455990946732,0.9649138411357367
,35.09315,137.16175,35.1,0.007791223423639151,0.9727050645593759
,35.09337,137.16193,35.2,0.029412747451406603,1.0021178120107825
,35.09385,137.16239,35.5,0.06778763469651286,1.0699054467072955
,35.09403,137.16253,35.4,0.02370124612403553,1.093606692831331
,35.09409,137.16259,35.4,0.008616350816983162,1.1022230436483142
,35.09414,137.16263,35.4,0.006638793539935797,1.1088618371882502
,35.09421,137.1627,35.4,0.010052403709925776,1.118914240898176
,35.09465,137.16308,35.5,0.05986202197304369,1.1787762628712197
,35.09475,137.16318,35.6,0.014360540362912818,1.1931368032341325
,35.09484,137.16325,35.6,0.011850588364428205,1.2049873915985607
,35.09485,137.16329,35.6,0.003812306122929065,1.2087996977214899
,35.09487,137.16334,35.7,0.005070403061630288,1.21387010078312
,35.09487,137.16342,35.9,0.007294614505863891,1.221164715288984
,35.09525,137.16342,35.8,0.042158080165399195,1.263322795454383
,35.09534,137.16343,35.7,0.010026356627458387,1.2733491520818414
,35.09548,137.16342,35.8,0.015558666929964415,1.2889078190118057
,35.09552,137.16343,35.8,0.004530401114523505,1.2934382201263293
,35.09553,137.16349,35.8,0.005582271416093799,1.299020491542423
,35.09554,137.16372,36,0.02100117051045318,1.3200216620528762
,35.09556,137.16377,36,0.005070368636464948,1.3250920306893412
,35.09559,137.16389,35.8,0.01143682519031148,1.3365288558796526
,35.09564,137.16395,35.8,0.007791108258569227,1.344319964138222
,35.09566,137.16396,35.9,0.0023988939692757673,1.3467188581074978
,35.0957,137.16402,35.8,0.007044426237343593,1.3537632843448415
,35.09586,137.16417,35.8,0.02240886221666726,1.3761721465615087
,35.09594,137.16423,35.7,0.010426080096510835,1.3865982266580195
,35.09733,137.16547,35.9,0.19121759567445756,1.577815822332477
,35.0981,137.16601,37.4,0.09859925324488955,1.6764150755773666
,35.09846,137.1663,38.4,0.04789902857201565,1.7243141041493821
,35.09851,137.16633,38.4,0.00618487844155416,1.7304989825909363
,35.09869,137.16647,38.9,0.02370086789386967,1.754199850484806
,35.09979,137.16742,41.8,0.14965218948101452,1.9038520399658205
,35.09987,137.1675,41.1,0.011488147996574518,1.915340187962395
,35.1001,137.1678,41.7,0.03740717271750812,1.952747360679903
,35.10015,137.16789,41.6,0.009904927188973806,1.9626522878688768
,35.10027,137.16805,42,0.01974984037949246,1.9824021282483693
,35.10056,137.16853,42.5,0.054318250110424154,2.0367203783587935
,35.10085,137.16908,43.5,0.05958047584685469,2.0963008542056483
,35.1009,137.16916,43.3,0.009163741107288704,2.105464595312937
,35.10095,137.16922,43.2,0.007790862651597462,2.113255457964535
,35.101,137.1693,43.2,0.009163734073456328,2.122419192037991
,35.10129,137.16962,44,0.043432400930072196,2.1658515929680635
,35.10134,137.16966,44.1,0.006638622900913163,2.1724902158689767
,35.10158,137.16992,44.5,0.03564980579695774,2.2081400216659346
,35.10162,137.16999,44.6,0.007773444678310035,2.2159134663442446
,35.10167,137.17006,44.8,0.008455991931417417,2.224369458275662
,35.10169,137.17007,44.8,0.002398870497034516,2.2267683287726965
,35.10174,137.17016,45,0.009904796006569443,2.2366731247792657
,35.10174,137.17017,45,0.0009117503270026741,2.2375848751062684
,35.10187,137.17037,45.7,0.023249170680566065,2.2608340457868343
,35.10197,137.17055,44.9,0.019809558185615316,2.28064360397245
,35.10201,137.1706,42.6,0.006362016247415719,2.2870056202198654
,35.10206,137.17072,39.4,0.01226683614647567,2.299272456366341
,35.10266,137.17179,41.7,0.11810267366394481,2.417375130030286
,35.10271,137.17186,44.9,0.008455931378948574,2.4258310614092347
,35.10273,137.17193,44.9,0.006756882472422147,2.4325879438816567
,35.10314,137.17268,41.5,0.08212719168440372,2.5147151355660604
,35.10343,137.17327,39.6,0.06267957282151423,2.577394708387575
,35.10385,137.17425,39.2,0.10076952902555085,2.678164237413126
,35.10388,137.1743,39.2,0.005644337677359139,2.683808575090485
,35.10421,137.17504,39.4,0.07676097384444162,2.7605695489349267
,35.10422,137.17508,39.4,0.0038119073942419965,2.764381456329169
,35.10427,137.17519,39.4,0.011460818498068338,2.7758422748272373
,35.1043,137.17529,39.4,0.009705725632108687,2.785548000459346
,35.10433,137.17536,39.5,0.007197777025091701,2.7927457774844373
,35.10436,137.17548,39.6,0.011435705581486395,2.8041814830659235
,35.10438,137.17551,39.6,0.003521989708264719,2.8077034727741883
,35.10447,137.17574,39.6,0.023225407850065456,2.8309288806242536
,35.10449,137.17577,39.6,0.0035219868798451828,2.8344508675040987
,35.10459,137.17604,39.5,0.02700093236272541,2.861451799866824
,35.10462,137.17604,39.5,0.0033282747373141286,2.864780074604138
,35.10462,137.17605,39.5,0.0009117182588625261,2.8656917928630006
,35.10463,137.17605,39.5,0.0011094249157802619,2.866801217778781
,35.10464,137.17606,39.5,0.0014359852118000257,2.868237202990581
,35.10464,137.17611,39.5,0.004558590178203881,2.872795793168785
,35.10472,137.17624,39.4,0.014807106727639078,2.887602899896424
,35.10488,137.17675,39.6,0.04977058439462581,2.9373734842910495
,35.10483,137.17677,39.4,0.005839134789498036,2.9432126190805477
,35.10485,137.17684,39.5,0.0067567266489117215,2.9499693457294596
,35.10488,137.1769,39.6,0.006403243020151949,2.9563725887496117
,35.10539,137.17844,40.2,0.15137562507126004,3.1077482138208716
,35.1054,137.17853,40,0.008280047957577428,3.116028261778449
,35.10541,137.17856,40.2,0.0029515677455051767,3.1189798295239544
,35.10545,137.1786,40.3,0.005743918811833589,3.124723748335788
,35.10554,137.17887,40.4,0.026564084693330572,3.1512878330291185
,35.10555,137.17893,40.4,0.0055816157600297595,3.1568694487891484
,35.10557,137.17898,40.4,0.005069869180536792,3.161939317969685
,35.10561,137.17896,40.5,0.004797710550823063,3.166737028520508
,35.10573,137.17932,40.6,0.03541871472769347,3.2021557432482015
,35.10602,137.18044,40.8,0.10705958565633543,3.309215328904537
,35.10606,137.18051,40.8,0.007773162399917301,3.3169884913044543
,35.10606,137.1806,40.8,0.008205320012749406,3.3251938113172037
,35.1061,137.18074,40.9,0.013513271006278528,3.338707082323482
,35.10611,137.1808,40.9,0.005581579111740526,3.3442886614352227
,35.10627,137.18139,41.2,0.056643554932005694,3.4009322163672286
,35.10627,137.18142,41.2,0.002735099656351237,3.4036673160235797
,35.10629,137.18146,41.2,0.004268775104987879,3.4079360911285677
,35.10639,137.18175,41.2,0.028672594009733803,3.4366086851383013
,35.10652,137.18207,41.2,0.03254459826498416,3.4691532834032857
,35.1069,137.18277,41.7,0.07648614596549753,3.545639429368783
,35.10707,137.18313,41.7,0.03785393498022832,3.5834933643490117
,35.10716,137.18336,41.7,0.02322478772531698,3.6067181520743286
,35.1072,137.18344,41.7,0.008537482059853874,3.6152556341341824
,35.10721,137.18348,41.8,0.0038117801402711795,3.6190674142744537
,35.10728,137.18366,41.9,0.01815521195091376,3.6372226262253675
,35.10729,137.18372,41.9,0.005581501884139485,3.642804128109507
,35.1075,137.18435,42.4,0.06198163184102337,3.7047857599505303
,35.10766,137.18471,42.5,0.03731337006826633,3.7420991300187967
,35.1078,137.18497,42.7,0.028339206018408118,3.7704383360372047
,35.10837,137.18586,42.9,0.10287160727677477,3.8733099433139793
,35.10852,137.18606,43,0.02468596112194101,3.8979959044359203
,35.10876,137.18634,43.2,0.03688598418339645,3.9348818886193166
,35.10957,137.18717,43.6,0.11747831724563648,4.052360205864953
,35.10967,137.18726,43.5,0.01379869519016073,4.066158901055114
,35.11006,137.18755,43.7,0.050705631078078725,4.116864532133192
,35.11078,137.18801,44.2,0.09021771367758762,4.2070822458107795
,35.11095,137.18809,44.2,0.020221260667650117,4.22730350647843
,35.11113,137.18815,44.2,0.020705248127566217,4.248008754605996
,35.11155,137.18825,44.3,0.04747933340798748,4.295488088013983
,35.11159,137.18825,44.2,0.0044377047580571255,4.299925792772041
,35.11162,137.18827,44.3,0.0037949692694928643,4.303720762041534
,35.1122,137.18842,44.4,0.06578369247136895,4.369504454512903
,35.11225,137.18844,44.4,0.005839089951897688,4.3753435444648
,35.11277,137.18858,44.9,0.05908507022173545,4.434428614686536
,35.11302,137.18862,45.2,0.027974343156880865,4.462402957843417
,35.11309,137.18862,45.3,0.007765985231267145,4.470168943074684
,35.11316,137.18863,45.3,0.00781930850504532,4.477988251579729
,35.11326,137.18863,45.4,0.011094264902010091,4.48908251648174
,35.11328,137.18864,45.4,0.002398825377345058,4.491481341859085
,35.11408,137.18864,46.7,0.08875412610613326,4.580235467965219
,35.11414,137.18868,46.9,0.007589887342953369,4.587825355308172
,35.11418,137.18872,47.1,0.0057436768582188975,4.593569032166391
,35.11424,137.18873,47.6,0.006718692360062931,4.600287724526454
,35.11429,137.18879,47.4,0.007790245520556109,4.60807797004701
,35.11435,137.18888,47.4,0.010565201557345394,4.618643171604355
,35.11439,137.18896,47.3,0.008536937552135864,4.627180109156491
,35.11443,137.18908,47.2,0.011805158295101623,4.638985267451592
,35.11449,137.18913,47.6,0.008067561879231229,4.647052829330824
,35.11465,137.1897,48.2,0.05490994740317695,4.701962776734001
,35.1147,137.18982,45,0.012265334843530071,4.714228111577531
,35.11475,137.18999,47.7,0.0164601615238668,4.730688273101397
,35.11475,137.19018,47.1,0.01732050345540167,4.748008776556799
,35.11562,137.19305,46.3,0.27886567566738346,5.026874452224182
,35.11571,137.1932,46.1,0.01693143254206811,5.04380588476625
,35.11603,137.19405,52.4,0.08523118967420269,5.129037074440453
,35.11644,137.19503,80.3,0.10024914984234323,5.229286224282797
,35.11691,137.196,67.6,0.10265301677004345,5.33193924105284
,35.11712,137.19595,67.4,0.023739627472450998,5.355678868525291
,35.11846,137.19585,61.5,0.1489424781938549,5.504621346719146
,35.11847,137.19586,61.4,0.0014358893842712336,5.506057236103417
,35.11855,137.19582,61,0.009595219898101234,5.5156524560015185
,35.11861,137.19581,60.7,0.006718690519727986,5.522371146521246
,35.11877,137.19576,60.6,0.018326645351488355,5.540697791872735
,35.11906,137.19564,59.3,0.033982097067761785,5.574679888940497
,35.11914,137.19563,59.1,0.008922108848773825,5.583601997789271
,35.11917,137.19562,59.1,0.0034508551165804333,5.587052852905851
,35.11925,137.19557,58.7,0.009977296274013614,5.597030149179864
,35.11932,137.19575,58.7,0.018153036829284958,5.6151831860091495
,35.1195,137.19607,59.1,0.03535054427615435,5.650533730285304
,35.11958,137.19616,59.3,0.012086281724539067,5.662620012009842
,35.12032,137.19672,60.4,0.09667360577454633,5.7592936177843885
,35.12045,137.19688,60.7,0.020511539516428375,5.779805157300817
,35.12053,137.19702,60.8,0.015544487093807683,5.795349644394625
,35.12056,137.19712,60.4,0.009704027593443415,5.805053671988068
,35.1206,137.19722,60.4,0.010138239073326429,5.815191911061394
,35.12074,137.19776,61.6,0.05161549722099267,5.866807408282386
,35.12096,137.1985,62.7,0.0717337687675315,5.938541177049918
,35.12111,137.19881,63.6,0.03279372955758054,5.971334906607498
,35.12143,137.19933,63.8,0.05922079476936474,6.030555701376863
,35.12179,137.2,63.3,0.0729725972797729,6.103528298656636
,35.12182,137.20008,63.1,0.00801585139276979,6.111544150049406
,35.12206,137.2005,62,0.046632907962660494,6.1581770580120665
,35.12218,137.20065,61.8,0.019083670086919153,6.177260728098986
,35.12253,137.201,62.2,0.0502551848814775,6.227515912980463
,35.12276,137.20126,62.6,0.03482490137947736,6.26234081435994
,35.12283,137.20136,62.6,0.011974841620286787,6.274315655980227
,35.12307,137.2018,62.7,0.04814041678466039,6.322456072764887
,35.12339,137.20251,63,0.0738152930229413,6.396271365787829
,35.1234,137.20255,63,0.0038110909296101094,6.400082456717439
,35.1236,137.20304,62.6,0.0498717923996917,6.449954249117131
,35.1237,137.20325,62.1,0.022124313104699894,6.4720785622218315
,35.12377,137.20337,62.1,0.01341461853293303,6.485493180754765
,35.12386,137.20349,62.1,0.014810076449186802,6.500303257203952
,35.12411,137.20378,61.9,0.03831453469978806,6.53861779190374
,35.12446,137.20415,61.9,0.05143127643850505,6.590049068342245
,35.12449,137.20419,62,0.004936670674289262,6.5949857390165345
,35.12484,137.20456,62.2,0.05143117556538334,6.646416914581918
,35.12487,137.20458,62.2,0.0037948338538123234,6.650211748435731
,35.12542,137.20509,61.7,0.07670862005091256,6.726920368486644
,35.12545,137.20514,61.8,0.005643374549724177,6.732563743036367
,35.12561,137.20529,61.7,0.022405898383611407,6.7549696414199785
,35.12585,137.20546,61.9,0.030806833649468724,6.785776475069447
,35.12591,137.20548,61.9,0.006901677793388834,6.792678152862836
,35.12599,137.20553,62.2,0.009977133576755061,6.802655286439591
,35.126,137.20551,62.2,0.0021340142512764585,6.804789300690867
,35.126,137.2055,62,0.0009114801252873009,6.805700780816155
,35.12601,137.2055,62,0.0011094288357684733,6.806810209651923
,35.12601,137.20549,62,0.0009114800138760729,6.807721689665799
,35.12604,137.20549,62,0.003328286521925313,6.811049976187724
,35.12605,137.2055,62,0.0014358368512461775,6.81248581303897
,35.12606,137.2055,56,0.0011094288458898443,6.81359524188486
,35.12653,137.20586,62.5,0.0616085447199293,6.875203786604789
,35.12657,137.20591,62.6,0.0063610488315564975,6.881564835436346
,35.1266,137.20593,61.9,0.003794816170237696,6.885359651606584
,35.12671,137.20604,62.3,0.015794158861647166,6.901153810468231
,35.12698,137.20636,62,0.04180902506024931,6.942962835528481
,35.12701,137.20641,62.7,0.005643304881199363,6.94860614040968
,35.12704,137.20649,61.9,0.008015429349900597,6.956621569759581
,35.12723,137.2067,62.8,0.028472820729168888,6.98509439048875
,35.12732,137.20676,63.5,0.011384427350079987,6.99647881783883
,35.12737,137.20678,63.5,0.005838997948935284,7.002317815787766
,35.1277,137.20698,64.2,0.040898447857433996,7.0432162636452
,35.12782,137.20704,63.1,0.014392613735718877,7.057608877380919
,35.12788,137.20709,62.8,0.008067152689404753,7.065676030070324
,35.12789,137.20709,62.8,0.001109429181386962,7.066785459251711
,35.128,137.20718,64.7,0.014704492063778062,7.081489951315489
,35.12802,137.20719,63.7,0.0023987679829074104,7.083888719298397
,35.12803,137.20721,63.7,0.002133975803533339,7.0860226951019305
,35.12808,137.20726,64.1,0.007179114600670723,7.0932018097026015
,35.12819,137.20743,64.8,0.019723547755889925,7.112925357458492
,35.12824,137.20755,64.9,0.01226372617204442,7.125189083630536
,35.12826,137.20757,64.9,0.0028716431381460798,7.128060726768682
,35.1283,137.20763,64.9,0.007042749597965869,7.135103476366648
,35.12839,137.20771,64.8,0.012363874554388775,7.147467350921037
,35.12857,137.20783,64.6,0.022768780801226792,7.170236131722263
,35.12863,137.20786,64.6,0.007196297053866054,7.17743242877613
,35.1287,137.20791,64.7,0.009004409207404297,7.186436837983534
,35.12891,137.2081,64.3,0.02902919844733364,7.215466036430867
,35.12897,137.20814,64.4,0.007589584195118608,7.223055620625986
,35.12899,137.20816,64.4,0.0028716330193058128,7.225927253645292
,35.12916,137.20826,64.3,0.020947177967046062,7.246874431612338
,35.1292,137.20832,64.2,0.007042703295435074,7.253917134907773
,35.12921,137.20833,64.2,0.0014358149510229742,7.255352949858796
,35.12923,137.20838,64.3,0.005068688203440128,7.260421638062237
,35.12924,137.20842,64.3,0.0038108422533440506,7.264232480315581
,35.12931,137.2084,64.1,0.007977077662267285,7.272209557977848
,35.12938,137.20839,63.6,0.007819308124601715,7.28002886610245
,35.12943,137.2084,63.2,0.005621527377445864,7.285650393479896
,35.12946,137.2084,63.1,0.0033282884022152602,7.288978681882112
,35.12949,137.20841,63.1,0.0034508302229473075,7.292429512105059
,35.1295,137.20842,62.6,0.0014358129391761018,7.293865325044235
,35.12955,137.20844,63.3,0.00583898468134624,7.299704309725581
,35.12973,137.20856,63.1,0.022768709657067236,7.322473019382649
,35.1298,137.20863,63.3,0.01005067747716029,7.332523696859809
,35.12994,137.20874,62.9,0.01848675891356477,7.351010455773374
,35.13014,137.20893,62.8,0.028146426690698747,7.3791568824640725
,35.13024,137.20904,63.5,0.014953241311582871,7.394110123775655
,35.13025,137.20904,63.5,0.0011094296135800738,7.395219553389235
,35.13034,137.20913,63.4,0.01292226655241633,7.408141819941651
,35.13039,137.20917,64,0.006637934225187645,7.4147797541668385
,35.13045,137.2092,63.1,0.007196275791760336,7.421976029958599
,35.13102,137.20939,61.8,0.06556571652772133,7.48754174648632
,35.13104,137.20939,61.7,0.0022188595163865955,7.489760606002707
,35.13108,137.20932,59,0.0077715712406846,7.497532177243392
,35.13111,137.20929,59,0.004307405547325617,7.501839582790717
,35.13114,137.20925,60,0.004936454263663136,7.50677603705438
,35.13124,137.20917,62.7,0.013275829322902522,7.520051866377283
,35.1313,137.20923,62.6,0.008614803819985936,7.5286666701972695
,35.13131,137.20925,61.9,0.0021339136784175234,7.530800583875687
,35.13135,137.2093,61.1,0.006360860497547096,7.5371614443732335
,35.13153,137.20948,64,0.025844390248526024,7.56300583462176
,35.13154,137.2095,62.9,0.0021339093197126945,7.565139743941472
,35.13177,137.20975,64.9,0.0342094614477688,7.599349205389241
,35.13185,137.20979,65.3,0.009595012736126427,7.608944218125368
,35.13199,137.20984,65.8,0.016186738574520236,7.625130956699888
,35.13203,137.20987,66.3,0.005212429582618763,7.630343386282506
,35.13207,137.20989,65.6,0.004797504499170502,7.635140890781677
,35.13212,137.20994,65.3,0.007178974589537339,7.642319865371214
,35.13217,137.20998,66.9,0.006637892016419338,7.648957757387634
,35.13228,137.21013,67.4,0.01832571080192217,7.667283468189556
,35.13229,137.2102,67.7,0.006475614628785214,7.673759082818341
,35.13236,137.21037,68.3,0.017331296370607128,7.691090379188948
,35.13248,137.21053,69.2,0.01974564846022802,7.710836027649176
,35.1326,137.21066,69.6,0.01782196170283528,7.728657989352011
,35.13267,137.21075,70.1,0.01129577260986687,7.739953761961878
,35.1327,137.2108,70.4,0.005643050735785015,7.745596812697664
,35.13282,137.21094,71.1,0.018440427383605813,7.76403724008127
,35.13291,137.21101,71.5,0.011849042941189802,7.7758862830224595
,35.13298,137.21103,71.6,0.007977063562882575,7.783863346585342
,35.13299,137.21103,71.6,0.0011094301163528531,7.784972776701695
,35.13314,137.21107,72.6,0.01703609004904321,7.802008866750738
,35.13317,137.2111,73,0.004307362711165857,7.8063162294619035
,35.13321,137.21112,73.3,0.00479749561964,7.811113725081544
,35.13325,137.21116,73.8,0.005743148204323484,7.816856873285867
,35.13332,137.21125,74.5,0.011295725846193073,7.828152599132061
,35.13342,137.21131,75.9,0.012368783364436956,7.840521382496497
,35.13346,137.21132,76.3,0.0045303433449553005,7.8450517258414525
,35.13354,137.21131,76.8,0.008922113477070306,7.853973839318523
,35.1336,137.21132,77.3,0.006718684207065514,7.8606925235255884
,35.13364,137.21132,77.7,0.004437720933346192,7.865130244458935
,35.13378,137.21137,79,0.01618671490668565,7.88131695936562
,35.13385,137.21142,79.8,0.009004269699893453,7.890321229065513
,35.13402,137.21152,81.5,0.020946955987695498,7.911268185053209
,35.13435,137.21179,84,0.04411246028796975,7.955380645341179
,35.13435,137.2118,84,0.0009113870872241065,7.9562920324284025
,35.13438,137.21183,84.6,0.00430733754937142,7.960599369977774
,35.13442,137.21191,85.3,0.008535420211440095,7.969134790189214
,35.13444,137.21198,86.2,0.00675455092301586,7.97588934111223
,35.13444,137.212,86.3,0.0018227721660356102,7.977712113278265
,35.13447,137.21212,86.7,0.011431859855203145,7.989143973133468
,35.13451,137.21222,87.5,0.010136850132090048,7.999280823265559
,35.13457,137.21233,88.2,0.012033927852932112,8.01131475111849
,35.13461,137.21236,88.3,0.0052123859529276005,8.016527137071417
,35.13462,137.21238,88.7,0.0021338509802979974,8.018660988051716
,35.13469,137.21245,89.1,0.01005044021132268,8.028711428263039
,35.13489,137.2126,90.4,0.026061912855506547,8.054773341118546
,35.13499,137.2127,90.9,0.014357751976869467,8.069131093095415
,35.13507,137.21287,91.7,0.017855546739124668,8.086986639834539
,35.13522,137.21313,93.2,0.02895566714019448,8.115942306974732
,35.13543,137.21357,95.1,0.04637729130171568,8.162319598276447
,35.13546,137.21361,95.4,0.0049363136609140625,8.167255911937362
,35.13565,137.21399,98.8,0.040542830307373566,8.207798742244735
,35.13582,137.21423,100.5,0.02888141801633199,8.236680160261068
,35.13584,137.21425,100.5,0.002871538055880612,8.23955169831695
,35.13653,137.21516,108.7,0.11286328569764212,8.352414984014592
,35.13727,137.21591,113,0.10682717100506538,8.459242155019657
,35.13739,137.21601,113.4,0.016133725866597858,8.475375880886254
,35.13753,137.21611,113.9,0.018008341903328774,8.493384222789583
,35.13755,137.21613,113.9,0.0028715143491645826,8.496255737138748
,35.13757,137.21614,114,0.00239873079029385,8.498654467929041
,35.1382,137.21635,116,0.07246700869027208,8.571121476619313
,35.1385,137.21637,116.7,0.03333280383924551,8.604454280458558
,35.13853,137.21638,116.8,0.003450808418071151,8.60790508887663
,35.13915,137.21641,117.6,0.06883904724634583,8.676744136122975
,35.13924,137.21644,117.6,0.010352420331606195,8.687096556454582
,35.13929,137.21647,117.6,0.006184309401078211,8.69328086585566
,35.13939,137.2165,117.3,0.011426219964021885,8.704707085819683
,35.13943,137.21652,117.2,0.004797447169483652,8.709504532989166
,35.13962,137.21657,116.6,0.02156607277840957,8.731070605767576
,35.13968,137.21661,116.3,0.007589365225306919,8.738659970992883
,35.1402,137.21687,107.4,0.0623667595408939,8.801026730533776
,35.14028,137.21692,114.7,0.00997678857562395,8.8110035191094
,35.14038,137.21704,116.8,0.015578078523619285,8.82658159763302
,35.14049,137.21714,116.8,0.015230945672968397,8.841812543305988
,35.14057,137.2172,116.8,0.010424570991600044,8.852237114297587
,35.14062,137.21722,116.7,0.0058389173067658375,8.858076031604353
,35.14067,137.21723,116.6,0.005621517242193298,8.863697548846547
,35.1407,137.2172,116.7,0.004307206116633548,8.86800475496318
,35.14121,137.21737,117.2,0.05866364303239174,8.926668397995572
,35.14157,137.21757,118.1,0.04390171067439533,8.970570108669968
,35.14162,137.21759,118.3,0.00583891122075518,8.976409019890722
,35.14167,137.2176,118.5,0.005621516339634896,8.982030536230358
,35.14173,137.21763,118.7,0.007196144000795436,8.989226680231154
,35.14182,137.2177,119.2,0.011848681109170122,9.001075361340323
,35.14186,137.21774,119.4,0.0057429094594322,9.006818270799755
,35.14196,137.21781,119.6,0.012797540843397865,9.019615811643153
,35.1421,137.21794,120.8,0.01953442905338673,9.03915024069654
,35.14212,137.21795,120.8,0.0023987130698698744,9.041548953766409
,35.14265,137.21834,123,0.0687063411758736,9.110255294942283
,35.14271,137.21837,122.9,0.007196132546010289,9.117451427488293
,35.14272,137.21838,123,0.0014357212987220257,9.118887148787016
,35.143,137.21847,123.3,0.032128564764836574,9.151015713551852
,35.14323,137.21853,123,0.026096170890882602,9.177111884442734
,35.14337,137.21855,122.9,0.015638615587014706,9.19275050002975
,35.14344,137.21857,122.4,0.007977023367217785,9.200727523396967
,35.14369,137.21855,122.5,0.02779561905255313,9.22852314244952
,35.14378,137.21855,122.3,0.009984888800140026,9.23850803124966
,35.14397,137.21858,122.4,0.021255752118971096,9.259763783368632
,35.1445,137.21873,121.9,0.0603678280285681,9.3201316113972
,35.14461,137.21873,121.8,0.012203754631274912,9.332335366028474
,35.14467,137.21872,122.3,0.006718679543960224,9.339054045572434
,35.1447,137.21872,122.2,0.003328296789896558,9.342382342362331
,35.14499,137.21865,121.2,0.03279979722896874,9.375182139591299
,35.14509,137.21865,120.7,0.011094323281999677,9.3862764628733
,35.14523,137.21868,121.1,0.015770806222912406,9.402047269096212
,35.14525,137.21868,121.3,0.0022188647298923953,9.404266133826104
,35.14529,137.21869,120.6,0.004530325326648199,9.408796459152752
,35.14534,137.21872,120.7,0.006184224948905707,9.414980684101657
,35.14536,137.21874,120.4,0.0028714060617926426,9.41785209016345
,35.14561,137.21911,118.8,0.043658826003750296,9.4615109161672
,35.14568,137.21918,118.4,0.01004990689698356,9.471560823064182
,35.1461,137.21937,116.6,0.049708893012550597,9.521269716076732
,35.14612,137.2194,116.6,0.0035209160650938836,9.524790632141826
,35.14615,137.21943,116.4,0.0043070927619035405,9.52909772490373
,35.14623,137.21954,116.3,0.01338844617272545,9.542486171076456
,35.14628,137.21965,114.8,0.011456332310136704,9.553942503386594
,35.14637,137.21991,113.5,0.025710641980927026,9.579653145367521
,35.14639,137.21995,112.8,0.0042672561856902875,9.583920401553211
,35.1464,137.22,112.9,0.0046893906075557625,9.588609792160767
,35.1465,137.2201,112.6,0.014356954040671206,9.602966746201439
