PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
東京都調布市西つつじケ丘３丁目３５−９,35.65837,139.5751,36.7,,0
,35.65831,139.57498,36.9,0.012743246526322076,0.012743246526322076
,35.6583,139.57495,36.9,0.0029343806913248015,0.01567762721764688
,35.65826,139.57487,36.9,0.008495502283104058,0.024173129500750935
,35.65818,139.57469,36.8,0.018559396374339957,0.042732525875090896
,35.65825,139.57466,36.9,0.00822806116206569,0.050960587037156585
,35.65826,139.57465,36.9,0.0014321311515418968,0.05239271818869848
,35.65827,139.57465,36.9,0.0011095267833867756,0.05350224497208526
,35.65829,139.57465,37,0.0022190535763923743,0.055721298548477634
,35.65831,139.57465,37,0.0022190535806201404,0.057940352129097775
,35.65833,139.57465,37,0.002219053589439492,0.060159405718537264
,35.65834,139.57465,37,0.0011095267982930337,0.0612689325168303
,35.65836,139.57466,37.1,0.0023966949924793253,0.06366562750930962
,35.65837,139.57466,37.1,0.0011095268022570822,0.0647751543115667
,35.65839,139.57467,37,0.0023966948742348377,0.06717184918580155
,35.65842,139.57469,37.1,0.0037893581538629107,0.07096120733966446
,35.65846,139.57472,37.1,0.005203490330147603,0.07616469766981207
,35.65851,139.57475,37.2,0.0061770342086203646,0.08234173187843244
,35.65902,139.57454,37.2,0.05969551150655569,0.14203724338498813
,35.65919,139.57447,37.1,0.019898496290503886,0.16193573967549202
,35.6594,139.57438,36.7,0.024684151211156396,0.1866198908866484
,35.65932,139.5741,36.9,0.026862804332578052,0.21348269521922647
,35.65927,139.57396,37,0.01383771206332742,0.2273204072825539
,35.65925,139.57389,37,0.0067157085274853505,0.23403611581003925
,35.65923,139.57382,37.1,0.006715710018618397,0.24075182582865765
,35.65918,139.57369,37.2,0.013013243665819301,0.25376506949447697
,35.65904,139.57328,37.3,0.040244158400065386,0.29400922789454237
,35.65903,139.57325,37.3,0.002934357854479925,0.2969435857490223
,35.65922,139.57308,37.2,0.0261030545794871,0.3230466403285094
,35.65929,139.57303,37.2,0.008989977312064709,0.33203661764057407
,35.65975,139.5726,37.3,0.06419456252756026,0.3962311801681343
,35.65986,139.57249,37.4,0.01575332338510272,0.411984503553237
,35.65994,139.57242,37.4,0.010907021697045672,0.4228915252502827
,35.65997,139.57239,37.4,0.004296357774358367,0.42718788302464106
,35.6601,139.57226,37.6,0.018617543087534154,0.4458054261121752
,35.66015,139.5722,37.6,0.007764862072639389,0.4535702881848146
,35.6602,139.57215,37.6,0.0071605885990306956,0.4607308767838453
,35.66025,139.57211,37.7,0.00662531636744645,0.46735619315129173
,35.66027,139.57208,37.7,0.0035076177999955197,0.47086381095128726
,35.66034,139.57203,37.8,0.008989948635188967,0.47985375958647625
,35.66048,139.57191,38,0.018956591435971813,0.4988103510224481
,35.66059,139.57184,38.2,0.013752541144270694,0.5125628921667188
,35.66068,139.57177,38.4,0.011827521568985793,0.5243904137357046
,35.66079,139.57169,38.9,0.014192627880417951,0.5385830416161226
,35.66085,139.57166,39,0.007190055906076263,0.5457730975221988
,35.6609,139.57163,39.3,0.006177000592594139,0.551950098114793
,35.661,139.57157,39.8,0.012353999076679147,0.5643040971914721
,35.66112,139.5715,40.5,0.014746052254840287,0.5790501494463124
,35.66118,139.57147,41,0.007190052022037372,0.5862402014683498
,35.66145,139.57134,43.4,0.03218690883525955,0.6184271103036093
,35.66147,139.57133,43.4,0.002396682791258799,0.6208237930948681
,35.6615,139.57132,43.6,0.003449542426488039,0.6242733355213561
,35.66151,139.57131,43.6,0.0014321084155441471,0.6257054439369003
,35.66152,139.5713,43.8,0.0014321083470973282,0.6271375522839976
,35.66153,139.57129,43.8,0.001432108276528655,0.6285696605605262
,35.66154,139.57127,43.8,0.0021238132188236064,0.6306934737793498
,35.66155,139.57126,43.8,0.0014321081357493218,0.6321255819150992
,35.66155,139.57125,44.1,0.0009054736792305292,0.6330310555943297
,35.66156,139.57123,44.1,0.002123812833639764,0.6351548684279694
,35.66156,139.57122,44.1,0.0009054735663338664,0.6360603419943033
