PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
立川駅,35.69826,139.41378,83.4,,0
,35.6973,139.41378,83.2,0.10651527185492946,0.10651527185492946
,35.69726,139.41374,83.2,0.005727432375190295,0.11224270423011976
,35.69724,139.41357,83.1,0.015545396324522658,0.1277881005546424
,35.69724,139.41299,83.3,0.05249409333358592,0.18028219388822833
,35.69723,139.41297,83.3,0.0021231290699320806,0.18240532295816042
,35.69712,139.41291,83.3,0.01335846128964806,0.1957637842478085
,35.69695,139.41284,83.3,0.019897654150716666,0.21566143839852517
,35.69646,139.41256,83,0.05998343478066677,0.27564487317919195
,35.69643,139.41255,83,0.003449457492606972,0.2790943306717989
,35.69585,139.41224,83.2,0.07020349538552595,0.34929782605732485
,35.69572,139.41216,83.2,0.016139320792511642,0.36543714684983647
,35.69564,139.41213,83.3,0.009282285441646368,0.37471943229148286
,35.69562,139.41214,83.3,0.002396548699725144,0.377115980991208
,35.69559,139.41217,83.2,0.004295609451457542,0.38141159044266554
,35.69558,139.4122,83.2,0.002933213996834471,0.38434480443950003
,35.69531,139.41207,83.3,0.03218523491515936,0.4165300393546594
,35.69525,139.41203,83.3,0.007577956195179792,0.4241079955498392
,35.69517,139.41199,83.3,0.009586201389068282,0.4336941969389075
,35.69514,139.41198,83.2,0.0034494606258010604,0.4371436575647085
,35.69419,139.41147,83.5,0.11507002785788123,0.5522136854225898
,35.69399,139.41135,83.6,0.02470613323587003,0.5769198186584598
,35.69395,139.41134,83.6,0.004529486582869586,0.5814493052413293
,35.69377,139.41124,83.5,0.021926855950808632,0.603376161192138
,35.69374,139.41121,83.6,0.004295648296244019,0.6076718094883821
,35.69336,139.41101,83.7,0.045884070355941574,0.6535558798443236
,35.69331,139.41099,83.7,0.005835540410426615,0.6593914202547503
,35.69282,139.41073,83.3,0.05924178859107309,0.7186332088458234
,35.6928,139.41071,83.3,0.002863778758767482,0.7214969876045909
,35.69245,139.41051,82.7,0.04284567618611444,0.7643426637907054
,35.69233,139.41046,82.6,0.014062519935907063,0.7784051837266124
,35.69225,139.4104,82.6,0.010405826050529017,0.7888110097771414
,35.69219,139.41037,82.6,0.007189686251882858,0.7960006960290242
,35.69214,139.41036,82.6,0.005621018232786484,0.8016217142618107
,35.69175,139.41014,82.5,0.04763370560132113,0.8492554198631319
,35.69171,139.4101,82.6,0.005727587751160328,0.8549830076142922
,35.69129,139.40988,82.3,0.05067664570616581,0.9056596533204581
,35.69124,139.40986,82,0.005835553103407996,0.9114952064238661
,35.69106,139.40976,81.2,0.021926974133264325,0.9334221805571303
,35.69012,139.40937,76.7,0.11010817528348738,1.0435303558406177
,35.69012,139.40934,76.7,0.0027154530620390072,1.0462458089026567
,35.69006,139.40933,74.6,0.006718449012623881,1.0529642579152807
,35.69006,139.40928,74.7,0.0045257584926646005,1.0574900164079453
,35.69005,139.40928,74.7,0.001109532654810007,1.0585995490627553
,35.68964,139.40911,70.8,0.048022860486881175,1.1066224095496364
,35.68954,139.40908,70.7,0.011422785784701447,1.1180451953343378
,35.68952,139.40906,70.8,0.0028638246675562876,1.120909020001894
,35.68949,139.40908,70.8,0.003789037631043962,1.124698057632938
,35.68947,139.40911,70.9,0.0035068580007472172,1.128204915633685
,35.68916,139.40898,72,0.0363526502756039,1.164557565909289
,35.68913,139.40896,72,0.003789041342799902,1.168346607252089
,35.6888,139.40883,70,0.03845896805677882,1.2068055753088678
,35.68876,139.40882,71.1,0.004529494542321017,1.2113350698511889
,35.68832,139.40863,70.8,0.051760164083980195,1.263095233935169
,35.68828,139.40862,70.8,0.004529495278371094,1.26762472921354
,35.68746,139.40827,70.5,0.09633979722743888,1.363964526440979
,35.68709,139.40813,71.2,0.042964138281070395,1.4069286647220494
,35.68702,139.40809,71.6,0.008569235060999152,1.4154978997830485
,35.68678,139.408,72.8,0.02784708027163144,1.44334498005468
,35.68651,139.40788,74.6,0.03186585786817522,1.4752108379228552
,35.68637,139.40783,75.4,0.01617938015062969,1.4913902180734848
,35.68631,139.40779,74,0.007578140513028331,1.4989683585865132
,35.68267,139.40626,75.3,0.42695694608286744,1.9259253046693807
,35.68266,139.40626,75.3,0.0011095312905318772,1.9270348359599125
,35.68222,139.40608,73.1,0.05146683329854339,1.9785016692584558
,35.68196,139.40594,71.4,0.03150890119997207,2.010010570458428
,35.68195,139.40594,71.4,0.0011095311581525436,2.0111201016165805
,35.68179,139.40583,71.2,0.02035452562890674,2.0314746272454873
,35.68175,139.40579,71.1,0.005727866552261066,2.037202493797748
,35.6816,139.40568,70.9,0.019394440905595046,2.056596934703343
,35.68149,139.40557,70.7,0.015751650335700893,2.0723485850390437
,35.68146,139.40555,70.7,0.0037891204041125594,2.0761377054431565
,35.68117,139.40525,70.6,0.04210524106135038,2.1182429465045067
,35.68099,139.405,70.6,0.030183441746694233,2.148426388251201
,35.68081,139.4047,70.6,0.03371055231360801,2.182136940564809
,35.6808,139.40466,70.6,0.0037871996019328783,2.1859241401667417
