datetime,temp,on_sec(s),power(%),P,I,D,PID
20210220 18:02:09,60.437,0,0,-0.4369999999999976,-1.2206179295624322,0.025200000000000954,0.0
20210220 18:02:14,60.375,0,0,-0.4369999999999976,-1.189117929562431,0.025200000000000954,0.0
20210220 18:02:19,60.375,0,0,-0.375,-1.1433014270993762,0.025,0.0
20210220 18:02:24,60.375,0,0,-0.375,-1.0808014270993762,0.012399999999999523,0.0
20210220 18:02:29,60.312,0,0,-0.375,-1.03299246231816,0.012399999999999523,0.0
20210220 18:02:34,60.25,0,0,-0.3119999999999976,-0.9708778206810482,0.012600000000000477,0.0
20210220 18:02:39,60.25,0,0,-0.25,-0.8945877850938602,0.025,0.0
20210220 18:02:44,60.187,0,0,-0.25,-0.815404287556915,0.025,0.0
20210220 18:02:49,60.125,0,0,-0.1869999999999976,-0.7394248825225896,0.025,0.0
20210220 18:02:54,60.125,0,0,-0.125,-0.633005010727717,0.025,0.0
20210220 18:02:59,60.125,0,0,-0.125,-0.5223106875836127,0.025,0.0
20210220 18:03:04,60.062,0,0,-0.125,-0.442600723170802,0.012399999999999523,0.0
20210220 18:03:09,60.0,0,0,-0.06199999999999761,-0.3696568729034222,0.012600000000000477,0.0
20210220 18:03:14,60.0,0,0,0.0,-0.2891362779377464,0.025,0.0
20210220 18:03:19,60.0,0,0,0.0,-0.2891362779377464,0.025,0.0
20210220 18:03:24,59.937,0,0,0.0,-0.2891362779377464,0.025,0.0
20210220 18:03:29,59.937,0,0,0.06300000000000239,-0.1765561497326178,0.03760000000000048,0.0
20210220 18:03:34,59.875,0,0,0.06300000000000239,-0.08255614973261662,0.025,0.0
20210220 18:03:40,59.875,1.1226388572837644,0.22452777145675287,0.125,0.032055552395043097,0.025,0.0
20210220 18:03:45,59.875,1.9532003546099541,0.3906400709219908,0.125,0.14661170212766328,0.012399999999999523,0.0
20210220 18:03:50,59.812,2.888200354609942,0.5776400709219884,0.125,0.24011170212766209,0.012399999999999523,0.0
20210220 18:03:55,59.812,3.4816516325652374,0.6963303265130475,0.1880000000000024,0.2900318299231889,0.012600000000000477,0.0
20210220 18:04:00,59.812,4.106651632565238,0.8213303265130475,0.1880000000000024,0.3525318299231889,0.012600000000000477,0.0
20210220 18:04:05,59.812,4.525534611288652,0.9051069222577305,0.1880000000000024,0.3944201277955304,0.012600000000000477,0.0
20210220 18:04:10,59.812,4.525534611288652,0.9051069222577305,0.1880000000000024,0.42592012779553157,0.0,0.0
20210220 18:04:15,59.812,4.840534611288664,0.9681069222577329,0.1880000000000024,0.45742012779553276,0.0,0.0
20210220 18:04:20,59.812,4.966333333333396,0.9932666666666793,0.1880000000000024,0.47000000000000597,0.0,0.0
20210220 18:04:25,59.875,4.966333333333396,0.9932666666666793,0.1880000000000024,0.47000000000000597,0.0,0.0
20210220 18:04:30,59.875,4.436284611288649,0.8872569222577298,0.125,0.45742012779553276,-0.012600000000000477,0.0
20210220 18:04:35,59.875,4.121284611288637,0.8242569222577274,0.125,0.42592012779553157,-0.012600000000000477,0.0
20210220 18:04:40,59.875,3.806284611288625,0.761256922257725,0.125,0.3944201277955304,-0.012600000000000477,0.0
20210220 18:04:45,59.875,3.806284611288625,0.761256922257725,0.125,0.3629201277955292,0.0,0.0
20210220 18:04:50,59.875,3.491284611288613,0.6982569222577226,0.125,0.331420127795528,0.0,0.0
20210220 18:04:55,59.937,3.302083333333333,0.6604166666666667,0.125,0.3125,0.0,0.0
20210220 18:05:00,59.937,2.8003670212766125,0.5600734042553225,0.06300000000000239,0.3021117021276597,-0.012399999999999523,0.0
20210220 18:05:05,59.937,2.4903670212766245,0.49807340425532487,0.06300000000000239,0.2711117021276609,-0.012399999999999523,0.0
20210220 18:05:10,59.937,2.1803670212766364,0.43607340425532726,0.06300000000000239,0.24011170212766209,-0.012399999999999523,0.0
20210220 18:05:15,59.937,2.1803670212766364,0.43607340425532726,0.06300000000000239,0.20911170212766328,0.0,0.0
20210220 18:05:20,59.937,1.8703670212766483,0.37407340425532964,0.06300000000000239,0.17811170212766447,0.0,0.0
20210220 18:05:25,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:05:30,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:05:35,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:05:40,59.875,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:05:45,59.875,2.268200354609966,0.4536400709219932,0.125,0.17811170212766447,0.012399999999999523,0.0
20210220 18:05:50,59.875,2.578200354609954,0.5156400709219908,0.125,0.20911170212766328,0.012399999999999523,0.0
20210220 18:05:55,59.875,2.888200354609942,0.5776400709219884,0.125,0.24011170212766209,0.012399999999999523,0.0
20210220 18:06:00,59.875,2.888200354609942,0.5776400709219884,0.125,0.2711117021276609,0.0,0.0
20210220 18:06:05,59.875,3.1982003546099302,0.639640070921986,0.125,0.3021117021276597,0.0,0.0
20210220 18:06:10,59.875,3.302083333333333,0.6604166666666667,0.125,0.3125,0.0,0.0
20210220 18:06:15,59.875,3.302083333333333,0.6604166666666667,0.125,0.3125,0.0,0.0
20210220 18:06:20,59.937,3.302083333333333,0.6604166666666667,0.125,0.3125,0.0,0.0
20210220 18:06:25,59.937,2.8003670212766125,0.5600734042553225,0.06300000000000239,0.3021117021276597,-0.012399999999999523,0.0
20210220 18:06:30,59.937,2.4903670212766245,0.49807340425532487,0.06300000000000239,0.2711117021276609,-0.012399999999999523,0.0
20210220 18:06:35,59.937,2.1803670212766364,0.43607340425532726,0.06300000000000239,0.24011170212766209,-0.012399999999999523,0.0
20210220 18:06:40,59.937,2.1803670212766364,0.43607340425532726,0.06300000000000239,0.20911170212766328,0.0,0.0
20210220 18:06:46,59.937,1.8703670212766483,0.37407340425532964,0.06300000000000239,0.17811170212766447,0.0,0.0
20210220 18:06:51,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:06:56,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:07:01,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:07:06,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:07:11,59.875,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:07:16,59.875,2.268200354609966,0.4536400709219932,0.125,0.17811170212766447,0.012399999999999523,0.0
20210220 18:07:21,59.875,2.578200354609954,0.5156400709219908,0.125,0.20911170212766328,0.012399999999999523,0.0
20210220 18:07:26,59.875,2.888200354609942,0.5776400709219884,0.125,0.24011170212766209,0.012399999999999523,0.0
20210220 18:07:31,59.875,2.888200354609942,0.5776400709219884,0.125,0.2711117021276609,0.0,0.0
20210220 18:07:36,59.875,3.1982003546099302,0.639640070921986,0.125,0.3021117021276597,0.0,0.0
20210220 18:07:41,59.875,3.302083333333333,0.6604166666666667,0.125,0.3125,0.0,0.0
20210220 18:07:46,59.937,3.302083333333333,0.6604166666666667,0.125,0.3125,0.0,0.0
20210220 18:07:51,59.937,2.8003670212766125,0.5600734042553225,0.06300000000000239,0.3021117021276597,-0.012399999999999523,0.0
20210220 18:07:56,59.937,2.4903670212766245,0.49807340425532487,0.06300000000000239,0.2711117021276609,-0.012399999999999523,0.0
20210220 18:08:01,59.937,2.1803670212766364,0.43607340425532726,0.06300000000000239,0.24011170212766209,-0.012399999999999523,0.0
20210220 18:08:06,59.937,2.1803670212766364,0.43607340425532726,0.06300000000000239,0.20911170212766328,0.0,0.0
20210220 18:08:11,59.937,1.8703670212766483,0.37407340425532964,0.06300000000000239,0.17811170212766447,0.0,0.0
20210220 18:08:16,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:08:21,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:08:26,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:08:31,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:08:36,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:08:41,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:08:46,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:08:51,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:08:56,59.875,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:09:01,59.937,2.268200354609966,0.4536400709219932,0.125,0.17811170212766447,0.012399999999999523,0.0
20210220 18:09:06,59.937,2.0764840425532336,0.4152968085106467,0.06300000000000239,0.198723404255323,0.0,0.0
20210220 18:09:11,59.875,2.0764840425532336,0.4152968085106467,0.06300000000000239,0.198723404255323,0.0,0.0
20210220 18:09:16,59.937,2.3704343971631485,0.4740868794326297,0.125,0.21933510638298154,0.0,0.0
20210220 18:09:21,59.937,2.488718085106404,0.4977436170212808,0.06300000000000239,0.23994680851064004,0.0,0.0
20210220 18:09:26,59.937,2.282601063829819,0.4565202127659638,0.06300000000000239,0.21933510638298154,0.0,0.0
20210220 18:09:31,59.937,1.7664840425532455,0.3532968085106491,0.06300000000000239,0.198723404255323,-0.012399999999999523,0.0
20210220 18:09:36,59.937,2.076484042553233,0.41529680851064665,0.06300000000000239,0.19872340425532298,0.0,0.0
20210220 18:09:42,59.937,1.8703670212766483,0.37407340425532964,0.06300000000000239,0.17811170212766447,0.0,0.0
20210220 18:09:47,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:09:52,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:09:57,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:10:02,59.875,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:10:07,59.875,2.268200354609966,0.4536400709219932,0.125,0.17811170212766447,0.012399999999999523,0.0
20210220 18:10:12,59.875,2.578200354609954,0.5156400709219908,0.125,0.20911170212766328,0.012399999999999523,0.0
20210220 18:10:17,59.875,2.888200354609942,0.5776400709219884,0.125,0.24011170212766209,0.012399999999999523,0.0
20210220 18:10:22,59.875,2.888200354609942,0.5776400709219884,0.125,0.2711117021276609,0.0,0.0
20210220 18:10:27,59.937,3.1982003546099302,0.639640070921986,0.125,0.3021117021276597,0.0,0.0
20210220 18:10:32,59.937,2.8003670212766125,0.5600734042553225,0.06300000000000239,0.3021117021276597,-0.012399999999999523,0.0
20210220 18:10:37,59.937,2.4903670212766245,0.49807340425532487,0.06300000000000239,0.2711117021276609,-0.012399999999999523,0.0
20210220 18:10:42,59.937,2.1803670212766364,0.43607340425532726,0.06300000000000239,0.24011170212766209,-0.012399999999999523,0.0
20210220 18:10:47,59.937,2.1803670212766364,0.43607340425532726,0.06300000000000239,0.20911170212766328,0.0,0.0
20210220 18:10:52,59.937,1.8703670212766483,0.37407340425532964,0.06300000000000239,0.17811170212766447,0.0,0.0
20210220 18:10:57,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:02,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:07,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:12,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:17,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:22,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:27,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:32,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:37,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:42,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:47,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:52,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:11:57,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:12:02,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:12:07,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:12:12,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:12:17,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:12:23,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:12:28,59.875,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:12:33,59.875,2.268200354609966,0.4536400709219932,0.125,0.17811170212766447,0.012399999999999523,0.0
20210220 18:12:38,59.875,2.578200354609954,0.5156400709219908,0.125,0.20911170212766328,0.012399999999999523,0.0
20210220 18:12:43,59.937,2.888200354609942,0.5776400709219884,0.125,0.24011170212766209,0.012399999999999523,0.0
20210220 18:12:48,59.937,2.386484042553221,0.47729680851064427,0.06300000000000239,0.2607234042553206,-0.012399999999999523,0.0
20210220 18:12:53,59.937,2.386484042553221,0.47729680851064427,0.06300000000000239,0.2607234042553206,-0.012399999999999523,0.0
20210220 18:12:58,59.937,2.1803670212766364,0.43607340425532726,0.06300000000000239,0.24011170212766209,-0.012399999999999523,0.0
20210220 18:13:03,59.937,2.1803670212766364,0.43607340425532726,0.06300000000000239,0.20911170212766328,0.0,0.0
20210220 18:13:08,59.937,1.8703670212766483,0.37407340425532964,0.06300000000000239,0.17811170212766447,0.0,0.0
20210220 18:13:13,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:13:18,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:13:23,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:13:28,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
20210220 18:13:33,59.937,1.664250000000063,0.33285000000001264,0.06300000000000239,0.15750000000000597,0.0,0.0
