datetime,temp,on_sec(s),power(%),P,I,D,PID
20221028 22:03:21,39.75,5,1,30.313000000000002,0,0,0.0
20221028 22:03:26,39.75,5,1,30.25,0,0,0.0
20221028 22:03:31,39.812,5,1,30.25,0,0,0.0
20221028 22:03:36,39.812,5,1,30.188000000000002,0,0,0.0
20221028 22:03:41,39.875,5,1,30.188000000000002,0,0,0.0
20221028 22:03:46,39.875,5,1,30.125,0,0,0.0
20221028 22:03:51,40.0,5,1,30.125,0,0,0.0
20221028 22:03:56,40.062,5,1,30.0,0,0,0.0
20221028 22:04:02,40.062,5,1,29.938000000000002,0,0,0.0
20221028 22:04:07,40.062,5,1,29.938000000000002,0,0,0.0
20221028 22:04:12,40.25,5,1,29.938000000000002,0,0,0.0
20221028 22:04:18,40.312,5,1,29.688000000000002,0,0,0.0
20221028 22:04:23,40.437,5,1,29.688000000000002,0,0,0.0
20221028 22:04:28,40.437,5,1,29.563000000000002,0,0,0.0
20221028 22:04:34,40.437,5,1,29.563000000000002,0,0,0.0
20221028 22:04:39,40.625,5,1,29.563000000000002,0,0,0.0
20221028 22:04:44,40.687,5,1,29.375,0,0,0.0
20221028 22:04:49,40.812,5,1,29.313000000000002,0,0,0.0
20221028 22:04:54,40.875,5,1,29.188000000000002,0,0,0.0
20221028 22:04:59,40.937,5,1,29.125,0,0,0.0
20221028 22:05:04,41.0,5,1,29.063000000000002,0,0,0.0
20221028 22:05:09,41.0,5,1,29.0,0,0,0.0
20221028 22:05:16,41.0,5,1,29.0,0,0,0.0
20221028 22:05:21,41.0,5,1,29.0,0,0,0.0
20221028 22:05:26,41.375,5,1,29.0,0,0,0.0
20221028 22:05:31,41.375,5,1,28.625,0,0,0.0
20221028 22:05:36,41.5,5,1,28.625,0,0,0.0
20221028 22:05:41,41.562,5,1,28.5,0,0,0.0
20221028 22:05:46,41.625,5,1,28.438000000000002,0,0,0.0
20221028 22:05:51,41.75,5,1,28.375,0,0,0.0
20221028 22:05:56,41.812,5,1,28.25,0,0,0.0
20221028 22:06:01,41.875,5,1,28.188000000000002,0,0,0.0
20221028 22:06:06,41.875,5,1,28.125,0,0,0.0
20221028 22:06:11,42.062,5,1,28.125,0,0,0.0
20221028 22:06:18,42.125,5,1,27.875,0,0,0.0
20221028 22:06:23,42.187,5,1,27.875,0,0,0.0
20221028 22:06:28,42.25,5,1,27.813000000000002,0,0,0.0
20221028 22:06:34,42.375,5,1,27.625,0,0,0.0
20221028 22:06:39,42.437,5,1,27.625,0,0,0.0
20221028 22:06:44,42.437,5,1,27.563000000000002,0,0,0.0
20221028 22:06:49,42.562,5,1,27.563000000000002,0,0,0.0
20221028 22:06:54,42.687,5,1,27.438000000000002,0,0,0.0
20221028 22:06:59,42.75,5,1,27.313000000000002,0,0,0.0
20221028 22:07:04,42.812,5,1,27.25,0,0,0.0
20221028 22:07:09,42.812,5,1,27.188000000000002,0,0,0.0
20221028 22:07:14,42.937,5,1,27.188000000000002,0,0,0.0
20221028 22:07:20,42.937,5,1,27.063000000000002,0,0,0.0
20221028 22:07:26,43.125,5,1,26.875,0,0,0.0
20221028 22:07:31,43.25,5,1,26.875,0,0,0.0
20221028 22:07:36,43.375,5,1,26.75,0,0,0.0
20221028 22:07:42,43.375,5,1,26.625,0,0,0.0
20221028 22:07:47,43.5,5,1,26.625,0,0,0.0
20221028 22:07:52,43.562,5,1,26.5,0,0,0.0
20221028 22:07:57,43.687,5,1,26.438000000000002,0,0,0.0
