datetime,temp,on_sec(s),power(%),P,I,D,PID
20230704 00:17:19,58.125,5,1,1.9380000000000024,5.016982281104102,-0.024799999999999045,0.0
20230704 00:17:24,58.187,5,1,1.875,4.938992509270899,-0.037399999999999524,0.0
20230704 00:17:29,58.25,5,1,1.8130000000000024,4.845258868011729,-0.037399999999999524,0.0
20230704 00:17:34,58.312,5,1,1.75,4.736287355241592,-0.03760000000000048,0.0
20230704 00:17:39,58.375,5,1,1.6880000000000024,4.611322845716258,-0.037399999999999524,0.0
20230704 00:17:44,58.437,5,1,1.625,4.4551283151744165,-0.03760000000000048,0.0
20230704 00:17:49,58.5,5,1,1.5630000000000024,4.298919529918535,-0.037399999999999524,0.0
20230704 00:17:54,58.562,5,1,1.5,4.1427329021919,-0.03760000000000048,0.0
20230704 00:17:59,58.625,5,1,1.4380000000000024,3.98653150822276,-0.037399999999999524,0.0
20230704 00:18:04,58.687,5,1,1.375,3.8303547225354326,-0.03760000000000048,0.0
20230704 00:18:09,58.75,5,1,1.3130000000000024,3.674162735454417,-0.037399999999999524,0.0
20230704 00:18:14,58.875,5,1,1.25,3.517998436515409,-0.03760000000000048,0.0
20230704 00:18:19,58.937,5,1,1.125,3.347319226246838,-0.05,0.0
20230704 00:18:24,59.062,5,1,1.0630000000000024,3.159931346880083,-0.05,0.0
20230704 00:18:29,59.062,5,1,0.9380000000000024,2.9585307585144727,-0.062399999999999525,0.0
20230704 00:18:34,59.125,5,1,0.9380000000000024,2.7551732436335215,-0.037399999999999524,0.0
20230704 00:18:39,59.25,5,1,0.875,2.5678333969589104,-0.03760000000000048,0.0
20230704 00:18:47,59.375,5,1,0.625,2.3190295692077143,-0.03760000000000048,0.0
20230704 00:18:52,59.437,5,1,0.625,2.118181264404656,-0.06260000000000047,0.0
20230704 00:18:57,59.375,5,1,0.5630000000000024,1.9137880380380405,-0.062399999999999525,0.0
20230704 00:19:02,59.437,5,1,0.625,1.7425969605969625,-0.025,0.0
20230704 00:19:07,59.5,5,1,0.5630000000000024,1.5866085858585877,-0.012399999999999523,0.0
20230704 00:19:12,59.562,5,1,0.5,1.506701119853286,-0.012600000000000479,0.0
20230704 00:19:17,59.625,5,1,0.4380000000000024,1.3956347310182409,-0.037399999999999524,0.0
20230704 00:19:22,59.75,5,1,0.375,1.3022962881641156,-0.03760000000000048,0.0
20230704 00:19:27,59.75,5,1,0.25,1.1669873656051923,-0.05,0.0
20230704 00:19:32,59.875,5,1,0.25,0.9941784430462691,-0.03760000000000048,0.0
20230704 00:19:37,59.937,5,1,0.125,0.8316616666273284,-0.05,0.0
20230704 00:19:42,60.0,5,1,0.06300000000000239,0.6482488484991241,-0.037399999999999524,0.0
20230704 00:19:47,60.062,0,0,0.0,0.4752783687943276,-0.05,0.0
20230704 00:19:52,60.125,1.7949503546099699,0.358990070921994,-0.06199999999999761,0.28177836879432877,-0.037399999999999524,0.0
20230704 00:19:57,60.187,0,0,-0.125,0.10472221906170856,-0.03760000000000048,0.0
20230704 00:20:02,60.187,0,0,-0.1869999999999976,-0.08052457581008547,-0.037399999999999524,0.0
20230704 00:20:07,60.187,0,0,-0.1869999999999976,-0.226136277937744,-0.025,0.0
20230704 00:20:12,60.187,0,0,-0.1869999999999976,-0.351136277937744,-0.012399999999999523,0.0
20230704 00:20:18,60.187,0,0,-0.1869999999999976,-0.413636277937744,0.0,0.0
20230704 00:20:23,60.187,0,0,-0.1869999999999976,-0.4550801282051226,0.0,0.0
20230704 00:20:29,60.187,0,0,-0.1869999999999976,-0.46749999999999403,0.0,0.0
20230704 00:20:34,60.187,0,0,-0.1869999999999976,-0.46749999999999403,0.0,0.0
20230704 00:20:40,60.187,0,0,-0.1869999999999976,-0.46749999999999403,0.0,0.0
