datetime,temp,on_sec(s),power(%),P,I,D,PID
20230910 07:01:05,62.75,0,0,-5.311999999999998,-13.279999999999994,0.0,0.0
20230910 07:01:10,62.75,0,0,-5.25,-13.264590986555572,0.012399999999999523,0.0
20230910 07:01:15,62.687,0,0,-5.25,-13.233590986555573,0.012399999999999523,0.0
20230910 07:01:20,62.687,0,0,-5.186999999999998,-13.186936056978109,0.025,0.0
20230910 07:01:27,62.625,0,0,-5.125,-13.109029249375316,0.025,0.0
20230910 07:01:32,62.562,0,0,-5.125,-13.031122441772524,0.037399999999999524,0.0
20230910 07:01:37,62.562,0,0,-5.061999999999998,-12.937378858770495,0.037399999999999524,0.0
20230910 07:01:43,62.5,0,0,-5.0,-12.827974366621817,0.037399999999999524,0.0
20230910 07:01:48,62.437,0,0,-5.0,-12.734224804050603,0.037399999999999524,0.0
20230910 07:01:53,62.437,0,0,-4.936999999999998,-12.640481465734105,0.037399999999999524,0.0
20230910 07:01:58,62.375,0,0,-4.936999999999998,-12.530888273336897,0.025,0.0
20230910 07:02:04,62.312,0,0,-4.875,-12.43713881107972,0.025,0.0
20230910 07:02:10,62.312,0,0,-4.811999999999998,-12.327543303228397,0.012399999999999523,0.0
20230910 07:02:16,62.25,0,0,-4.75,-12.202548297364109,0.024799999999999045,0.0
20230910 07:02:21,62.187,0,0,-4.75,-12.108798945270433,0.024799999999999045,0.0
20230910 07:02:27,62.187,0,0,-4.686999999999998,-11.983798945270433,0.024799999999999045,0.0
20230910 07:02:32,62.125,0,0,-4.686999999999998,-11.87420100397406,0.012399999999999523,0.0
20230910 07:02:38,62.062,0,0,-4.625,-11.79630420414588,0.012399999999999523,0.0
20230910 07:02:43,62.062,0,0,-4.561999999999998,-11.702561708036722,0.025,0.0
20230910 07:02:49,62.0,0,0,-4.561999999999998,-11.592961206049688,0.025,0.0
20230910 07:02:54,61.937,0,0,-4.5,-11.51506725327988,0.025,0.0
20230910 07:02:59,61.937,0,0,-4.436999999999998,-11.405928280470214,0.025,0.0
20230910 07:03:04,61.875,0,0,-4.436999999999998,-11.296325080298391,0.025,0.0
20230910 07:03:09,61.875,0,0,-4.375,-11.202576130253476,0.025,0.0
20230910 07:03:15,61.875,0,0,-4.375,-11.109076130253476,0.012399999999999523,0.0
20230910 07:03:20,61.875,0,0,-4.375,-11.030970083023284,0.012399999999999523,0.0
20230910 07:03:26,61.75,0,0,-4.375,-10.984109055832953,0.0,0.0
20230910 07:03:31,61.75,0,0,-4.25,-10.92231195438368,0.025,0.0
20230910 07:03:37,61.687,0,0,-4.25,-10.844202898550725,0.025,0.0
20230910 07:03:42,61.687,0,0,-4.186999999999998,-10.766070505520027,0.03760000000000048,0.0
20230910 07:03:47,61.625,0,0,-4.186999999999998,-10.672070505520026,0.012600000000000477,0.0
20230910 07:03:52,61.625,0,0,-4.125,-10.562686121496926,0.025,0.0
20230910 07:03:57,61.562,0,0,-4.125,-10.468483222946201,0.012399999999999523,0.0
20230910 07:04:02,61.562,0,0,-4.061999999999998,-10.390354421187315,0.025,0.0
20230910 07:04:07,61.562,0,0,-4.061999999999998,-10.311986814218011,0.012600000000000477,0.0
20230910 07:04:12,61.5,0,0,-4.061999999999998,-10.249486814218011,0.012600000000000477,0.0
20230910 07:04:18,61.5,0,0,-4.0,-10.171371198241111,0.0,0.0
20230910 07:04:23,61.437,0,0,-4.0,-10.108871198241111,0.0,0.0
20230910 07:04:29,61.437,0,0,-3.9369999999999976,-10.046375015749021,0.012600000000000477,0.0
20230910 07:04:34,61.375,0,0,-3.9369999999999976,-9.983875015749021,0.012600000000000477,0.0
20230910 07:04:39,61.375,0,0,-3.875,-9.905998031622037,0.025,0.0
