datetime,temp,on_sec(s),power(%),P,I,D,PID
20230914 20:43:44,39.312,5,1,20.75,0,0,0.0
20230914 20:43:49,39.375,5,1,20.688000000000002,0,0,0.0
20230914 20:43:55,39.437,5,1,20.563000000000002,0,0,0.0
20230914 20:44:00,39.5,5,1,20.563000000000002,0,0,0.0
20230914 20:44:05,39.625,5,1,20.5,0,0,0.0
20230914 20:44:10,39.625,5,1,20.375,0,0,0.0
20230914 20:44:15,39.812,5,1,20.375,0,0,0.0
20230914 20:44:20,39.937,5,1,20.188000000000002,0,0,0.0
20230914 20:44:26,39.937,5,1,20.063000000000002,0,0,0.0
20230914 20:44:31,40.125,5,1,20.063000000000002,0,0,0.0
20230914 20:44:37,40.125,5,1,19.875,0,0,0.0
20230914 20:44:43,40.25,5,1,19.875,0,0,0.0
20230914 20:44:48,40.312,5,1,19.75,0,0,0.0
20230914 20:44:53,40.375,5,1,19.688000000000002,0,0,0.0
20230914 20:44:58,40.437,5,1,19.625,0,0,0.0
20230914 20:45:04,40.562,5,1,19.438000000000002,0,0,0.0
20230914 20:45:09,40.562,5,1,19.438000000000002,0,0,0.0
20230914 20:45:14,40.75,5,1,19.438000000000002,0,0,0.0
20230914 20:45:19,40.75,5,1,19.25,0,0,0.0
20230914 20:45:24,40.875,5,1,19.25,0,0,0.0
20230914 20:45:29,41.0,5,1,19.125,0,0,0.0
20230914 20:45:34,41.062,5,1,19.0,0,0,0.0
20230914 20:45:41,41.062,5,1,18.938000000000002,0,0,0.0
20230914 20:45:46,41.062,5,1,18.938000000000002,0,0,0.0
20230914 20:45:51,41.375,5,1,18.938000000000002,0,0,0.0
20230914 20:45:56,41.5,5,1,18.625,0,0,0.0
20230914 20:46:01,41.5,5,1,18.5,0,0,0.0
20230914 20:46:06,41.5,5,1,18.5,0,0,0.0
20230914 20:46:11,41.75,5,1,18.5,0,0,0.0
20230914 20:46:16,41.75,5,1,18.25,0,0,0.0
20230914 20:46:21,41.937,5,1,18.25,0,0,0.0
20230914 20:46:26,41.937,5,1,18.063000000000002,0,0,0.0
20230914 20:46:31,42.125,5,1,18.063000000000002,0,0,0.0
20230914 20:46:36,42.187,5,1,17.875,0,0,0.0
20230914 20:46:41,42.25,5,1,17.813000000000002,0,0,0.0
20230914 20:46:46,42.312,5,1,17.75,0,0,0.0
20230914 20:46:51,42.375,5,1,17.688000000000002,0,0,0.0
20230914 20:46:56,42.5,5,1,17.625,0,0,0.0
