datetime,temp,on_sec(s),power(%),P,I,D,PID
20231001 07:14:20,54.687,5,1,5.188000000000002,12.76678675369266,0.03760000000000048,0.0
20231001 07:14:25,54.625,5,1,5.313000000000002,12.860908742074718,0.05020000000000096,0.0
20231001 07:14:30,54.5,5,1,5.375,13.001498655996874,0.05,0.0
20231001 07:14:35,54.5,5,1,5.5,13.173513524740358,0.062399999999999525,0.0
20231001 07:14:41,54.437,5,1,5.563000000000002,13.361007002084868,0.05,0.0
20231001 07:14:48,54.437,5,1,5.563000000000002,13.564160788567948,0.03760000000000048,0.0
20231001 07:14:53,54.5,5,1,5.563000000000002,13.720038800185886,0.012600000000000477,0.0
20231001 07:15:02,54.5,5,1,5.5,13.79794888626373,0.0,0.0
20231001 07:15:07,54.562,5,1,5.5,13.828839690861432,0.0,0.0
20231001 07:15:12,54.562,5,1,5.438000000000002,13.797587858840743,-0.012399999999999523,0.0
20231001 07:15:17,54.562,5,1,5.438000000000002,13.735087858840743,-0.012399999999999523,0.0
20231001 07:15:22,54.562,5,1,5.438000000000002,13.672587858840743,-0.012399999999999523,0.0
20231001 07:15:27,54.625,5,1,5.438000000000002,13.641587858840744,0.0,0.0
20231001 07:15:32,54.687,5,1,5.375,13.594929623383425,-0.012600000000000477,0.0
20231001 07:15:37,54.75,5,1,5.313000000000002,13.53243167846484,-0.025,0.0
20231001 07:15:43,54.812,5,1,5.188000000000002,13.423023745910712,-0.037399999999999524,0.0
20231001 07:15:48,54.875,5,1,5.188000000000002,13.31361581335658,-0.03719999999999857,0.0
20231001 07:15:53,54.937,5,1,5.125,13.172962026873503,-0.037399999999999524,0.0
20231001 07:15:58,54.937,5,1,5.063000000000002,13.016714588989636,-0.037399999999999524,0.0
20231001 07:16:03,55.0,5,1,5.063000000000002,12.87612467506748,-0.025,0.0
20231001 07:16:09,55.0,5,1,5.0,12.782381211417693,-0.025,0.0
20231001 07:16:14,55.125,5,1,5.0,12.672789143971823,-0.012600000000000477,0.0
20231001 07:16:19,55.187,5,1,4.875,12.563588500075156,-0.03760000000000048,0.0
20231001 07:16:24,55.25,5,1,4.813000000000002,12.438593368296605,-0.037399999999999524,0.0
20231001 07:16:29,55.312,5,1,4.75,12.297947127577165,-0.05,0.0
20231001 07:16:34,55.375,5,1,4.688000000000002,12.141700346201084,-0.037399999999999524,0.0
20231001 07:16:39,55.375,5,1,4.625,11.970056890816139,-0.03760000000000048,0.0
20231001 07:16:44,55.312,5,1,4.625,11.813411321195886,-0.025,0.0
20231001 07:16:49,55.375,5,1,4.688000000000002,11.719668670930677,0.0,0.0
20231001 07:16:54,55.5,5,1,4.625,11.65717145626517,0.0,0.0
20231001 07:16:59,55.5,5,1,4.5,11.579247716036946,-0.025,0.0
20231001 07:17:04,55.5,5,1,4.5,11.500891171421891,-0.03760000000000048,0.0
20231001 07:17:09,55.562,5,1,4.5,11.438391171421891,-0.025,0.0
20231001 07:17:14,55.687,5,1,4.438000000000002,11.344642145267342,-0.012399999999999523,0.0
20231001 07:17:19,55.687,5,1,4.313000000000002,11.204481978209138,-0.037399999999999524,0.0
20231001 07:17:24,55.687,5,1,4.313000000000002,11.07930389601736,-0.037399999999999524,0.0
20231001 07:17:30,55.812,5,1,4.313000000000002,10.98580389601736,-0.025,0.0
20231001 07:17:35,55.937,5,1,4.188000000000002,10.861513400781508,-0.025,0.0
20231001 07:17:41,56.0,5,1,4.0,10.642778944456683,-0.03760000000000048,0.0
20231001 07:17:46,56.062,5,1,4.0,10.470455629035513,-0.05020000000000095,0.0
20231001 07:17:53,56.125,5,1,3.875,10.267332628907521,-0.03780000000000143,0.0
20231001 07:17:58,56.187,5,1,3.875,10.06420962877953,-0.03780000000000143,0.0
20231001 07:18:04,56.25,5,1,3.75,9.82938132195271,-0.03780000000000143,0.0
20231001 07:18:09,56.312,5,1,3.75,9.704389457754353,-0.03780000000000143,0.0
20231001 07:18:15,56.375,5,1,3.625,9.516902078648894,-0.03780000000000143,0.0
20231001 07:18:20,56.437,5,1,3.625,9.391910761807104,-0.03780000000000143,0.0
20231001 07:18:25,56.5,5,1,3.5630000000000024,9.235667456982398,-0.03760000000000048,0.0
20231001 07:18:30,56.437,5,1,3.5,9.110676744674405,-0.03760000000000048,0.0
20231001 07:18:36,56.437,5,1,3.5630000000000024,9.001295546737081,-0.025,0.0
