PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
沼津駅,35.10223,138.85982,8.9,0,0
,35.10224,138.8601,8.8,0.025552949951223668,0.025552949951223668
,35.10223,138.86026,8.8,0.014630042596445448,0.04018299254766912
,35.1022,138.86029,8.8,0.004308005929367955,0.04449099847703707
,35.10216,138.86031,8.8,0.004797737101510047,0.04928873557854712
,35.10213,138.86044,8.8,0.012311124939395702,0.06159986051794282
,35.10215,138.86126,8.6,0.07479608024360566,0.13639594076154848
,35.10218,138.86133,8.6,0.007197925066071716,0.1435938658276202
,35.10222,138.86324,5.1,0.17419986791956338,0.31779373374718356
,35.10221,138.86334,4.9,0.009184700543195515,0.3269784342903791
,35.10218,138.86343,4.8,0.008855000674661639,0.33583343496504076
,35.10285,138.86398,4.7,0.08966473151014095,0.4254981664751817
,35.10285,138.86401,4.7,0.002735213903041201,0.4282333803782229
,35.10286,138.86402,4.9,0.0014359975439554907,0.4296693779221784
,35.10286,138.86403,4.9,0.0009117378563335988,0.430581115778512
,35.1032,138.86435,5.1,0.04768693896687744,0.4782680547453894
,35.10351,138.8646,5.6,0.04125961636649143,0.5195276711118808
,35.10362,138.86471,5,0.015795918866990475,0.5353235899788713
,35.10366,138.86477,4.8,0.007044016950286694,0.542367606929158
,35.10364,138.86482,5.4,0.005069964491605586,0.5474375714207635
,35.10364,138.86484,6.7,0.0018234583398029315,0.5492610297605665
,35.10365,138.86485,6.7,0.0014359920697796225,0.5506970218303461
,35.10388,138.86521,7.6,0.04157405847903823,0.5922710803093844
,35.10395,138.86537,9.7,0.016526007861126964,0.6087970881705114
,35.10399,138.86541,9.7,0.00574395927381053,0.6145410474443219
,35.10403,138.86549,9.7,0.008537722101786724,0.6230787695461086
,35.10404,138.86552,9.7,0.002951610061826832,0.6260303796079355
,35.10405,138.86553,9.8,0.0014359893000555598,0.627466368907991
,35.10407,138.86554,9.8,0.002398861231098553,0.6298652301390896
,35.1042,138.8657,10,0.020513571361212495,0.650378801500302
,35.10421,138.86572,10,0.002134426835151238,0.6525132283354532
,35.10421,138.86574,10.1,0.001823445645927761,0.654336673981381
,35.10422,138.86576,10.2,0.0021344266441526085,0.6564711006255336
,35.10422,138.86579,10.4,0.002735168138726773,0.6592062687642604
,35.10416,138.86613,10.2,0.03170523346654948,0.6909115022308099
,35.10409,138.86672,10.1,0.05434940295633845,0.7452609051871484
,35.1045,138.8668,10.5,0.04606748825485631,0.7913283934420047
,35.10457,138.86682,10.6,0.007977172706744477,0.7993055661487491
,35.10494,138.86722,10.7,0.05490866551190452,0.8542142316606537
,35.10495,138.86724,10.7,0.002134412826663002,0.8563486444873167
,35.10554,138.86785,10.8,0.08589213161717653,0.9422407761044933
,35.10557,138.86792,10.9,0.007197691638115809,0.9494384677426091
,35.10569,138.86796,10.9,0.01380355093542219,0.9632420186780313
,35.10573,138.86798,10.7,0.004797709617074622,0.9680397282951059
,35.10576,138.86804,10.9,0.0064031930451635515,0.9744429213402694
,35.10579,138.86807,10.9,0.004307931939258315,0.9787508532795277
,35.10582,138.86811,10.9,0.004937278103430872,0.9836881313829586
,35.10584,138.86812,10.7,0.0023988543418415205,0.9860869857248001
,35.10588,138.86815,10.7,0.005212871703510609,0.9912998574283107
,35.10626,138.86854,11,0.05515039908067416,1.0464502565089848
,35.10659,138.86879,11,0.04312613713466747,1.0895763936436522
,35.10704,138.8691,11.2,0.05736888581078667,1.1469452794544388
,35.10708,138.86914,11.3,0.005743873641330494,1.1526891530957692
,35.10714,138.86918,11.4,0.007590030406237757,1.160279183502007
,35.10717,138.86922,11.6,0.00493723419066727,1.1652164176926743
,35.10726,138.86931,11.7,0.01292370602436438,1.1781401237170386
,35.10731,138.86938,11.7,0.008455663525506418,1.186595787242545
,35.10741,138.86948,11.7,0.014359663315228376,1.2009554505577733
,35.10758,138.86971,11.8,0.028202805826745975,1.2291582563845194
,35.10761,138.86976,11.8,0.005644171162853306,1.2348024275473726
,35.10768,138.86985,11.9,0.011297570023581284,1.246099997570954
,35.10791,138.86986,12.3,0.025533067886400584,1.2716330654573544
,35.10795,138.86983,12.3,0.005212836711443451,1.276845902168798
,35.10797,138.86985,12.4,0.0028719243498479714,1.279717826518646
,35.10804,138.86988,12.5,0.008233521663713841,1.28795134818236
,35.10817,138.86992,12.7,0.014876423826746544,1.3028277720091064
,35.10825,138.86992,12.8,0.008875404586370062,1.3117031765954765
,35.10843,138.8702,12.8,0.03241006935351289,1.3441132459489895
,35.10935,138.87145,13,0.15298471461535385,1.4970979605643433
,35.10941,138.87152,13,0.009221456711842336,1.5063194172761856
,35.10943,138.87156,13,0.004268656215873473,1.5105880734920591
,35.10947,138.8716,13,0.005743807403630763,1.5163318808956898
,35.10961,138.87178,13.1,0.022594867510425456,1.5389267484061153
,35.10964,138.87183,13.1,0.005644080528509338,1.5445708289346247
,35.11036,138.87279,13.3,0.11849139931390511,1.66306222824853
,35.11037,138.87282,13.2,0.0029514145337086444,1.6660136427822385
,35.1104,138.87285,13.3,0.004307836117371023,1.6703214788996095
,35.11155,138.87441,14.8,0.1910585101515554,1.8613799890511649
,35.11157,138.87443,14.8,0.0028718744612846385,1.8642518635124494
,35.1116,138.87448,14.8,0.00564399302137189,1.8698958565338213
,35.11161,138.87449,14.8,0.0014359369187379228,1.8713317934525593
,35.11172,138.87465,15,0.019018104889105273,1.8903498983416647
,35.11185,138.87481,15.2,0.020512614908127603,1.9108625132497923
,35.11264,138.8759,16.8,0.1324975320848897,2.043360045334682
,35.11266,138.87592,16.8,0.002871859356584809,2.046231904691267
,35.11313,138.87655,17.6,0.07757178971995335,2.12380369441122
,35.1133,138.8768,17.9,0.02958240743402912,2.1533861018452494
,35.11332,138.87682,18,0.0028718502097887844,2.156257952055038
,35.11379,138.87744,18.8,0.07689895230638641,2.2331569043614246
,35.11382,138.8775,18.9,0.006402735257794614,2.2395596396192192
,35.11386,138.87754,18.9,0.0057436857315723245,2.2453033253507915
,35.1142,138.878,19.6,0.05640314981478429,2.3017064751655756
,35.11423,138.87805,19.6,0.005643875593561769,2.3073503507591373
,35.11551,138.87978,21.6,0.21222050284380015,2.5195708536029375
,35.11554,138.87983,21.7,0.0056438170983563,2.5252146707012937
,35.11607,138.88055,22.5,0.08812103196575932,2.613335702667053
,35.1161,138.8806,22.6,0.005643792092327945,2.618979494759381
,35.1162,138.88081,22.7,0.02212582415868395,2.641105318918065
,35.11632,138.88118,22.9,0.03626113389125241,2.6773664528093173
,35.11649,138.88179,23.4,0.058718195470598096,2.7360846482799155
,35.11652,138.88185,23.4,0.0064025818880934305,2.7424872301680088
,35.11653,138.8819,23.5,0.004691006240049887,2.747178236408059
,35.11657,138.882,23.6,0.010138641399057582,2.757316877807116
,35.11658,138.88201,23.5,0.0014359024799494035,2.7587527802870655
,35.11664,138.88212,23.5,0.012035747560276483,2.770788527847342
,35.11665,138.88216,23.5,0.00381137831062988,2.7745999061579716
,35.11668,138.88219,23.5,0.004307705571611451,2.7789076117295832
,35.11674,138.88229,23.5,0.011287528370778857,2.790195140100362
,35.11679,138.88234,23.5,0.00717950581874641,2.7973746459191084
,35.11681,138.88237,23.5,0.003521670076233148,2.8008963159953417
,35.11685,138.88241,23.4,0.005743602851532721,2.8066399188468742
,35.11688,138.88245,23,0.004936918292358686,2.811576837139233
,35.11691,138.88247,23,0.0037949152101842735,2.8153717523494173
,35.11695,138.88251,22.8,0.005743600080751416,2.821115352430169
,35.11699,138.88254,23.2,0.0052126838887191175,2.826328036318888
,35.11702,138.88257,22.9,0.004307698500871766,2.8306357348197597
,35.11716,138.88265,22.9,0.017158815645187928,2.847794550464948
,35.11723,138.88271,22.8,0.009498721137162882,2.857293271602111
,35.11729,138.88274,22.7,0.0071964295256372185,2.864489701127748
,35.11775,138.88303,22.3,0.0574741526207461,2.9219638537484944
,35.11776,138.88304,22.3,0.001435894302383258,2.9233997480508775
,35.11819,138.8833,22.4,0.05326848264005754,2.976668230690935
,35.11822,138.88334,22.1,0.004936874694101259,2.9816051053850363
,35.1185,138.88353,22.1,0.03556604410759502,3.0171711494926314
,35.11855,138.88358,22.1,0.007179444836824546,3.024350594329456
,35.1186,138.88362,22.1,0.006638213766544531,3.0309888080960006
,35.1188,138.88385,22.2,0.030527057976999998,3.0615158660730004
,35.11898,138.88411,22.4,0.030992006413575864,3.092507872486576
,35.11905,138.88426,22.3,0.0157248741686151,3.108232746655191
,35.11916,138.88455,22.2,0.029116105343672163,3.1373488519988633
,35.11916,138.88457,22.2,0.0018231126480965478,3.13917196464696
,35.11948,138.8855,22,0.09190809351009759,3.2310800581570573
,35.1196,138.88591,21.2,0.039674023312294845,3.2707540814693523
,35.11992,138.88687,21.6,0.09443597698585833,3.3651900584552106
,35.12011,138.8872,21.7,0.03673144194789436,3.401921500403105
,35.12023,138.88736,21.8,0.019747243026453577,3.4216687434295583
,35.12036,138.88749,21.9,0.01866639711790678,3.440335140547465
,35.12044,138.88755,21.8,0.010425251794249262,3.450760392341714
,35.12049,138.88747,21.7,0.009162362778066507,3.4599227551197806
,35.12052,138.88749,21.7,0.003794878313653432,3.463717633433434
,35.12058,138.88756,21.9,0.009220862916737132,3.4729384963501713
,35.12149,138.88829,24,0.12091466089890149,3.5938531572490726
,35.12156,138.88837,24.2,0.010653049198896092,3.6045062064479687
,35.12163,138.88841,24.3,0.008579327746198875,3.6130855341941674
,35.12191,138.88864,24.9,0.03747676273823383,3.650562296932401
,35.1225,138.88919,26.5,0.0824494579061873,3.7330117548385884
,35.12264,138.88934,26.9,0.020692695407200125,3.7537044502457886
,35.12272,138.88941,27.1,0.01093094196458968,3.764635392210378
,35.12276,138.88946,27.2,0.00636119893640197,3.77099659114678
,35.1229,138.88958,27.6,0.018997020385850903,3.789993611532631
,35.1232,138.88977,28.2,0.03751915534711042,3.8275127668797415
,35.12345,138.88989,28.6,0.02981462699809901,3.8573273938778407
,35.1235,138.88992,28.7,0.006184529775045294,3.863511923652886
,35.12395,138.8901,29.5,0.05255117978693311,3.9160631034398192
,35.12402,138.89012,29.6,0.007977097988734413,3.9240402014285536
,35.12416,138.89018,29.8,0.016466725229107134,3.940506926657661
,35.12428,138.89022,30.1,0.013803371602189616,3.9543102982598506
,35.12441,138.89028,30.2,0.015424669156928571,3.969734967416779
,35.12446,138.89031,30.3,0.006184516379028268,3.975919483795807
,35.12491,138.89051,31,0.05314850419399149,4.029067987989799
,35.12498,138.89057,31.2,0.009498431014005725,4.038566419003804
,35.12549,138.89085,32.1,0.062070527387595775,4.1006369463914005
