PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
立川駅,35.69867,139.41378,83.5,,0
,35.69867,139.41388,83.5,0.009050544161605233,0.009050544161605233
,35.69867,139.41389,83.5,0.0009050544164177936,0.009955598578023027
,35.69868,139.4139,83.5,0.0014318483306476764,0.011387446908670704
,35.69869,139.4139,83.5,0.0011095342487965256,0.01249698115746723
,35.69872,139.41391,83.5,0.003449452000113811,0.01594643315758104
,35.69879,139.4139,83.5,0.007819294685659332,0.023765727843240374
,35.69888,139.41389,83.4,0.010026738818834693,0.03379246666207507
,35.69891,139.41389,83.3,0.003328602861840032,0.0371210695239151
,35.69896,139.41392,83.4,0.006176465128466262,0.04329753465238136
,35.69899,139.41393,83.5,0.0034494513441925153,0.04674698599657388
,35.69899,139.4139,83.5,0.0027151523987100925,0.04946213839528397
,35.69911,139.41396,83.5,0.01437921164453193,0.06384135003981589
,35.69927,139.41406,83.4,0.01992647231487591,0.0837678223546918
,35.69932,139.4141,83.4,0.006624381773326984,0.09039220412801878
,35.69965,139.4143,83.6,0.040844512892222594,0.13123671702024137
,35.69967,139.41431,83.6,0.002396532879823436,0.1336332499000648
,35.69976,139.41436,83.6,0.010963300298509062,0.14459655019857387
,35.69985,139.41442,83.7,0.01136679433925786,0.15596334453783173
,35.70031,139.41467,84,0.05582894906872969,0.21179229360656143
,35.7004,139.41474,84,0.011825894644295155,0.22361818825085658
,35.70054,139.41481,84,0.016775707901344705,0.24039389615220128
,35.70106,139.4151,84.1,0.06338494855388462,0.3037788447060859
,35.70121,139.41518,84.1,0.01814967793195115,0.32192852263803706
,35.70142,139.4153,84.3,0.025706938446206997,0.34763546108424404
,35.70151,139.41536,84.3,0.011366742991327271,0.3590022040755713
,35.70154,139.41538,84.3,0.003788913713994398,0.36279111778956574
,35.70162,139.41545,84.3,0.010905157065940415,0.37369627485550616
,35.70165,139.41552,84.3,0.007156373853358331,0.3808526487088645
,35.7018,139.4156,84.3,0.018149658152221824,0.3990023068610863
,35.70192,139.41566,84.4,0.0143791454612796,0.4133814523223659
,35.70195,139.41568,84.4,0.00378890948532193,0.41717036180768785
,35.7022,139.41587,84.4,0.0326358041705226,0.44980616597821044
,35.70221,139.41588,84.4,0.001431823619863194,0.45123798959807365
,35.70236,139.41602,84.4,0.02091707318563618,0.47215506278370983
,35.70272,139.41635,84.8,0.049873872823689824,0.5220289356073997
,35.70297,139.41658,85,0.034679801409846576,0.5567087370172463
,35.70301,139.41662,85,0.00572727250381809,0.5624360095210644
,35.70306,139.41667,85.1,0.007159089057564692,0.5695950985786291
,35.70321,139.4168,85.2,0.020381529693111453,0.5899766282717406
,35.70345,139.41702,85.4,0.033249133739730284,0.6232257620114708
,35.70367,139.41722,85.6,0.030388261238235976,0.6536140232497069
,35.70388,139.41743,85.7,0.03006806525572475,0.6836820885054316
,35.704,139.41757,85.8,0.018379361452408958,0.7020614499578405
,35.70401,139.41759,85.7,0.002122999269055891,0.7041844492268964
,35.70407,139.41765,85.7,0.008590864659780982,0.7127753138866774
,35.70423,139.41786,85.8,0.026006490775642932,0.7387818046623202
,35.70431,139.41795,85.8,0.012046912940539318,0.7508287176028595
,35.70437,139.41802,85.9,0.009189659232482763,0.7600183768353422
,35.70445,139.41812,85.8,0.012676316448769594,0.7726946932841118
,35.70473,139.41844,85.9,0.04247135857083942,0.8151660518549512
,35.70484,139.41858,85.9,0.01759212915039428,0.8327581810053455
,35.70506,139.41884,86,0.0339039519028834,0.8666621329082289
,35.70522,139.41903,86,0.024714559344218488,0.8913766922524474
,35.70531,139.41914,86.1,0.014100149106045528,0.9054768413584929
,35.70536,139.4192,86.1,0.00776274837328037,0.9132395897317733
,35.70546,139.41933,86.2,0.016171440014267752,0.9294110297460411
,35.70563,139.41959,86.3,0.030156448364021166,0.9595674781100623
