PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
宇都宮駅,36.55918,139.8979,113.7,0,0
,36.55914,139.89788,113.7,0.004786279538434108,0.004786279538434108
,36.5591,139.89784,113.8,0.005703131071153835,0.010489410609587944
,36.55908,139.89783,113.8,0.0023931400481143564,0.0128825506577023
,36.5591,139.89776,113.7,0.006648012156648262,0.01953056281435056
,36.5591,139.8977,113.6,0.0053713780673437786,0.02490194088169434
,36.55911,139.89768,113.6,0.002106457928721289,0.02700839881041563
,36.55911,139.89763,113.5,0.004476147812629604,0.031484546623045236
,36.55905,139.89762,113.4,0.006718078786480342,0.03820262540952558
,36.55903,139.89761,113.4,0.002393140246671368,0.04059576565619694
,36.55877,139.89755,113.4,0.029347780305527375,0.06994354596172432
,36.55861,139.89749,113,0.01854981592313276,0.08849336188485708
,36.55863,139.89742,112.9,0.0066480478744597405,0.09514140975931683
,36.55864,139.89734,112.7,0.007247340925298325,0.10238875068461516
,36.55859,139.89731,112.6,0.006164294687106054,0.10855304537172121
,36.55855,139.89727,112.5,0.0057031466881764985,0.1142561920598977
,36.55838,139.89713,112.1,0.022648721294659002,0.1369049133545567
,36.55834,139.89711,112,0.004786285892251213,0.14169119924680793
,36.55829,139.89705,111.9,0.0077225511439397605,0.1494137503907477
,36.55825,139.89706,111.9,0.004528154096026979,0.15394190448677467
,36.55819,139.89703,112,0.007179430503640313,0.16112133499041498
,36.55814,139.89699,111.8,0.006603695663957354,0.16772503065437233
,36.558,139.89693,111.8,0.016438091367708824,0.18416312202208115
,36.55782,139.89687,111.6,0.020684118166615324,0.2048472401886965
,36.55782,139.89681,111.7,0.00537146666608903,0.21021870685478553
,36.5574,139.89665,111.4,0.048758595347149,0.25897730220193454
,36.55736,139.89663,111.4,0.0047862936717199085,0.26376359587365444
,36.55694,139.89647,111.2,0.048758616847565536,0.31252221272122
,36.55699,139.89628,111.3,0.017891894125912158,0.3304141068471321
,36.55696,139.89626,111.3,0.0037800395396209237,0.33419414638675304
,36.55658,139.89612,111,0.043991602213477886,0.3781857486002309
,36.55629,139.89603,110.8,0.03317445848239177,0.41136020708262266
,36.55608,139.89595,110.8,0.02437933097118129,0.43573953805380394
,36.55603,139.89592,110.7,0.006164331139291578,0.44190386919309554
,36.55596,139.89589,110.7,0.008219066589121476,0.450122935782217
,36.55589,139.89589,110.7,0.007767853717991216,0.45789078950020823
,36.55587,139.89586,110.7,0.0034841357276478597,0.4613749252278561
,36.55581,139.89584,110.6,0.006894716221473228,0.46826964144932937
,36.55574,139.89584,110.6,0.007767853521985527,0.47603749497131487
,36.55534,139.8957,110.4,0.046123385755756384,0.5221608807270712
,36.5552,139.89564,110.3,0.016438147788515545,0.5385990285155868
,36.55498,139.89557,110.1,0.025204786473134098,0.5638038149887209
,36.55483,139.89551,110.1,0.017490685957084643,0.5812945009458056
,36.55492,139.89513,110.3,0.03545623767453214,0.6167507386203377
,36.55493,139.89496,110.2,0.015260124368203546,0.6320108629885413
,36.55456,139.89491,110,0.0413019450515378,0.6733128080400791
,36.5543,139.89486,109.9,0.029197216010853507,0.7025100240509325
,36.55419,139.89483,109.9,0.012498619654131226,0.7150086437050638
,36.55415,139.89481,109.8,0.004786319153923866,0.7197949628589877
,36.55404,139.89477,109.8,0.01272109627988468,0.7325160591388724
,36.55396,139.89473,109.8,0.009572641008370372,0.7420887001472428
,36.55337,139.8945,109.4,0.06863371513103561,0.8107224152782784
,36.55333,139.89447,109.4,0.005188129535411948,0.8159105448136903
,36.5527,139.89425,109.2,0.07263232628490612,0.8885428710985964
,36.55266,139.89424,109.2,0.004528162756014853,0.8930710338546113
,36.55241,139.89412,108.9,0.029750001571667073,0.9228210354262784
,36.5522,139.89399,108.8,0.026048449748411275,0.9488694851746896
,36.55216,139.89396,108.7,0.005188149749018606,0.9540576349237082
,36.55213,139.89393,108.6,0.004277496829140394,0.9583351317528486
,36.55208,139.8939,108.7,0.006164387379655391,0.964499519132504
,36.55185,139.89371,108.5,0.03067232734181628,0.9951718464743202
,36.55171,139.89357,108.5,0.01996168814006339,1.0151335346143837
,36.55092,139.89267,108.1,0.11907229796621266,1.1342058325805964
,36.5509,139.89266,108,0.002393172516277091,1.1365990050968735
,36.55088,139.89263,108,0.0034842676542312374,1.1400832727511048
,36.55008,139.89172,107.4,0.1204957973498693,1.260579070100974
,36.55001,139.89167,107.7,0.008965490069233776,1.2695445601702078
,36.54994,139.89159,108,0.010566144432391749,1.2801107046025995
,36.54989,139.89152,107.9,0.00837048933505642,1.288481193937656
,36.54956,139.89117,107.1,0.0481976085374378,1.3366788024750937
,36.54952,139.89115,107,0.004786355908616129,1.3414651583837098
,36.54943,139.89105,107.1,0.013412988256032715,1.3548781466397426
,36.54938,139.89095,107,0.010533235972140589,1.3654113826118832
,36.54934,139.89091,107,0.005703408171496632,1.3711147907833798
,36.54932,139.89088,107,0.0034843088952060315,1.374599099678586
,36.54903,139.89056,107.3,0.04308714353739498,1.417686243215981
,36.54897,139.89048,107.3,0.009779379431230953,1.4274656226472118
,36.54776,139.88909,106.5,0.183079212749987,1.6105448353971987
,36.5476,139.88893,105.4,0.022813823463706806,1.6333586588609055
,36.54754,139.88884,106.2,0.010453066265069673,1.6438117251259752
,36.54749,139.88887,106.2,0.006164452730106275,1.6499761778560815
,36.54732,139.8889,106.2,0.019055033231803523,1.669031211087885
,36.54725,139.8889,106.2,0.007767842436700957,1.676799053524586
,36.54719,139.88891,106.1,0.006718083863402706,1.6835171373879887
,36.54701,139.88891,106.1,0.019974451359577948,1.7034915887475666
,36.54665,139.88893,106.5,0.03998901651744693,1.7434806052650136
,36.54658,139.88894,106.5,0.00781927468486033,1.751299879949874
,36.54652,139.88896,106.8,0.006894761837120418,1.7581946417869945
,36.54649,139.88896,106.9,0.003329074893567798,1.7615237166805622
,36.54644,139.88898,106.9,0.005830280958739146,1.7673539976393013
,36.54637,139.889,106.9,0.00797158402130858,1.77532558166061
,36.54622,139.88908,106.7,0.01812118410506471,1.7934467657656747
,36.54606,139.88919,106.2,0.020303903559485602,1.8137506693251604
,36.54592,139.8893,106,0.0183946715246739,1.8321453408498343
,36.54569,139.88943,105.9,0.028051876503546045,1.8601972173533803
,36.54554,139.88948,105.8,0.017236916072854127,1.8774341334262343
,36.54546,139.88949,105.8,0.008922571573392572,1.8863567049996268
,36.54542,139.8895,105.8,0.004528173972529707,1.8908848789721566
,36.54518,139.88952,105.6,0.02669273187372816,1.9175776108458849
,36.54514,139.88953,105.6,0.004528174405287598,1.9221057852511725
,36.5444,139.88958,105.2,0.08223910711245881,2.004344892363631
,36.54433,139.88959,105.2,0.007819274737480982,2.012164167101112
,36.5433,139.88964,104.6,0.11438583477445201,2.126550001875564
,36.54324,139.88963,104.5,0.00671808555343888,2.133268087429003
,36.54309,139.88964,104.5,0.016669431465505577,2.1499375188945082
,36.54305,139.88963,104.4,0.00452817764431563,2.154465696538824
,36.54294,139.88964,104.4,0.012239398289664203,2.166705094828488
,36.54245,139.88964,104.3,0.05437485510937029,2.221079949937858
,36.54236,139.88951,104.3,0.01533771516834594,2.236417665106204
,36.54226,139.88958,104.2,0.012744753532145202,2.2491624186383494
,36.54223,139.88945,104.2,0.012107199073324882,2.2612696177116742
,36.54218,139.88932,104.2,0.012895232789664443,2.2741648505013385
,36.54211,139.88918,104.2,0.014747521763924206,2.288912372265263
,36.54209,139.8891,104.1,0.007499336051598145,2.296411708316861
,36.54189,139.88866,103.7,0.0452197970716649,2.341631505388526
,36.54188,139.88863,103.8,0.002906465060634223,2.3445379704491605
,36.54186,139.88859,103.8,0.004213588376794109,2.3487515588259544
,36.54183,139.8885,103.6,0.008719399016405956,2.3574709578423603
,36.54177,139.88838,103.6,0.012640773319541845,2.370111731161902
,36.54175,139.88832,103.6,0.005812938102719138,2.3759246692646214
,36.54127,139.88722,103.5,0.11197745400425031,2.4879021232688716
,36.54126,139.88718,103.4,0.0037497047707920933,2.4916518280396636
,36.54061,139.8857,103,0.15088272454959856,2.6425345525892623
,36.54053,139.88554,108,0.016854556371461764,2.659389108960724
,36.54052,139.88549,108.2,0.004612689930772004,2.664001798891496
,36.54048,139.88542,108.7,0.007680612260216089,2.671682411151712
,36.5404,139.88524,109.4,0.01840110379921682,2.6900835149509286
,36.54036,139.88517,109.2,0.007680620115212806,2.697764135066141
,36.54019,139.88475,110.7,0.04207490462192677,2.739839039688068
,36.53966,139.88355,111.8,0.12249662154761232,2.8623356612356803
,36.53964,139.88346,108.9,0.008359097999215383,2.8706947592348957
,36.5395,139.88315,112.2,0.03181076348054921,2.902505522715445
,36.53928,139.88273,113.6,0.04483809969220054,2.9473436224076455
,36.53914,139.8825,113.5,0.025797943657329892,2.9731415660649754
,36.53901,139.88232,113.2,0.021631181761177752,2.994772747826153
,36.53896,139.88227,113.2,0.007129628357685639,3.001902376183839
,36.53878,139.88205,112.7,0.028054855829902265,3.029957232013741
,36.53847,139.88175,112.3,0.043646996725502235,3.0736042287392435
,36.53843,139.88169,112.3,0.006969192987740783,3.0805734217269842
,36.53833,139.88165,112.3,0.011660662119260623,3.092234083846245
,36.53829,139.88162,112.2,0.005188389346170023,3.097422473192415
,36.53822,139.88158,111.9,0.008553891514351063,3.105976364706766
