datetime,temp,on_sec(s),power(%),P,I,D,PID
20230101 15:37:44,75.937,5,1,2.125,5.4546766595472596,-0.025200000000000954,0.0
20230101 15:37:49,75.937,5,1,2.0630000000000024,5.392189585704227,-0.03760000000000048,0.0
20230101 15:37:54,75.75,5,1,2.0630000000000024,5.329689585704227,-0.025,0.0
20230101 15:38:00,75.687,5,1,2.3130000000000024,5.376657041325528,0.00020000000000095462,0.0
20230101 15:38:05,75.562,5,1,2.3130000000000024,5.439144436663963,0.025200000000000954,0.0
20230101 15:38:10,75.375,5,1,2.4380000000000024,5.5492365717083985,0.05020000000000096,0.0
20230101 15:38:16,75.25,5,1,2.75,5.846483850755953,0.06260000000000047,0.0
20230101 15:38:21,75.0,5,1,2.75,6.159460594941999,0.07500000000000001,0.0
20230101 15:38:26,74.937,5,1,3.0,6.458710530625044,0.1,0.0
20230101 15:38:35,74.875,5,1,3.125,6.864898375585513,0.08739999999999953,0.0
20230101 15:38:40,74.937,5,1,3.125,7.223481480839984,0.07479999999999905,0.0
20230101 15:38:45,74.937,5,1,3.0630000000000024,7.426160037235709,0.012399999999999523,0.0
20230101 15:38:51,74.875,5,1,3.125,7.628838593631435,0.012399999999999523,0.0
20230101 15:38:57,74.937,5,1,3.0630000000000024,7.735776502908859,-0.012399999999999523,0.0
20230101 15:39:02,74.875,5,1,3.0630000000000024,7.735776502908859,-0.012399999999999523,0.0
20230101 15:39:07,74.812,5,1,3.125,7.735776502908859,-0.012399999999999523,0.0
20230101 15:39:12,74.812,5,1,3.1880000000000024,7.7670283779963425,0.012600000000000479,0.0
20230101 15:39:17,74.875,5,1,3.1880000000000024,7.813873077414572,0.025,0.0
20230101 15:39:23,75.062,5,1,3.125,7.845124952502054,0.0,0.0
20230101 15:39:28,75.062,5,1,2.9380000000000024,7.815161553619111,-0.05,0.0
20230101 15:39:33,75.062,5,1,2.9380000000000024,7.7370062530373405,-0.05,0.0
20230101 15:39:39,75.062,5,1,2.9380000000000024,7.627599077368088,-0.037399999999999524,0.0
20230101 15:39:44,75.062,5,1,2.9380000000000024,7.502599077368088,0.0,0.0
20230101 15:39:49,75.062,5,1,2.9380000000000024,7.393191901698835,0.0,0.0
20230101 15:39:54,75.0,5,1,2.9380000000000024,7.345000000000006,0.0,0.0
20230101 15:39:59,75.062,5,1,3.0,7.360661839003036,0.012399999999999523,0.0
20230101 15:40:04,75.062,5,1,2.9380000000000024,7.3763236780060675,0.0,0.0
20230101 15:40:09,75.0,5,1,2.9380000000000024,7.3763236780060675,0.0,0.0
20230101 15:40:14,75.0,5,1,3.0,7.391985517009099,0.0,0.0
20230101 15:40:19,75.062,5,1,3.0,7.422985517009096,0.012399999999999523,0.0
20230101 15:40:24,74.937,5,1,2.9380000000000024,7.4229855170090975,0.0,0.0
20230101 15:40:30,74.875,5,1,3.125,7.485478978587837,0.0,0.0
