PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
甲府駅,35.66646,138.56911,275,,0
,35.66643,138.5691,274.9,0.0034495303783192858,0.0034495303783192858
,35.6664,138.56908,274.7,0.003789275614096175,0.007238805992415461
,35.66635,138.56906,274.5,0.005835705693025501,0.013074511685440961
,35.66624,138.56903,274,0.012503418740133075,0.025577930425574037
,35.66622,138.56902,274,0.0023966640763044703,0.027974594501878506
,35.66614,138.56894,273.6,0.011456605706410968,0.039431200208289476
,35.66613,138.56889,273.5,0.004661091493742438,0.04409229170203191
,35.66612,138.56887,273.6,0.002123725285561688,0.046216016987593596
,35.66612,138.56884,273.5,0.002716266247724638,0.04893228323531823
,35.66616,138.56867,273.6,0.016019231938194996,0.06495151517351322
,35.66617,138.56865,273.6,0.002123724519785744,0.06707523969329897
,35.66619,138.56855,273.5,0.009322178058932352,0.07639741775223133
,35.66622,138.56848,273.4,0.0071588448437579,0.08355626259598922
,35.66624,138.56841,273.6,0.006715189483012831,0.09027145207900206
,35.66628,138.56834,274,0.007737336449332264,0.09800878852833432
,35.66623,138.56832,273.8,0.005835706429258223,0.10384449495759254
,35.66617,138.56831,273.6,0.0067184591411255,0.11056295409871804
,35.66611,138.56828,273.6,0.007189993288867682,0.11775294738758572
,35.66606,138.56828,273.5,0.00554764114199125,0.12330058852957697
,35.66584,138.56825,272.9,0.024560287160377392,0.14786087568995437
,35.66577,138.56825,272.8,0.007766697236515129,0.1556275729264695
,35.66573,138.56824,272.6,0.004529529859360916,0.16015710278583042
,35.6654,138.56821,272.1,0.036715045545089676,0.1968721483309201
,35.66523,138.56818,271.8,0.01905655909026943,0.21592870742118953
,35.66436,138.56808,270.6,0.09695265310832073,0.31288136052951027
,35.66437,138.56799,270.7,0.008224164369851608,0.3211055248993619
,35.66437,138.56795,270.7,0.003621767365104766,0.32472729226446667
,35.66433,138.56785,270.5,0.010083618818954792,0.3348109110834215
,35.6643,138.56786,270.5,0.0034495355520975405,0.338260446635519
,35.66434,138.56742,270.1,0.04008590616807967,0.3783463528035987
,35.6639,138.56736,269.5,0.04912057325748642,0.4274669260610851
,35.66386,138.56736,269.4,0.00443811128443215,0.4319050373455173
,35.66357,138.56732,269.1,0.03237950087009874,0.464284538215616
,35.66355,138.56731,269.1,0.0023966745537407864,0.46668121276935676
,35.66352,138.56731,269.1,0.003328583271474961,0.4700097960408317
,35.66355,138.56703,268.5,0.025570209115477294,0.495580005156309
,35.66352,138.56702,268.6,0.0034495374451165716,0.49902954260142557
,35.66349,138.56702,268.8,0.003328583256396112,0.5023581258578217
,35.66338,138.56693,268.7,0.014675307011213855,0.5170334328690356
,35.66333,138.56692,268.7,0.005621044381968107,0.5226544772510037
,35.66329,138.56692,268.7,0.00443811086431482,0.5270925881153185
,35.66327,138.56691,268.7,0.0023966756519348095,0.5294892637672532
,35.66326,138.56689,268.8,0.002123780076151035,0.5316130438434042
