PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
立川駅,35.69826,139.41378,83.4,,0
,35.69831,139.41379,83.4,0.00562101267635656,0.00562101267635656
,35.69857,139.4138,83.5,0.02886208317377703,0.034483095850133594
,35.69861,139.41381,83.5,0.0045294794965906075,0.0390125753467242
,35.69864,139.41381,83.5,0.003328602712343217,0.04234117805906742
,35.69864,139.41388,83.5,0.006335383285335599,0.04867656134440301
,35.69866,139.41389,83.5,0.0023965368452408464,0.05107309818964386
,35.69883,139.41389,83.4,0.018862082421664657,0.06993518061130852
,35.69891,139.41391,83.3,0.00905895813170892,0.07899413874301744
,35.69899,139.41395,83.5,0.009586142668915807,0.08858028141193325
,35.69906,139.414,83.6,0.008988890862020807,0.09756917227395405
,35.69906,139.41413,83.5,0.011765650119962433,0.10933482239391648
,35.69936,139.4143,83.5,0.03666992387068597,0.14600474626460244
,35.69944,139.41436,83.7,0.010405583456396066,0.1564103297209985
,35.69947,139.41436,83.7,0.00332860317265401,0.1597389328936525
,35.69949,139.41435,83.6,0.0023965335850425697,0.1621354664786951
,35.69951,139.41437,83.6,0.002863685109648125,0.16499915158834322
,35.69959,139.41441,83.5,0.009586133247289038,0.17458528483563227
,35.69962,139.41445,83.6,0.004917852130579,0.17950313696621126
,35.69971,139.41449,83.6,0.010621772408332753,0.19012490937454402
,35.7001,139.41474,83.8,0.04883020502963557,0.2389551144041796
,35.70016,139.41477,83.8,0.00718959310502803,0.24614470750920764
,35.70025,139.41483,84,0.011366781965934623,0.25751148947514224
,35.70035,139.41492,84,0.013764192448776974,0.2712756819239192
,35.70056,139.41502,83.8,0.024996184400509665,0.29627186632442887
,35.70082,139.41517,83.9,0.03188251606182469,0.32815438238625355
,35.70089,139.41522,84,0.008988840855099427,0.337143223241353
,35.7013,139.41545,84.1,0.05002713380112321,0.3871703570424762
,35.70138,139.41553,84.2,0.011454637406328518,0.3986249944488047
,35.70158,139.41564,84.3,0.024321470895431786,0.4229464653442365
,35.70164,139.41562,84.3,0.006898889881030214,0.42984535522526673
,35.70173,139.41566,84.4,0.010621744444075626,0.4404670996693424
,35.70183,139.41569,84.4,0.011422709433191304,0.4518898091025337
,35.70187,139.41571,84.3,0.004793048565448898,0.45668285766798256
,35.70195,139.41573,84.4,0.009058948806371666,0.4657418064743542
,35.7022,139.41592,84.4,0.0326358041705226,0.4983776106448768
,35.70224,139.41585,84.5,0.007735022716552533,0.5061126333614293
,35.70226,139.41588,84.4,0.0035065258110438917,0.5096191591724732
,35.70371,139.4172,85.6,0.20038481699385263,0.7100039761663259
,35.7039,139.41739,85.8,0.027204436002870775,0.7372084121691967
,35.704,139.41751,85.8,0.015525626302955465,0.7527340384721523
,35.70404,139.41755,85.8,0.005727243665283445,0.7584612821374357
,35.70426,139.41782,85.9,0.03453833323492324,0.792999615372359
,35.70433,139.41792,85.9,0.011925736989499936,0.8049253523618589
,35.70439,139.41798,85.9,0.008590851215552742,0.8135162035774116
,35.70445,139.41806,85.8,0.009835387435013677,0.8233515910124253
,35.7045,139.41811,85.9,0.007159038657255354,0.8305106296696806
,35.70474,139.41839,85.9,0.036758576746041896,0.8672692064157225
,35.70476,139.41842,85.9,0.003506460768471564,0.8707756671841941
,35.70507,139.41879,86,0.04800273231249584,0.9187783994966899
,35.70511,139.41883,86,0.0057272137051017045,0.9245056132017916
,35.70525,139.419,86.1,0.02186270142298246,0.946368314624774
,35.70527,139.41903,86.1,0.003506447496665252,0.9498747621214393
,35.70539,139.41917,86.2,0.01837921207537576,0.968253974196815
,35.70548,139.41929,86.3,0.014752980965156098,0.9830069551619711
,35.70549,139.41932,86.2,0.002932904005102766,0.9859398591670739
,35.70576,139.41971,86.5,0.046293842179958314,1.0322337013470322
,35.70584,139.41981,86.6,0.012676205736715192,1.0449099070837473
,35.70585,139.41984,86.6,0.0029328927292681865,1.0478427998130155
,35.706,139.42006,86.7,0.025949460881846017,1.0737922606948616
,35.70602,139.42008,86.7,0.002863593972325273,1.0766558546671867
,35.70617,139.42031,86.8,0.026650076460346315,1.103305931127533
,35.70619,139.42033,86.9,0.002863591591430193,1.1061695227189632
,35.70629,139.42047,87,0.016841163570026636,1.12301068628899
,35.70637,139.42061,87.1,0.015469516328242892,1.1384802026172327
,35.70653,139.42083,87.1,0.026674566968045172,1.165154769585278
,35.70654,139.42085,87.1,0.0021229507627449694,1.167277720348023
,35.7067,139.42109,87.3,0.02805129691370211,1.195329017261725
,35.70672,139.42111,87.2,0.002863584171775436,1.1981926014335005
,35.70694,139.42143,87.3,0.03787412337470216,1.2360667248082027
,35.70699,139.42152,87.3,0.009854542128774717,1.2459212669369775
,35.70708,139.42164,87.5,0.014752823037086403,1.2606740899740638
,35.70716,139.42173,87.5,0.012046720049846834,1.2727208100239107
,35.70725,139.42185,87.6,0.014752806254116995,1.2874736162780276
,35.70759,139.42237,87.5,0.060312044304719335,1.347785660582747
,35.70845,139.42381,87.4,0.1615127648358926,1.5092984254186397
,35.70846,139.42382,87.4,0.0014317798703967642,1.5107302052890363
,35.70849,139.42389,87.3,0.007155896590775742,1.517886101879812
,35.70863,139.42411,87.3,0.025251685803555062,1.543137787683367
,35.70864,139.42414,87.3,0.0029328053560347582,1.5460705930394016
,35.70967,139.42582,86.5,0.1901928379222116,1.7362634309616132
,35.70969,139.42587,86.4,0.005039517842807036,1.7413029488044203
,35.70972,139.4259,86.4,0.004295313356770881,1.7455982621611912
,35.70989,139.42619,86.1,0.03231827297163295,1.777916535132824
,35.70996,139.42629,86,0.011925258864960712,1.7898417939977849
,35.70998,139.42633,86,0.004245769786993781,1.7940875637847786
,35.71029,139.42683,85.8,0.0568355664273654,1.850923130212144
,35.71032,139.4269,85.8,0.007155768890563995,1.858078899102708
,35.71069,139.42752,85.7,0.06952061887748556,1.9275995179801935
,35.71074,139.42758,85.8,0.007762496729381359,1.935362014709575
,35.71077,139.42763,85.8,0.0056170764662774545,1.9409790911758524
,35.7109,139.42776,85.8,0.01861292170735458,1.959592012883207
,35.71094,139.42779,85.9,0.005202595167485797,1.9647946080506928
,35.71099,139.42784,85.9,0.007158811492440399,1.9719534195431332
,35.71109,139.42791,86,0.012776219471105424,1.9847296390142386
,35.71116,139.42797,85.9,0.009476379585985273,1.994206018600224
,35.71133,139.42806,85.8,0.020545262269344104,2.014751280869568
,35.71137,139.42807,85.8,0.004529459922241089,2.019280740791809
,35.71142,139.4281,85.8,0.0061762897658328075,2.0254570305576416
,35.71204,139.42834,86.1,0.07213806536382933,2.097595095921471
,35.71209,139.42835,86,0.005621000164922658,2.1032160960863937
,35.71241,139.42848,86.1,0.03740324128050682,2.1406193373669007
,35.71242,139.42848,86.1,0.0011095367853739642,2.1417288741522746
,35.71286,139.42865,86.2,0.05118593007891422,2.192914804231189
,35.71289,139.42867,86.2,0.0037887966803863546,2.196703600911575
,35.71304,139.42872,86.3,0.017247086719296187,2.213950687630871
,35.71381,139.42902,86.4,0.0896435559449827,2.3035942435758536
,35.71406,139.42913,86.4,0.02947026421186958,2.3330645077877232
,35.71413,139.42915,86.5,0.007974822105939968,2.3410393298936634
,35.7148,139.4294,86.7,0.07770479830111515,2.4187441281947786
,35.71484,139.42942,86.7,0.004792946730172551,2.423537074924951
,35.71533,139.42961,86.8,0.057020948522363044,2.480558023447314
,35.71588,139.42986,87,0.06508250192341307,2.545640525370727
,35.71594,139.42988,86.9,0.006898820372592275,2.552539345743319
,35.71597,139.42991,86.9,0.004295182086836596,2.556834527830156
,35.71612,139.42997,87,0.01750620341233189,2.5743407312424877
,35.71629,139.43006,87,0.020545076547086406,2.594885807789574
,35.71633,139.43007,87,0.00452945231120727,2.5994152601007814
,35.71675,139.43026,87.2,0.04967077000977399,2.6490860301105554
,35.71681,139.4303,87.2,0.007577512821079402,2.6566635429316348
,35.71716,139.43046,87.4,0.04144472280508127,2.698108265736716
,35.7194,139.43174,88.8,0.27419761138260157,2.9723058771193176
,35.71943,139.43175,88.8,0.003449401666778579,2.9757552787860964
,35.72023,139.43222,90.9,0.09842442320768666,3.074179701993783
