datetime,temp,on_sec(s),power(%),P,I,D,PID
20221028 22:18:32,52.937,5,1,4.625,11.782520719037308,-0.012600000000000477,0.0
20221028 22:18:38,53.0,5,1,4.563000000000002,11.642125311984632,-0.012399999999999523,0.0
20221028 22:18:43,53.125,5,1,4.5,11.516320621177076,-0.025,0.0
20221028 22:18:48,53.125,5,1,4.375,11.407154217407092,-0.05,0.0
20221028 22:18:54,53.187,5,1,4.313000000000002,11.266764829745949,-0.05,0.0
20221028 22:18:59,53.125,5,1,4.313000000000002,11.126375442084807,-0.049799999999999046,0.0
20221028 22:19:04,53.125,5,1,4.375,11.001381461476344,-0.012399999999999523,0.0
20221028 22:19:09,53.125,5,1,4.375,10.923021977861646,0.0,0.0
20221028 22:19:14,53.125,5,1,4.375,10.891331837016576,0.012399999999999523,0.0
20221028 22:19:19,53.125,5,1,4.375,10.906721224677717,0.0,0.0
20221028 22:19:24,53.187,5,1,4.375,10.922110612338859,0.0,0.0
20221028 22:19:29,53.187,5,1,4.313000000000002,10.922110612338859,-0.012399999999999523,0.0
20221028 22:19:35,53.25,5,1,4.313000000000002,10.89111061233886,-0.012399999999999523,0.0
20221028 22:19:40,53.25,5,1,4.25,10.844476488784032,-0.025,0.0
20221028 22:19:45,53.25,5,1,4.25,10.781976488784032,-0.012600000000000477,0.0
20221028 22:19:50,53.312,5,1,4.25,10.719476488784032,-0.012600000000000477,0.0
20221028 22:19:55,53.375,5,1,4.188000000000002,10.65697976599246,-0.012399999999999523,0.0
20221028 22:20:00,53.375,5,1,4.125,10.57884912723389,-0.025,0.0
20221028 22:20:05,53.437,5,1,4.125,10.500483250788717,-0.025,0.0
20221028 22:20:11,53.5,5,1,4.0,10.3913563129244,-0.025200000000000954,0.0
20221028 22:20:16,53.5,5,1,4.0,10.282229375060082,-0.025200000000000954,0.0
20221028 22:20:21,53.562,5,1,4.0,10.172615485512795,-0.025200000000000954,0.0
20221028 22:20:26,53.625,5,1,3.9380000000000024,10.078867187511477,-0.025,0.0
20221028 22:20:31,53.625,5,1,3.875,9.969744187383485,-0.025,0.0
20221028 22:20:36,53.687,5,1,3.875,9.891371125247803,-0.025,0.0
20221028 22:20:42,53.75,5,1,3.75,9.766379261049448,-0.025200000000000954,0.0
20221028 22:20:47,53.812,5,1,3.75,9.657260458986775,-0.025200000000000954,0.0
20221028 22:20:52,53.875,5,1,3.6880000000000024,9.532268597144888,-0.03760000000000048,0.0
20221028 22:20:57,53.875,5,1,3.625,9.407277280303102,-0.03760000000000048,0.0
20221028 22:21:02,53.937,5,1,3.625,9.2822772803031,-0.025,0.0
20221028 22:21:08,54.0,5,1,3.5,9.15728656799511,-0.025200000000000954,0.0
20221028 22:21:13,54.0,5,1,3.5,9.032295855687119,-0.025200000000000954,0.0
20221028 22:21:18,54.062,5,1,3.5,8.922666654288893,-0.025200000000000954,0.0
20221028 22:21:23,54.125,5,1,3.4380000000000024,8.82891948379831,-0.025,0.0
20221028 22:21:28,54.187,5,1,3.375,8.719815124485233,-0.025,0.0
20221028 22:21:33,54.187,5,1,3.3130000000000024,8.626068329047285,-0.037399999999999524,0.0
20221028 22:21:38,54.25,5,1,3.3130000000000024,8.51667784341795,-0.025,0.0
