datetime,temp,on_sec(s),power(%),P,I,D,PID
20230102 23:05:54,66.375,5,1,1.0630000000000024,1.8696613374666144,0.16260000000000047,0.0
20230102 23:05:59,65.625,5,1,1.625,2.258536709490424,0.2623999999999995,0.0
20230102 23:06:05,65.25,5,1,2.75,3.234146465587985,0.2623999999999995,0.0
20230102 23:06:10,65.062,5,1,2.75,4.193250509575873,0.2623999999999995,0.0
20230102 23:06:16,64.875,5,1,3.125,5.252614598596232,0.1873999999999995,0.0
20230102 23:06:21,64.562,5,1,3.125,6.31197868761659,0.14979999999999905,0.0
20230102 23:06:26,64.562,5,1,3.4380000000000024,7.255085183640929,0.13739999999999952,0.0
20230102 23:06:31,64.125,5,1,3.4380000000000024,7.68597542754337,0.1,0.0
20230102 23:06:36,64.062,5,1,3.875,8.23264407975977,0.15,0.0
20230102 23:06:41,64.062,5,1,3.9380000000000024,8.66882917793295,0.09999999999999999,0.0
20230102 23:06:46,63.75,5,1,3.9380000000000024,9.120637276234122,0.09999999999999999,0.0
20230102 23:06:51,63.687,5,1,4.25,9.526127562558225,0.075,0.0
20230102 23:06:56,63.625,5,1,4.313000000000002,9.947993439003397,0.075,0.0
20230102 23:07:01,63.562,5,1,4.375,10.285325643028294,0.08739999999999953,0.0
20230102 23:07:06,63.5,5,1,4.438000000000002,10.535311232512917,0.03760000000000048,0.0
20230102 23:07:13,63.5,5,1,4.5,10.816311232512916,0.025,0.0
20230102 23:07:18,63.312,5,1,4.5,11.016339078140664,0.012600000000000477,0.0
20230102 23:07:24,63.25,5,1,4.688000000000002,11.173434890855265,0.03760000000000048,0.0
20230102 23:07:29,63.25,5,1,4.75,11.360926100936412,0.05,0.0
20230102 23:07:34,63.187,5,1,4.75,11.53256351157978,0.05,0.0
20230102 23:07:39,63.187,5,1,4.813000000000002,11.673417270860341,0.025,0.0
20230102 23:07:44,63.125,5,1,4.813000000000002,11.829917270860342,0.012600000000000477,0.0
20230102 23:07:49,63.062,5,1,4.875,11.954054776580833,0.025,0.0
20230102 23:07:54,63.062,5,1,4.938000000000002,12.047804070027535,0.025,0.0
20230102 23:08:00,63.062,5,1,4.938000000000002,12.141804070027536,0.025,0.0
20230102 23:08:05,62.937,5,1,4.938000000000002,12.219950310746977,0.012600000000000477,0.0
20230102 23:08:10,62.937,5,1,5.063000000000002,12.31409089668838,0.025,0.0
20230102 23:08:16,62.875,5,1,5.125,12.439086028466933,0.037399999999999524,0.0
20230102 23:08:21,62.875,5,1,5.125,12.53282923925904,0.049799999999999046,0.0
20230102 23:08:27,62.875,5,1,5.125,12.62632923925904,0.024799999999999045,0.0
20230102 23:08:32,62.875,5,1,5.125,12.719829239259038,0.012399999999999523,0.0
20230102 23:08:37,62.875,5,1,5.125,12.78168865331763,0.0,0.0
20230102 23:08:42,62.875,5,1,5.125,12.797094326658815,0.0,0.0
20230102 23:08:47,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:08:52,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:08:57,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:02,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:07,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:12,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:17,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:22,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:27,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:35,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:40,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:49,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:54,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:09:59,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:10:04,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:10:11,62.875,5,1,5.125,12.8125,0.0,0.0
20230102 23:10:16,62.937,5,1,5.125,12.8125,0.0,0.0
20230102 23:10:21,62.937,5,1,5.063000000000002,12.797094326658815,-0.012399999999999523,0.0
20230102 23:10:29,62.937,5,1,5.063000000000002,12.766094326658816,-0.012399999999999523,0.0
20230102 23:10:35,62.937,5,1,5.063000000000002,12.735094326658817,-0.012399999999999523,0.0
20230102 23:10:40,62.937,5,1,5.063000000000002,12.704094326658819,0.0,0.0
20230102 23:10:46,63.0,5,1,5.0,12.657442930454904,-0.012600000000000477,0.0
20230102 23:10:51,63.0,5,1,5.0,12.626197207592174,-0.025200000000000954,0.0
20230102 23:10:56,63.0,5,1,5.0,12.594697207592173,-0.025200000000000954,0.0
20230102 23:11:01,63.062,5,1,5.0,12.563197207592172,-0.012600000000000477,0.0
20230102 23:11:07,63.062,5,1,4.938000000000002,12.5162939071293,-0.012399999999999523,0.0
20230102 23:11:13,63.062,5,1,4.938000000000002,12.469445303333217,-0.012399999999999523,0.0
20230102 23:11:18,63.062,5,1,4.938000000000002,12.422596699537133,-0.012399999999999523,0.0
20230102 23:11:23,63.062,5,1,4.938000000000002,12.391596699537134,0.0,0.0
20230102 23:11:28,63.125,5,1,4.938000000000002,12.360596699537135,0.0,0.0
20230102 23:11:33,63.125,5,1,4.875,12.329351115866713,-0.012600000000000477,0.0
20230102 23:11:38,63.125,5,1,4.875,12.297851115866711,-0.012600000000000477,0.0
20230102 23:11:44,63.187,5,1,4.875,12.26635111586671,-0.012600000000000477,0.0
20230102 23:11:49,63.187,5,1,4.813000000000002,12.219450310746975,-0.012399999999999523,0.0
20230102 23:11:54,63.25,5,1,4.813000000000002,12.156950310746973,-0.012399999999999523,0.0
20230102 23:12:01,63.25,5,1,4.75,12.078599194880265,-0.012399999999999523,0.0
20230102 23:12:06,63.25,5,1,4.75,12.016099194880265,0.0,0.0
20230102 23:12:11,63.312,5,1,4.75,11.953599194880265,0.0,0.0
20230102 23:12:16,63.312,5,1,4.688000000000002,11.891101822420007,-0.012399999999999523,0.0
20230102 23:12:21,63.312,5,1,4.688000000000002,11.828601822420007,-0.012399999999999523,0.0
20230102 23:12:26,63.375,5,1,4.688000000000002,11.797601822420008,-0.012399999999999523,0.0
20230102 23:12:32,63.375,5,1,4.625,11.735101822420008,0.0,0.0
20230102 23:12:37,63.437,5,1,4.625,11.672601822420008,0.0,0.0
20230102 23:12:43,63.437,5,1,4.563000000000002,11.610104592947327,-0.012399999999999523,0.0
20230102 23:12:48,63.437,5,1,4.563000000000002,11.547604592947327,-0.012399999999999523,0.0
20230102 23:12:53,63.437,5,1,4.563000000000002,11.485104592947327,-0.012399999999999523,0.0
20230102 23:13:00,63.5,5,1,4.5,11.438464076562024,-0.012600000000000477,0.0
20230102 23:13:05,63.562,5,1,4.5,11.391823560176721,-0.025200000000000954,0.0
20230102 23:13:10,63.562,5,1,4.438000000000002,11.329326485689904,-0.03760000000000048,0.0
20230102 23:13:16,63.625,5,1,4.375,11.251189075046536,-0.03760000000000048,0.0
20230102 23:13:21,63.687,5,1,4.375,11.173051664403168,-0.03760000000000048,0.0
20230102 23:13:27,63.687,5,1,4.313000000000002,11.07930279312733,-0.03760000000000048,0.0
20230102 23:13:32,63.75,5,1,4.313000000000002,10.969943309512633,-0.025,0.0
20230102 23:13:38,63.75,5,1,4.25,10.876201667497298,-0.025,0.0
20230102 23:13:43,63.75,5,1,4.25,10.797839078140665,-0.012600000000000477,0.0
20230102 23:13:48,63.812,5,1,4.25,10.719476488784032,-0.012600000000000477,0.0
20230102 23:13:53,63.812,5,1,4.188000000000002,10.65697976599246,-0.012399999999999523,0.0
20230102 23:13:58,63.875,5,1,4.188000000000002,10.59447976599246,-0.012399999999999523,0.0
20230102 23:14:03,63.875,5,1,4.125,10.531983250788718,-0.025,0.0
20230102 23:14:08,63.875,5,1,4.125,10.469483250788718,-0.012600000000000477,0.0
20230102 23:14:13,63.937,5,1,4.125,10.406983250788718,-0.012600000000000477,0.0
20230102 23:14:19,63.937,5,1,4.063000000000002,10.328869361241432,0.0,0.0
20230102 23:14:24,64.0,5,1,4.063000000000002,10.266369361241432,0.0,0.0
20230102 23:14:29,64.0,5,1,4.0,10.203873062135685,-0.012600000000000477,0.0
20230102 23:14:36,64.062,5,1,3.9380000000000024,10.125994125375797,-0.025,0.0
20230102 23:14:41,64.062,5,1,3.9380000000000024,10.048115188615908,-0.037399999999999524,0.0
20230102 23:14:47,64.125,5,1,3.9380000000000024,9.985615188615908,-0.024799999999999045,0.0
20230102 23:14:52,64.125,5,1,3.875,9.907492188487915,-0.025,0.0
20230102 23:14:57,64.187,5,1,3.875,9.829119126352232,-0.012600000000000477,0.0
20230102 23:15:02,64.187,5,1,3.8130000000000024,9.766623063112121,-0.025,0.0
20230102 23:15:07,64.25,5,1,3.8130000000000024,9.688501999872011,-0.012399999999999523,0.0
20230102 23:15:12,64.25,5,1,3.75,9.610383197809337,-0.025,0.0
20230102 23:15:17,64.312,5,1,3.75,9.532006197937328,-0.012600000000000477,0.0
20230102 23:15:22,64.375,5,1,3.6880000000000024,9.454135399335556,-0.025,0.0
20230102 23:15:27,64.375,5,1,3.625,9.360396082365774,-0.025,0.0
20230102 23:15:32,64.375,5,1,3.625,9.266396082365773,-0.025,0.0
20230102 23:15:37,64.437,5,1,3.625,9.188014884428448,-0.012600000000000477,0.0
20230102 23:15:43,64.437,5,1,3.5630000000000024,9.094514884428447,0.0,0.0
20230102 23:15:48,64.5,5,1,3.5630000000000024,9.016385683030222,0.0,0.0
20230102 23:15:54,64.5,5,1,3.5,8.953890485629339,-0.012600000000000477,0.0
20230102 23:16:00,64.562,5,1,3.4380000000000024,8.876028998168977,-0.025,0.0
20230102 23:16:05,64.562,5,1,3.4380000000000024,8.798167510708613,-0.037399999999999524,0.0
20230102 23:16:10,64.625,5,1,3.4380000000000024,8.735667510708613,-0.024799999999999045,0.0
20230102 23:16:15,64.625,5,1,3.375,8.657563151395536,-0.025,0.0
20230102 23:16:20,64.625,5,1,3.375,8.5791726657662,-0.012600000000000477,0.0
20230102 23:16:25,64.687,5,1,3.375,8.532034153226562,-0.012600000000000477,0.0
20230102 23:16:30,64.687,5,1,3.3130000000000024,8.469539330878312,-0.012399999999999523,0.0
20230102 23:16:35,64.75,5,1,3.3130000000000024,8.407039330878312,-0.012399999999999523,0.0
20230102 23:16:40,64.75,5,1,3.25,8.344544878672268,-0.025,0.0
20230102 23:16:45,64.812,5,1,3.25,8.282044878672268,-0.012600000000000477,0.0
20230102 23:16:52,64.875,5,1,3.125,8.172952054341522,-0.025200000000000954,0.0
20230102 23:16:57,64.875,5,1,3.125,8.079215539819389,-0.025200000000000954,0.0
20230102 23:17:02,64.937,5,1,3.125,7.985215539819388,-0.025200000000000954,0.0
20230102 23:17:07,64.937,5,1,3.0630000000000024,7.891469651920281,-0.025,0.0
20230102 23:17:12,65.0,5,1,3.0630000000000024,7.797969651920282,-0.012399999999999523,0.0
20230102 23:17:17,65.0,5,1,3.0,7.735476132856669,-0.025,0.0
20230102 23:17:22,65.062,5,1,3.0,7.657068957187414,-0.012600000000000477,0.0
20230102 23:17:28,65.125,5,1,2.875,7.547989652181394,-0.025200000000000954,0.0
20230102 23:17:33,65.125,5,1,2.875,7.454255046593602,-0.025200000000000954,0.0
20230102 23:17:38,65.187,5,1,2.875,7.3602550465936005,-0.025200000000000954,0.0
20230102 23:17:43,65.187,5,1,2.8130000000000024,7.266510342167988,-0.025,0.0
20230102 23:17:50,65.25,5,1,2.75,7.157438708157564,-0.025,0.0
20230102 23:17:55,65.312,5,1,2.75,7.094946379153157,-0.03760000000000048,0.0
20230102 23:18:00,65.375,5,1,2.6880000000000024,7.0012024035413045,-0.03760000000000048,0.0
20230102 23:18:07,65.375,5,1,2.625,6.8762024035413045,-0.025,0.0
20230102 23:18:12,65.437,5,1,2.625,6.766533451361275,-0.012399999999999523,0.0
20230102 23:18:17,65.437,5,1,2.5630000000000024,6.672790320529758,-0.012399999999999523,0.0
20230102 23:18:22,65.5,5,1,2.5630000000000024,6.563361954540185,-0.012399999999999523,0.0
20230102 23:18:27,65.5,5,1,2.5,6.469631215801947,-0.025,0.0
