datetime,temp,on_sec(s),power(%),P,I,D,PID
20230910 08:48:31,57.125,5,1,12.875,0,0,0.0
20230910 08:48:36,57.187,5,1,12.875,0,0,0.0
20230910 08:48:41,57.187,5,1,12.813000000000002,0,0,0.0
20230910 08:48:46,57.25,5,1,12.813000000000002,0,0,0.0
20230910 08:48:51,57.25,5,1,12.75,0,0,0.0
20230910 08:48:57,57.312,5,1,12.688000000000002,0,0,0.0
20230910 08:49:03,57.375,5,1,12.625,0,0,0.0
20230910 08:49:08,57.437,5,1,12.625,0,0,0.0
20230910 08:49:14,57.5,5,1,12.563000000000002,0,0,0.0
20230910 08:49:19,57.5,5,1,12.5,0,0,0.0
20230910 08:49:25,57.562,5,1,12.5,0,0,0.0
20230910 08:49:30,57.625,5,1,12.438000000000002,0,0,0.0
20230910 08:49:35,57.687,5,1,12.375,0,0,0.0
20230910 08:49:40,57.75,5,1,12.313000000000002,0,0,0.0
20230910 08:49:45,57.812,5,1,12.25,0,0,0.0
20230910 08:49:50,57.875,5,1,12.188000000000002,0,0,0.0
20230910 08:49:55,57.937,5,1,12.125,0,0,0.0
20230910 08:50:00,58.0,5,1,12.063000000000002,0,0,0.0
20230910 08:50:05,58.0,5,1,12.0,0,0,0.0
20230910 08:50:11,58.062,5,1,11.938000000000002,0,0,0.0
20230910 08:50:16,58.125,5,1,11.938000000000002,0,0,0.0
20230910 08:50:21,58.187,5,1,11.875,0,0,0.0
20230910 08:50:26,58.25,5,1,11.813000000000002,0,0,0.0
20230910 08:50:31,58.312,5,1,11.75,0,0,0.0
20230910 08:50:36,58.375,5,1,11.688000000000002,0,0,0.0
20230910 08:50:42,58.437,5,1,11.563000000000002,0,0,0.0
20230910 08:50:47,58.5,5,1,11.563000000000002,0,0,0.0
20230910 08:50:52,58.562,5,1,11.5,0,0,0.0
20230910 08:50:57,58.625,5,1,11.438000000000002,0,0,0.0
20230910 08:51:04,58.625,5,1,11.375,0,0,0.0
20230910 08:51:09,58.625,5,1,11.375,0,0,0.0
20230910 08:51:14,58.75,5,1,11.375,0,0,0.0
20230910 08:51:20,58.875,5,1,11.125,0,0,0.0
20230910 08:51:25,58.875,5,1,11.125,0,0,0.0
20230910 08:51:30,58.937,5,1,11.125,0,0,0.0
20230910 08:51:35,59.0,5,1,11.063000000000002,0,0,0.0
20230910 08:51:40,59.062,5,1,11.0,0,0,0.0
20230910 08:51:45,59.062,5,1,10.938000000000002,0,0,0.0
20230910 08:51:50,59.125,5,1,10.938000000000002,0,0,0.0
20230910 08:51:55,59.187,5,1,10.875,0,0,0.0
20230910 08:52:01,59.25,5,1,10.75,0,0,0.0
20230910 08:52:06,59.312,5,1,10.75,0,0,0.0
20230910 08:52:12,59.375,5,1,10.688000000000002,0,0,0.0
20230910 08:52:17,59.437,5,1,10.625,0,0,0.0
20230910 08:52:22,59.437,5,1,10.563000000000002,0,0,0.0
20230910 08:52:27,59.437,5,1,10.563000000000002,0,0,0.0
20230910 08:52:32,59.625,5,1,10.563000000000002,0,0,0.0
20230910 08:52:37,59.687,5,1,10.375,0,0,0.0
20230910 08:52:42,59.75,5,1,10.313000000000002,0,0,0.0
20230910 08:52:47,59.75,5,1,10.25,0,0,0.0
20230910 08:52:52,59.812,5,1,10.25,0,0,0.0
20230910 08:52:57,59.875,5,1,10.188000000000002,0,0,0.0
20230910 08:53:02,59.875,5,1,10.125,0,0,0.0
20230910 08:53:07,59.937,5,1,10.125,0,0,0.0
20230910 08:53:14,60.0,5,1,10.0,0,0,0.0
20230910 08:53:19,60.062,5,1,10.0,0,0,0.0
20230910 08:53:24,60.125,5,1,9.938000000000002,0,0,0.0
20230910 08:53:29,60.187,5,1,9.875,0,0,0.0
20230910 08:53:34,60.187,5,1,9.813000000000002,0,0,0.0
20230910 08:53:39,60.312,5,1,9.813000000000002,0,0,0.0
20230910 08:53:45,60.375,5,1,9.625,0,0,0.0
20230910 08:53:50,60.437,5,1,9.625,0,0,0.0
20230910 08:53:55,60.437,5,1,9.563000000000002,0,0,0.0
20230910 08:54:00,60.5,5,1,9.563000000000002,0,0,0.0
20230910 08:54:06,60.562,5,1,9.438000000000002,0,0,0.0
20230910 08:54:12,60.625,5,1,9.375,0,0,0.0
20230910 08:54:17,60.625,5,1,9.375,0,0,0.0
20230910 08:54:22,60.75,5,1,9.375,0,0,0.0
20230910 08:54:30,60.75,5,1,9.25,0,0,0.0
20230910 08:54:35,60.75,5,1,9.25,0,0,0.0
20230910 08:54:40,60.875,5,1,9.25,0,0,0.0
20230910 08:54:45,60.937,5,1,9.125,0,0,0.0
20230910 08:54:50,60.937,5,1,9.063000000000002,0,0,0.0
20230910 08:54:56,61.0,5,1,9.0,0,0,0.0
20230910 08:55:01,61.0,5,1,9.0,0,0,0.0
20230910 08:55:06,61.125,5,1,9.0,0,0,0.0
20230910 08:55:12,61.25,5,1,8.75,0,0,0.0
20230910 08:55:17,61.25,5,1,8.75,0,0,0.0
20230910 08:55:22,61.312,5,1,8.75,0,0,0.0
20230910 08:55:28,61.312,5,1,8.688000000000002,0,0,0.0
20230910 08:55:33,61.437,5,1,8.688000000000002,0,0,0.0
20230910 08:55:39,61.437,5,1,8.563000000000002,0,0,0.0
20230910 08:55:44,61.5,5,1,8.563000000000002,0,0,0.0
20230910 08:55:49,61.5,5,1,8.5,0,0,0.0
20230910 08:55:55,61.562,5,1,8.5,0,0,0.0
20230910 08:56:00,61.625,5,1,8.438000000000002,0,0,0.0
20230910 08:56:06,61.687,5,1,8.375,0,0,0.0
20230910 08:56:12,61.75,5,1,8.25,0,0,0.0
20230910 08:56:17,61.875,5,1,8.25,0,0,0.0
20230910 08:56:22,61.875,5,1,8.125,0,0,0.0
20230910 08:56:28,61.937,5,1,8.063000000000002,0,0,0.0
20230910 08:56:33,61.937,5,1,8.063000000000002,0,0,0.0
20230910 08:56:38,62.0,5,1,8.063000000000002,0,0,0.0
20230910 08:56:43,62.0,5,1,8.0,0,0,0.0
20230910 08:56:49,62.062,5,1,7.938000000000002,0,0,0.0
20230910 08:56:55,62.125,5,1,7.938000000000002,0,0,0.0
20230910 08:57:00,62.125,5,1,7.875,0,0,0.0
20230910 08:57:05,62.25,5,1,7.875,0,0,0.0
20230910 08:57:10,62.312,5,1,7.75,0,0,0.0
20230910 08:57:16,62.312,5,1,7.688000000000002,0,0,0.0
20230910 08:57:21,62.437,5,1,7.688000000000002,0,0,0.0
20230910 08:57:26,62.437,5,1,7.563000000000002,0,0,0.0
20230910 08:57:31,62.5,5,1,7.563000000000002,0,0,0.0
20230910 08:57:36,62.562,5,1,7.5,0,0,0.0
20230910 08:57:41,62.562,5,1,7.438000000000002,0,0,0.0
20230910 08:57:46,62.687,5,1,7.438000000000002,0,0,0.0
20230910 08:57:51,62.75,5,1,7.313000000000002,0,0,0.0
20230910 08:57:58,62.75,5,1,7.25,0,0,0.0
20230910 08:58:03,62.812,5,1,7.25,0,0,0.0
20230910 08:58:08,62.875,5,1,7.188000000000002,0,0,0.0
20230910 08:58:13,62.937,5,1,7.125,0,0,0.0
20230910 08:58:18,63.0,5,1,7.063000000000002,0,0,0.0
20230910 08:58:23,63.062,5,1,7.0,3.5158205574912897,-0.012600000000000477,0.0
20230910 08:58:29,63.125,5,1,6.875,6.969142391995019,-0.025200000000000954,0.0
20230910 08:58:34,63.125,5,1,6.875,10.422464226498748,-0.03780000000000143,0.0
20230910 08:58:39,63.25,5,1,6.875,13.859964226498748,-0.025200000000000954,0.0
20230910 08:58:44,63.25,5,1,6.75,17.266500923746452,-0.03760000000000048,0.0
20230910 08:58:49,63.312,5,1,6.75,17.125680366255164,-0.025,0.0
20230910 08:58:56,63.375,5,1,6.625,17.000683064163365,-0.03760000000000048,0.0
20230910 08:59:01,63.375,5,1,6.625,16.875685762071562,-0.025200000000000954,0.0
20230910 08:59:06,63.5,5,1,6.625,16.750685762071566,-0.025200000000000954,0.0
20230910 08:59:11,63.562,5,1,6.5,16.625696683871478,-0.03760000000000048,0.0
20230910 08:59:17,63.625,5,1,6.375,16.454024124751836,-0.03760000000000048,0.0
20230910 08:59:22,63.687,5,1,6.375,16.32902703322026,-0.05020000000000095,0.0
20230910 08:59:28,63.75,5,1,6.313000000000002,16.172778241665835,-0.03760000000000048,0.0
20230910 08:59:33,63.812,5,1,6.25,16.001107223596904,-0.03760000000000048,0.0
20230910 08:59:38,63.875,5,1,6.188000000000002,15.829136867774883,-0.037399999999999524,0.0
20230910 08:59:43,63.937,5,1,6.125,15.704140012454507,-0.03760000000000048,0.0
20230910 08:59:48,64.0,5,1,6.063000000000002,15.547891419621411,-0.037399999999999524,0.0
20230910 08:59:54,64.0,5,1,6.0,15.375815678763907,-0.025,0.0
20230910 08:59:59,64.125,5,1,6.0,15.234986696832838,-0.012399999999999523,0.0
20230910 09:00:04,64.187,5,1,5.875,15.09448838097566,-0.025,0.0
