datetime,temp,on_sec(s),power(%),P,I,D,PID
20230914 21:32:48,56.5,5,1,1.0,2.376991744066052,0.024799999999999045,0.0
20230914 21:32:53,56.5,5,1,1.0,2.407991744066051,0.024799999999999045,0.0
20230914 21:32:58,56.5,5,1,1.0,2.43899174406605,0.012399999999999523,0.0
20230914 21:33:03,56.5,5,1,1.0,2.4699917440660486,0.0,0.0
20230914 21:33:09,56.5,5,1,1.0,2.484995872033024,0.0,0.0
20230914 21:33:14,56.5,5,1,1.0,2.5,0.0,0.0
20230914 21:33:20,56.562,5,1,1.0,2.5,0.0,0.0
20230914 21:33:25,56.562,5,1,0.9380000000000024,2.484995872033024,-0.012399999999999523,0.0
20230914 21:33:30,56.562,5,1,0.9380000000000024,2.4539958720330253,-0.012399999999999523,0.0
20230914 21:33:36,56.625,5,1,0.875,2.4077931693303234,-0.025,0.0
20230914 21:33:42,56.687,5,1,0.875,2.3615904666276215,-0.025200000000000954,0.0
20230914 21:33:47,56.75,5,1,0.8130000000000024,2.28415977942383,-0.03760000000000048,0.0
20230914 21:33:52,56.812,5,1,0.75,2.190548744243014,-0.03760000000000048,0.0
20230914 21:33:57,56.875,5,1,0.6880000000000024,2.0817170335336947,-0.037399999999999524,0.0
20230914 21:34:02,56.937,5,1,0.625,1.95692544834607,-0.03760000000000048,0.0
20230914 21:34:08,57.0,5,1,0.5,1.7698115941343797,-0.03760000000000048,0.0
20230914 21:34:13,57.062,5,1,0.5,1.613925724423778,-0.03780000000000143,0.0
20230914 21:34:19,57.062,5,1,0.4380000000000024,1.458065407827434,-0.03760000000000048,0.0
20230914 21:34:25,57.125,5,1,0.375,1.30236759824155,-0.03760000000000048,0.0
20230914 21:34:30,57.187,5,1,0.375,1.1778323658366743,-0.03760000000000048,0.0
20230914 21:34:35,57.25,5,1,0.3130000000000024,1.0845457250766488,-0.03760000000000048,0.0
20230914 21:34:41,57.25,5,1,0.25,0.9428622819910413,-0.025,0.0
20230914 21:34:46,57.25,5,1,0.25,0.8323377617351773,-0.012399999999999523,0.0
20230914 21:34:51,57.5,5,1,0.25,0.7528672820303796,0.0,0.0
20230914 21:34:56,57.5,0,0,0.0,0.6733968023255819,-0.05,0.0
20230914 21:35:03,57.437,4.473130434782636,0.8946260869565272,0.06300000000000239,0.5315000000000012,-0.037399999999999524,0.0
20230914 21:35:08,57.5,3.85313043478266,0.770626086956532,0.06300000000000239,0.4380000000000024,-0.02479999999999905,0.0
20230914 21:35:13,57.625,0,0,0.0,0.3445000000000036,0.012600000000000477,0.0
20230914 21:35:18,57.75,0.7602173913043836,0.15204347826087672,-0.125,0.15700000000000358,-0.025,0.0
20230914 21:35:23,57.75,0,0,-0.25,-0.07216666666666308,-0.06260000000000047,0.0
20230914 21:35:28,57.812,0,0,-0.25,-0.22866666666666424,-0.05,0.0
20230914 21:35:34,57.875,0,0,-0.375,-0.43336098981076976,-0.03760000000000048,0.0
20230914 21:35:39,57.937,0,0,-0.375,-0.6380553129548753,-0.025200000000000954,0.0
20230914 21:35:44,57.937,0,0,-0.4369999999999976,-0.7797388104918205,-0.03760000000000048,0.0
20230914 21:35:49,57.937,0,0,-0.4369999999999976,-0.8940721438251525,-0.025,0.0
20230914 21:35:55,57.937,0,0,-0.4369999999999976,-0.9875721438251515,-0.012399999999999523,0.0
20230914 21:36:00,58.0,0,0,-0.4369999999999976,-1.0328778206810458,0.0,0.0
20230914 21:36:06,57.937,0,0,-0.5,-1.0949924623181577,-0.012600000000000477,0.0
20230914 21:36:13,57.937,0,0,-0.4369999999999976,-1.1093089647812113,-0.012600000000000477,0.0
20230914 21:36:18,57.937,0,0,-0.4369999999999976,-1.1093089647812113,-0.012600000000000477,0.0
20230914 21:36:23,57.937,0,0,-0.4369999999999976,-1.1093089647812113,0.0,0.0
20230914 21:36:28,57.937,0,0,-0.4369999999999976,-1.1093089647812113,0.0,0.0
20230914 21:36:33,57.937,0,0,-0.4369999999999976,-1.092499999999994,0.0,0.0
20230914 21:36:39,57.937,0,0,-0.4369999999999976,-1.092499999999994,0.0,0.0
20230914 21:36:44,57.937,0,0,-0.4369999999999976,-1.092499999999994,0.0,0.0
20230914 21:36:50,57.937,0,0,-0.4369999999999976,-1.092499999999994,0.0,0.0
20230914 21:36:55,57.875,0,0,-0.4369999999999976,-1.092499999999994,0.0,0.0
20230914 21:37:00,57.875,0,0,-0.375,-1.0781834975369404,0.012399999999999523,0.0
20230914 21:37:05,57.875,0,0,-0.375,-1.0471834975369416,0.012399999999999523,0.0
20230914 21:37:10,57.875,0,0,-0.375,-1.0161834975369428,0.012399999999999523,0.0
20230914 21:37:15,57.812,0,0,-0.375,-0.985183497536944,0.0,0.0
20230914 21:37:21,57.812,0,0,-0.3119999999999976,-0.922683497536944,0.0,0.0
20230914 21:37:28,57.812,0,0,-0.3119999999999976,-0.8744999999999976,0.0,0.0
20230914 21:37:33,57.75,0,0,-0.3119999999999976,-0.8429999999999964,0.0,0.0
20230914 21:37:38,57.75,0,0,-0.25,-0.7977099644128071,0.012399999999999523,0.0
20230914 21:37:43,57.75,0,0,-0.25,-0.7352099644128071,0.012399999999999523,0.0
