PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
尾道駅,34.40462,133.19324,4,,0
,34.40454,133.19328,3.8,0.00960628097739813,0.00960628097739813
,34.40453,133.19329,3.8,0.001440805347793649,0.011047086325191779
,34.40453,133.19331,3.7,0.0018388909781792441,0.012885977303371023
,34.40454,133.19332,3.8,0.001440805347793649,0.014326782651164672
,34.40455,133.19336,3.8,0.003841434033877685,0.018168216685042357
,34.40458,133.19341,3.9,0.005675327651013455,0.023843544336055813
,34.4046,133.19352,3.8,0.010354370838119558,0.03419791517417537
,34.4046,133.19358,3.8,0.005516668337319584,0.039714583511494955
,34.40458,133.19369,3.8,0.010354370838119558,0.05006895434961452
,34.40458,133.19372,3.7,0.002758334826338975,0.052827289175953494
,34.40456,133.19378,3.2,0.005946075335497579,0.05877336451145107
,34.40454,133.19382,3.2,0.004295140771020019,0.06306850528247109
,34.40454,133.19383,3.2,0.0009194453796943537,0.06398795066216544
,34.40452,133.19385,3,0.0028816107622721397,0.06686956142443758
,34.40449,133.19385,2.9,0.0033278913980885135,0.0701974528225261
,34.40446,133.19393,2.9,0.008073366851222731,0.07827081967374883
,34.40459,133.19398,3,0.015135910475389057,0.09340673014913789
,34.40483,133.19413,2.9,0.02998334285561416,0.12339007300475205
,34.40492,133.19423,3,0.01357243785160965,0.13696251085636169
,34.40496,133.1943,3,0.00781740756656012,0.14477991842292182
,34.40523,133.1946,3.2,0.040717265434957864,0.18549718385787967
,34.40523,133.19463,3.2,0.0027583134914457553,0.18825549734932542
,34.40519,133.19468,3,0.006389272637054561,0.19464476998637997
,34.40503,133.19476,2.7,0.019212545620436325,0.2138573156068163
,34.40509,133.19493,2.8,0.016988560663794634,0.23084587627061096
,34.40519,133.19535,2.5,0.04017813739126801,0.27102401366187895
,34.40522,133.19542,2.4,0.00724553784781323,0.2782695515096922
,34.40522,133.19545,2.4,0.002758313819637373,0.28102786532932955
,34.40523,133.19547,2.5,0.002147557804922872,0.2831754231342524
,34.40523,133.19552,2.4,0.004597189154151696,0.2877726122884041
,34.40518,133.19566,2.5,0.014016252360233265,0.30178886464863736
,34.40515,133.19571,2.5,0.00567530125883743,0.3074641659074748
,34.40511,133.19576,2.4,0.006389275743877862,0.31385344165135265
,34.40508,133.19581,1.8,0.0056753043361996705,0.3195287459875523
,34.40512,133.19585,1.7,0.005763205927439789,0.3252919519149921
,34.40518,133.19593,1.9,0.009919827429042998,0.3352117793440351
,34.40521,133.19598,1.3,0.005675299937445417,0.34088707928148054
