PlaceName,Lat,Long,Alt(m),dist(km),dist_sum(km)
尾道駅,34.26104,133.07521,46.8,,0
,34.2611,133.07488,44.5,0.03111359597112372,0.03111359597112372
,34.2611,133.07476,43.5,0.01105213988706275,0.04216573585818647
,34.26111,133.07467,42.7,0.008362997940977885,0.05052873379916435
,34.2611,133.07454,41.7,0.012024426111018458,0.06255315991018282
,34.2611,133.0744,40.5,0.012894163202009215,0.07544732311219203
,34.26109,133.07436,40.1,0.0038474255734395973,0.07929474868563163
,34.2611,133.07432,39.7,0.003847425576265749,0.08314217426189738
,34.26112,133.07346,38.2,0.0792380570958469,0.16238023135774426
,34.2611,133.07336,37.6,0.009473550377607994,0.17185378173535226
,34.2611,133.07333,37.9,0.002763034972420254,0.17461681670777252
,34.26108,133.07322,39.3,0.010371196318632689,0.18498801302640522
,34.26105,133.07313,41.5,0.00893216986998001,0.19392018289638524
,34.26108,133.07311,41.5,0.0038036027774647975,0.19772378567385004
,34.26112,133.07307,41.9,0.005767141220147197,0.20349092689399725
,34.26114,133.07302,42.5,0.005111602134340212,0.20860252902833748
,34.26115,133.07298,42.8,0.003847423491645714,0.2124499525199832
,34.26115,133.07286,43.3,0.011052133347510163,0.22350208586749334
,34.26114,133.07278,43.6,0.007451122252365628,0.23095320811985898
,34.26114,133.07272,43.7,0.00552606732640208,0.23647927544626104
,34.26109,133.07235,37.7,0.03452583051542713,0.2710051059616882
,34.261,133.07188,29.5,0.044423904752056056,0.31542901071374424
,34.261,133.07183,27.7,0.0046050637343660016,0.3200340744481102
,34.26095,133.07157,16.7,0.02458026009889038,0.3446143345470006
今治駅,34.25828,133.05734,3,1.343670891234354,1.6882852257813545
