datetime,temp,on_sec(s),power(%),P,I,D,PID
20221028 15:02:23,60.25,0,0,-2.75,-7.188343458183927,0.037399999999999524,0.0
20221028 15:02:28,60.25,0,0,-2.75,-7.0476849296454915,0.024799999999999045,0.0
20221028 15:02:33,60.25,0,0,-2.75,-6.953270036028471,0.012399999999999523,0.0
20221028 15:02:38,60.25,0,0,-2.75,-6.906345559151383,0.0,0.0
20221028 15:02:43,60.187,0,0,-2.75,-6.8906727795756915,0.0,0.0
20221028 15:02:49,60.187,0,0,-2.6869999999999976,-6.843499999999999,0.0,0.0
20221028 15:02:54,60.125,0,0,-2.6869999999999976,-6.811999999999998,0.0,0.0
20221028 15:02:59,60.062,0,0,-2.625,-6.765180911144576,0.012399999999999523,0.0
20221028 15:03:06,60.0,0,0,-2.5,-6.655870757055282,0.024799999999999045,0.0
20221028 15:03:11,60.0,0,0,-2.5,-6.546560602965989,0.03719999999999857,0.0
20221028 15:03:16,59.937,0,0,-2.5,-6.453060602965991,0.024799999999999045,0.0
20221028 15:03:21,59.875,0,0,-2.4369999999999976,-6.344011585343953,0.025,0.0
20221028 15:03:26,59.812,0,0,-2.375,-6.219030383260057,0.025,0.0
20221028 15:03:31,59.75,0,0,-2.3119999999999976,-6.125302239930957,0.03760000000000048,0.0
20221028 15:03:36,59.687,0,0,-2.25,-6.000323047242521,0.037399999999999524,0.0
20221028 15:03:41,59.625,0,0,-2.1869999999999976,-5.859796678074164,0.03760000000000048,0.0
20221028 15:03:46,59.562,0,0,-2.125,-5.703568562115496,0.037399999999999524,0.0
20221028 15:03:51,59.5,0,0,-2.0619999999999976,-5.547355836575235,0.03760000000000048,0.0
20221028 15:03:56,59.5,0,0,-2.0,-5.391130716957684,0.037399999999999524,0.0
20221028 15:04:01,59.5,0,0,-2.0,-5.2504200637354135,0.025,0.0
20221028 15:04:06,59.375,0,0,-2.0,-5.140946432903771,0.012399999999999523,0.0
20221028 15:04:11,59.312,0,0,-1.875,-5.032481631000605,0.025,0.0
20221028 15:04:16,59.25,0,0,-1.8119999999999976,-4.907513768716963,0.03760000000000048,0.0
20221028 15:04:21,59.25,0,0,-1.75,-4.78254697800445,0.05,0.0
20221028 15:04:28,59.187,0,0,-1.6869999999999976,-4.642085674542127,0.03760000000000048,0.0
20221028 15:04:33,59.125,0,0,-1.6869999999999976,-4.501624371079805,0.03760000000000048,0.0
20221028 15:04:38,59.062,0,0,-1.625,-4.360156463568506,0.03760000000000048,0.0
20221028 15:04:43,59.0,0,0,-1.5619999999999976,-4.235198685287486,0.03760000000000048,0.0
20221028 15:04:48,59.0,0,0,-1.5,-4.110242740194662,0.037399999999999524,0.0
20221028 15:04:54,58.937,0,0,-1.5,-4.0007040436569845,0.025,0.0
20221028 15:04:59,58.875,0,0,-1.4369999999999976,-3.875753191858836,0.025,0.0
20221028 15:05:04,58.812,0,0,-1.375,-3.7508047844983867,0.025,0.0
20221028 15:05:09,58.812,0,0,-1.3119999999999976,-3.6258627195478392,0.03760000000000048,0.0
20221028 15:05:14,58.812,0,0,-1.3119999999999976,-3.516048872389119,0.025,0.0
20221028 15:05:19,58.687,0,0,-1.3119999999999976,-3.4220488723891176,0.012600000000000477,0.0
20221028 15:05:25,58.687,0,0,-1.1869999999999976,-3.3137741528996862,0.025,0.0
20221028 15:05:30,58.687,0,0,-1.1869999999999976,-3.2039324032553047,0.025,0.0
20221028 15:05:35,58.562,0,0,-1.1869999999999976,-3.125313125250094,0.025,0.0
20221028 15:05:40,58.5,0,0,-1.0619999999999976,-3.0333000083092316,0.025,0.0
20221028 15:05:47,58.5,0,0,-1.0,-2.877300008309233,0.025,0.0
20221028 15:05:52,58.437,0,0,-1.0,-2.750986883059134,0.025,0.0
20221028 15:05:57,58.437,0,0,-0.9369999999999976,-2.6422491442878386,0.012600000000000477,0.0
20221028 15:06:02,58.437,0,0,-0.9369999999999976,-2.5172491442878386,0.012600000000000477,0.0
20221028 15:06:07,58.312,0,0,-0.9369999999999976,-2.421762261228701,0.012600000000000477,0.0
20221028 15:06:12,58.312,0,0,-0.8119999999999976,-2.3612456803253266,0.025,0.0
20221028 15:06:17,58.25,0,0,-0.8119999999999976,-2.2672456803253254,0.025,0.0
20221028 15:06:22,58.187,0,0,-0.75,-2.1735986559724214,0.037399999999999524,0.0
20221028 15:06:27,58.187,0,0,-0.6869999999999976,-2.0650391570162636,0.025,0.0
20221028 15:06:32,58.125,0,0,-0.6869999999999976,-1.9400391570162636,0.025,0.0
20221028 15:06:38,58.125,0,0,-0.625,-1.8292882074318326,0.025,0.0
20221028 15:06:43,58.062,0,0,-0.625,-1.7357882074318338,0.012399999999999523,0.0
20221028 15:06:48,58.062,0,0,-0.5619999999999976,-1.642258901474315,0.025,0.0
20221028 15:06:53,58.0,0,0,-0.5619999999999976,-1.563318400430473,0.012600000000000477,0.0
20221028 15:06:58,58.0,0,0,-0.5,-1.486223296852319,0.025,0.0
20221028 15:07:04,57.937,0,0,-0.4369999999999976,-1.3927997921213406,0.025,0.0
20221028 15:07:09,57.875,0,0,-0.4369999999999976,-1.315608756902557,0.03760000000000048,0.0
20221028 15:07:15,57.875,0,0,-0.375,-1.222206323521221,0.03760000000000048,0.0
20221028 15:07:20,57.812,0,0,-0.375,-1.1287063235212222,0.025,0.0
20221028 15:07:25,57.75,0,0,-0.3119999999999976,-1.0354957502434816,0.025,0.0
20221028 15:07:30,57.75,0,0,-0.25,-0.9423967498750763,0.025,0.0
20221028 15:07:35,57.687,0,0,-0.25,-0.8320877850938602,0.025,0.0
20221028 15:07:40,57.687,0,0,-0.1869999999999976,-0.7394248825225896,0.025,0.0
20221028 15:07:45,57.625,0,0,-0.1869999999999976,-0.6454248825225885,0.012600000000000477,0.0
20221028 15:07:50,57.625,0,0,-0.125,-0.5533106875836115,0.025,0.0
20221028 15:07:55,57.562,0,0,-0.125,-0.4736007231708008,0.012399999999999523,0.0
20221028 15:08:02,57.562,0,0,-0.06199999999999761,-0.3796007231707996,0.012399999999999523,0.0
20221028 15:08:07,57.5,0,0,-0.06199999999999761,-0.2990801282051238,0.0,0.0
20221028 15:08:12,57.5,0,0,0.0,-0.2365801282051238,0.012399999999999523,0.0
20221028 15:08:17,57.437,0,0,0.0,-0.2365801282051238,0.012399999999999523,0.0
20221028 15:08:22,57.437,0,0,0.06300000000000239,-0.12399999999999523,0.025,0.0
20221028 15:08:27,57.437,0.4181304347826719,0.08362608695653438,0.06300000000000239,-0.02999999999999403,0.025,0.0
20221028 15:08:32,57.375,0.7331304347826839,0.14662608695653678,0.06300000000000239,0.03250000000000597,0.012600000000000477,0.0
20221028 15:08:38,57.312,2.042114321433604,0.40842286428672075,0.1880000000000024,0.14492012779553273,0.012600000000000477,0.0
20221028 15:08:44,57.312,3.292114321433604,0.6584228642867208,0.1880000000000024,0.26992012779553276,0.012600000000000477,0.0
20221028 15:08:49,57.25,3.917114321433604,0.7834228642867208,0.1880000000000024,0.33242012779553276,0.012600000000000477,0.0
20221028 15:08:55,57.25,4.805707134616019,0.9611414269232037,0.25,0.4126141917224726,0.012399999999999523,0.0
20221028 15:09:00,57.25,5,1,0.25,0.5061141917224714,0.012399999999999523,0.0
20221028 15:09:05,57.25,5,1,0.25,0.5496940639269434,0.012399999999999523,0.0
20221028 15:09:11,57.25,5,1,0.25,0.5806940639269422,0.0,0.0
20221028 15:09:16,57.25,5,1,0.25,0.611694063926941,0.0,0.0
20221028 15:09:22,57.375,5,1,0.25,0.625,0.0,0.0
20221028 15:09:27,57.375,5,1,0.125,0.6041666666666666,-0.025,0.0
20221028 15:09:32,57.437,4.976449275362318,0.9952898550724636,0.125,0.5416666666666666,-0.025,0.0
20221028 15:09:37,57.5,3.845914122725888,0.7691828245451776,0.06300000000000239,0.4687783687943264,-0.037399999999999524,0.0
20221028 15:09:42,57.562,0,0,0.0,0.3752783687943275,-0.025,0.0
20221028 15:09:47,57.625,1.1661315140302597,0.23322630280605194,-0.06199999999999761,0.21927836879432877,-0.037399999999999524,0.0
20221028 15:09:52,57.687,0,0,-0.125,0.0630555523950419,-0.03760000000000048,0.0
20221028 15:09:58,57.687,0,0,-0.1869999999999976,-0.09294444760495689,-0.025,0.0
20221028 15:10:03,57.687,0,0,-0.1869999999999976,-0.2385561497326154,-0.012600000000000477,0.0
20221028 15:10:09,57.625,0,0,-0.1869999999999976,-0.3635561497326154,0.0,0.0
20221028 15:10:14,57.562,0,0,-0.125,-0.413636277937744,0.012399999999999523,0.0
20221028 15:10:19,57.562,0,0,-0.06199999999999761,-0.413636277937744,0.025,0.0
20221028 15:10:24,57.562,0,0,-0.06199999999999761,-0.351136277937744,0.025,0.0
20221028 15:10:29,57.562,0,0,-0.06199999999999761,-0.288636277937744,0.012600000000000477,0.0
20221028 15:10:35,57.562,0,0,-0.06199999999999761,-0.226136277937744,0.0,0.0
20221028 15:10:40,57.562,0,0,-0.06199999999999761,-0.1760561497326154,0.0,0.0
20221028 15:10:46,57.5,0,0,-0.06199999999999761,-0.15499999999999403,0.0,0.0
20221028 15:10:51,57.5,0,0,0.0,-0.15499999999999403,0.012399999999999523,0.0
20221028 15:10:57,57.437,0,0,0.0,-0.15499999999999403,0.012399999999999523,0.0
20221028 15:11:02,57.437,0,0,0.06300000000000239,-0.09249999999999403,0.025,0.0
