datetime,temp,on_sec(s),power(%),P,I,D,PID
20230910 06:17:10,40.562,5,1,24.563000000000002,0,0,0.0
20230910 06:17:15,40.562,5,1,24.438000000000002,0,0,0.0
20230910 06:17:20,40.625,5,1,24.438000000000002,0,0,0.0
20230910 06:17:26,40.687,5,1,24.375,0,0,0.0
20230910 06:17:32,40.75,5,1,24.25,0,0,0.0
20230910 06:17:37,40.812,5,1,24.25,0,0,0.0
20230910 06:17:42,40.875,5,1,24.188000000000002,0,0,0.0
20230910 06:17:47,40.937,5,1,24.125,0,0,0.0
20230910 06:17:52,41.0,5,1,24.063000000000002,0,0,0.0
20230910 06:17:57,41.062,5,1,24.0,0,0,0.0
20230910 06:18:02,41.125,5,1,23.938000000000002,0,0,0.0
20230910 06:18:07,41.187,5,1,23.875,0,0,0.0
20230910 06:18:12,41.25,5,1,23.813000000000002,0,0,0.0
20230910 06:18:17,41.312,5,1,23.75,0,0,0.0
20230910 06:18:22,41.375,5,1,23.688000000000002,0,0,0.0
20230910 06:18:27,41.437,5,1,23.625,0,0,0.0
20230910 06:18:35,41.5,5,1,23.5,0,0,0.0
20230910 06:18:40,41.562,5,1,23.5,0,0,0.0
20230910 06:18:45,41.625,5,1,23.438000000000002,0,0,0.0
20230910 06:18:50,41.687,5,1,23.375,0,0,0.0
20230910 06:18:55,41.75,5,1,23.313000000000002,0,0,0.0
20230910 06:19:00,41.812,5,1,23.25,0,0,0.0
20230910 06:19:05,41.875,5,1,23.188000000000002,0,0,0.0
20230910 06:19:10,41.937,5,1,23.125,0,0,0.0
20230910 06:19:15,41.937,5,1,23.063000000000002,0,0,0.0
20230910 06:19:20,41.937,5,1,23.063000000000002,0,0,0.0
20230910 06:19:25,42.125,5,1,23.063000000000002,0,0,0.0
20230910 06:19:30,42.187,5,1,22.875,0,0,0.0
20230910 06:19:35,42.187,5,1,22.813000000000002,0,0,0.0
20230910 06:19:41,42.187,5,1,22.813000000000002,0,0,0.0
20230910 06:19:46,42.25,5,1,22.813000000000002,0,0,0.0
20230910 06:19:51,42.375,5,1,22.75,0,0,0.0
20230910 06:19:57,42.437,5,1,22.563000000000002,0,0,0.0
20230910 06:20:02,42.5,5,1,22.563000000000002,0,0,0.0
20230910 06:20:07,42.562,5,1,22.5,0,0,0.0
20230910 06:20:12,42.625,5,1,22.438000000000002,0,0,0.0
20230910 06:20:17,42.687,5,1,22.375,0,0,0.0
20230910 06:20:22,42.75,5,1,22.313000000000002,0,0,0.0
20230910 06:20:27,42.875,5,1,22.25,0,0,0.0
20230910 06:20:34,42.875,5,1,22.125,0,0,0.0
20230910 06:20:39,42.937,5,1,22.125,0,0,0.0
20230910 06:20:44,43.0,5,1,22.063000000000002,0,0,0.0
20230910 06:20:49,43.125,5,1,22.0,0,0,0.0
20230910 06:20:54,43.187,5,1,21.875,0,0,0.0
20230910 06:20:59,43.25,5,1,21.813000000000002,0,0,0.0
20230910 06:21:05,43.312,5,1,21.688000000000002,0,0,0.0
20230910 06:21:10,43.375,5,1,21.688000000000002,0,0,0.0
20230910 06:21:15,43.437,5,1,21.625,0,0,0.0
20230910 06:21:20,43.5,5,1,21.563000000000002,0,0,0.0
20230910 06:21:25,43.562,5,1,21.5,0,0,0.0
20230910 06:21:30,43.687,5,1,21.438000000000002,0,0,0.0
20230910 06:21:35,43.75,5,1,21.313000000000002,0,0,0.0
20230910 06:21:41,43.75,5,1,21.25,0,0,0.0
20230910 06:21:46,43.875,5,1,21.25,0,0,0.0
20230910 06:21:51,43.937,5,1,21.125,0,0,0.0
20230910 06:21:56,44.0,5,1,21.063000000000002,0,0,0.0
20230910 06:22:01,44.062,5,1,21.0,0,0,0.0
20230910 06:22:06,44.125,5,1,20.938000000000002,0,0,0.0
20230910 06:22:13,44.187,5,1,20.813000000000002,0,0,0.0
20230910 06:22:18,44.312,5,1,20.813000000000002,0,0,0.0
20230910 06:22:23,44.312,5,1,20.688000000000002,0,0,0.0
20230910 06:22:28,44.375,5,1,20.688000000000002,0,0,0.0
20230910 06:22:33,44.375,5,1,20.625,0,0,0.0
20230910 06:22:38,44.562,5,1,20.625,0,0,0.0
20230910 06:22:44,44.625,5,1,20.375,0,0,0.0
20230910 06:22:49,44.687,5,1,20.375,0,0,0.0
20230910 06:22:55,44.687,5,1,20.313000000000002,0,0,0.0
20230910 06:23:00,44.812,5,1,20.313000000000002,0,0,0.0
20230910 06:23:05,44.875,5,1,20.188000000000002,0,0,0.0
20230910 06:23:11,44.937,5,1,20.063000000000002,0,0,0.0
20230910 06:23:17,45.0,5,1,20.0,0,0,0.0
20230910 06:23:22,45.125,5,1,20.0,0,0,0.0
20230910 06:23:27,45.187,5,1,19.875,0,0,0.0
20230910 06:23:32,45.25,5,1,19.813000000000002,0,0,0.0
20230910 06:23:38,45.312,5,1,19.75,0,0,0.0
20230910 06:23:44,45.375,5,1,19.625,0,0,0.0
20230910 06:23:49,45.437,5,1,19.625,0,0,0.0
20230910 06:23:54,45.5,5,1,19.563000000000002,0,0,0.0
20230910 06:23:59,45.562,5,1,19.5,0,0,0.0
20230910 06:24:04,45.625,5,1,19.438000000000002,0,0,0.0
20230910 06:24:09,45.625,5,1,19.375,0,0,0.0
20230910 06:24:14,45.625,5,1,19.375,0,0,0.0
20230910 06:24:19,45.812,5,1,19.375,0,0,0.0
20230910 06:24:26,45.875,5,1,19.125,0,0,0.0
20230910 06:24:31,46.0,5,1,19.125,0,0,0.0
20230910 06:24:36,46.062,5,1,19.0,0,0,0.0
20230910 06:24:42,46.125,5,1,18.875,0,0,0.0
20230910 06:24:47,46.187,5,1,18.875,0,0,0.0
20230910 06:24:53,46.25,5,1,18.813000000000002,0,0,0.0
20230910 06:24:58,46.312,5,1,18.75,0,0,0.0
20230910 06:25:03,46.375,5,1,18.688000000000002,0,0,0.0
20230910 06:25:08,46.5,5,1,18.625,0,0,0.0
20230910 06:25:13,46.562,5,1,18.5,0,0,0.0
20230910 06:25:20,46.625,5,1,18.375,0,0,0.0
20230910 06:25:25,46.687,5,1,18.375,0,0,0.0
20230910 06:25:30,46.75,5,1,18.313000000000002,0,0,0.0
20230910 06:25:35,46.812,5,1,18.25,0,0,0.0
20230910 06:25:40,46.875,5,1,18.188000000000002,0,0,0.0
20230910 06:25:45,46.937,5,1,18.125,0,0,0.0
20230910 06:25:52,47.0,5,1,18.0,0,0,0.0
20230910 06:25:57,47.0,5,1,18.0,0,0,0.0
20230910 06:26:04,47.187,5,1,17.813000000000002,0,0,0.0
20230910 06:26:09,47.25,5,1,17.813000000000002,0,0,0.0
20230910 06:26:14,47.312,5,1,17.75,0,0,0.0
20230910 06:26:19,47.375,5,1,17.688000000000002,0,0,0.0
20230910 06:26:25,47.437,5,1,17.563000000000002,0,0,0.0
20230910 06:26:30,47.5,5,1,17.563000000000002,0,0,0.0
20230910 06:26:35,47.562,5,1,17.5,0,0,0.0
20230910 06:26:40,47.625,5,1,17.438000000000002,0,0,0.0
20230910 06:26:45,47.687,5,1,17.375,0,0,0.0
20230910 06:26:52,47.75,5,1,17.25,0,0,0.0
20230910 06:26:57,47.812,5,1,17.25,0,0,0.0
20230910 06:27:02,47.937,5,1,17.188000000000002,0,0,0.0
20230910 06:27:07,48.0,5,1,17.063000000000002,0,0,0.0
