datetime,temp,on_sec(s),power(%),P,I,D,PID
20230922 22:12:44,41.75,5,1,21.438000000000002,0,0,0.0
20230922 22:13:03,41.75,5,1,21.25,0,0,0.0
20230922 22:13:08,41.875,5,1,21.25,0,0,0.0
20230922 22:13:13,41.875,5,1,21.125,0,0,0.0
20230922 22:13:22,41.875,5,1,21.125,0,0,0.0
20230922 22:13:27,42.062,5,1,21.125,0,0,0.0
20230922 22:13:32,42.125,5,1,20.938000000000002,0,0,0.0
20230922 22:13:37,42.125,5,1,20.875,0,0,0.0
20230922 22:13:43,42.187,5,1,20.813000000000002,0,0,0.0
20230922 22:13:48,42.25,5,1,20.813000000000002,0,0,0.0
20230922 22:13:53,42.375,5,1,20.75,0,0,0.0
20230922 22:13:58,42.437,5,1,20.625,0,0,0.0
20230922 22:14:03,42.5,5,1,20.563000000000002,0,0,0.0
20230922 22:14:08,42.562,5,1,20.5,0,0,0.0
20230922 22:14:13,42.625,5,1,20.438000000000002,0,0,0.0
20230922 22:14:18,42.687,5,1,20.375,0,0,0.0
20230922 22:14:23,42.75,5,1,20.313000000000002,0,0,0.0
20230922 22:14:28,42.812,5,1,20.25,0,0,0.0
20230922 22:14:33,42.812,5,1,20.188000000000002,0,0,0.0
20230922 22:14:40,42.875,5,1,20.125,0,0,0.0
20230922 22:14:45,42.875,5,1,20.125,0,0,0.0
20230922 22:14:51,43.125,5,1,19.875,0,0,0.0
20230922 22:14:56,43.187,5,1,19.875,0,0,0.0
20230922 22:15:02,43.25,5,1,19.813000000000002,0,0,0.0
20230922 22:15:07,43.375,5,1,19.75,0,0,0.0
20230922 22:15:12,43.437,5,1,19.625,0,0,0.0
20230922 22:15:17,43.437,5,1,19.563000000000002,0,0,0.0
20230922 22:15:22,43.562,5,1,19.563000000000002,0,0,0.0
20230922 22:15:28,43.687,5,1,19.313000000000002,0,0,0.0
20230922 22:15:33,43.75,5,1,19.313000000000002,0,0,0.0
20230922 22:15:38,43.812,5,1,19.25,0,0,0.0
20230922 22:15:43,43.875,5,1,19.188000000000002,0,0,0.0
20230922 22:15:48,43.937,5,1,19.125,0,0,0.0
20230922 22:15:53,44.0,5,1,19.063000000000002,0,0,0.0
20230922 22:16:00,44.062,5,1,18.938000000000002,0,0,0.0
20230922 22:16:05,44.187,5,1,18.938000000000002,0,0,0.0
20230922 22:16:11,44.25,5,1,18.813000000000002,0,0,0.0
20230922 22:16:16,44.375,5,1,18.75,0,0,0.0
20230922 22:16:21,44.437,5,1,18.625,0,0,0.0
20230922 22:16:28,44.5,5,1,18.5,0,0,0.0
20230922 22:16:33,44.5,5,1,18.5,0,0,0.0
20230922 22:16:39,44.625,5,1,18.5,0,0,0.0
20230922 22:16:44,44.687,5,1,18.375,0,0,0.0
