datetime,temp,on_sec(s),power(%),P,I,D,PID
20230922 22:56:54,63.125,0,0,-1.0619999999999976,-2.4077247191822524,-0.037399999999999524,0.0
20230922 22:56:59,63.125,0,0,-1.125,-2.5174284228859554,-0.037399999999999524,0.0
20230922 22:57:04,63.125,0,0,-1.125,-2.626398069685073,-0.025,0.0
20230922 22:57:11,63.25,0,0,-1.25,-2.7370305452984747,-0.03760000000000048,0.0
20230922 22:57:16,63.25,0,0,-1.25,-2.816459229764247,-0.05,0.0
20230922 22:57:22,63.25,0,0,-1.25,-2.9254931773879136,-0.05,0.0
20230922 22:57:27,63.187,0,0,-1.25,-3.0032894736842106,-0.025,0.0
20230922 22:57:32,63.125,0,0,-1.1869999999999976,-3.050446634127378,0.012600000000000477,0.0
20230922 22:57:37,63.062,0,0,-1.125,-3.0334675547247185,0.025,0.0
20230922 22:57:43,63.0,0,0,-1.0,-2.9540388702589464,0.037399999999999524,0.0
20230922 22:57:48,62.937,0,0,-1.0,-2.8450049226352796,0.03719999999999857,0.0
20230922 22:57:54,62.937,0,0,-0.9369999999999976,-2.6885049226352784,0.024799999999999045,0.0
20230922 22:57:59,62.875,0,0,-0.9369999999999976,-2.5473477621921097,0.012399999999999523,0.0
20230922 22:58:04,62.875,0,0,-0.875,-2.422462457953546,0.012399999999999523,0.0
20230922 22:58:09,62.812,0,0,-0.875,-2.343996405577213,0.012399999999999523,0.0
20230922 22:58:14,62.812,0,0,-0.8119999999999976,-2.2503685274747385,0.025,0.0
20230922 22:58:19,62.812,0,0,-0.8119999999999976,-2.1878685274747385,0.012600000000000477,0.0
20230922 22:58:24,62.75,0,0,-0.8119999999999976,-2.1253685274747385,0.012600000000000477,0.0
20230922 22:58:31,62.75,0,0,-0.75,-2.046838174273856,0.0,0.0
20230922 22:58:36,62.75,0,0,-0.75,-1.984338174273856,0.0,0.0
20230922 22:58:41,62.687,0,0,-0.75,-1.9369999999999976,0.0,0.0
20230922 22:58:48,62.687,0,0,-0.6869999999999976,-1.8744999999999976,0.0,0.0
20230922 22:58:53,62.625,0,0,-0.6869999999999976,-1.8119999999999976,0.0,0.0
20230922 22:58:58,62.625,0,0,-0.625,-1.765732469512192,0.012399999999999523,0.0
20230922 22:59:04,62.562,0,0,-0.625,-1.703232469512192,0.012399999999999523,0.0
20230922 22:59:09,62.562,0,0,-0.5619999999999976,-1.625818400430473,0.025,0.0
20230922 22:59:14,62.5,0,0,-0.5619999999999976,-1.563318400430473,0.012600000000000477,0.0
20230922 22:59:19,62.5,0,0,-0.5,-1.486223296852319,0.025,0.0
20230922 22:59:24,62.5,0,0,-0.5,-1.4074908273401245,0.012399999999999523,0.0
20230922 22:59:31,62.5,0,0,-0.5,-1.3449908273401245,0.012399999999999523,0.0
20230922 22:59:36,62.437,0,0,-0.5,-1.2974048964218436,0.0,0.0
20230922 22:59:41,62.375,0,0,-0.4369999999999976,-1.251713861203061,0.012600000000000477,0.0
20230922 22:59:46,62.375,0,0,-0.375,-1.1894924623181613,0.025,0.0
20230922 22:59:51,62.375,0,0,-0.375,-1.1269924623181613,0.025,0.0
20230922 22:59:56,62.312,0,0,-0.375,-1.0644924623181613,0.012399999999999523,0.0
20230922 23:00:01,62.312,0,0,-0.3119999999999976,-0.9876867854622655,0.012600000000000477,0.0
20230922 23:00:07,62.312,0,0,-0.3119999999999976,-0.9083778206810482,0.012600000000000477,0.0
20230922 23:00:12,62.25,0,0,-0.3119999999999976,-0.8601943231441019,0.012600000000000477,0.0
20230922 23:00:17,62.25,0,0,-0.25,-0.8149042875569126,0.012399999999999523,0.0
